cuadro;no;nivel;departamento;provincia;municipio_tioc;area;2001_total_hogares_;2001_vehículo_automotor_tiene;2001_vehículo_automotor_no_tiene;2001_bicicleta_tiene;2001_bicicleta_no_tiene;2001_motocicleta_o_cuatratrack_tiene;2001_motocicleta_o_cuatratrack_no_tiene;2012_total_hogares;2012_vehículo_automotor_tiene;2012_vehículo_automotor_no_tiene;2012_bicicleta_tiene;2012_bicicleta_no_tiene;2012_motocicleta_o_cuatratrack_tiene;2012_motocicleta_o_cuatratrack_no_tiene;2012_carreta_o_carreton_tiene;2012_carreta_o_carreton_no_tiene;2012_deslizador_balsa_canoa_o_bote_tiene;2012_deslizador_balsa_canoa_o_bote_no_tiene;2024_total_hogares_;2024_vehículo_automotor_tiene;2024_vehículo_automotor_no_tiene;2024_vehículo_automotor_sin_especificar;2024_bicicleta_tiene;2024_bicicleta_no_tiene;2024_bicicleta_sin_especificar;2024_motocicleta_o_cuatratrack_tiene;2024_motocicleta_o_cuatratrack_no_tiene;2024_motocicleta_o_cuatratrack_sin_especificar;2024_carreta_o_carreton_tiene;2024_carreta_o_carreton_no_tiene;2024_carreta_o_carreton_sin_especificar;2024_deslizador_balsa_canoa_o_bote_tiene;2024_deslizador_balsa_canoa_o_bote_no_tiene;2024_deslizador_balsa_canoa_o_bote_sin_especificar
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2044;21;Provincia;Chuquisaca;Azurduy;;Rural;5,611;24;5,587;348;5,263;6;5,605;5,956;171;5,785;532;5,424;115;5,841;43;5,913;7;5,949;7,048;365;6,234;449;749;5,860;439;1,110;5,491;447;137;6,463;448;28;6,572;448
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2045;22;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Azurduy;2,329;7;2,322;121;2,208;3;2,326;2,538;79;2,459;194;2,344;66;2,472;8;2,530;2;2,536;2,450;195;2,104;151;224;2,080;146;459;1,841;150;49;2,250;151;15;2,284;151
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2046;23;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2047;24;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Rural;2,329;7;2,322;121;2,208;3;2,326;2,538;79;2,459;194;2,344;66;2,472;8;2,530;2;2,536;2,450;195;2,104;151;224;2,080;146;459;1,841;150;49;2,250;151;15;2,284;151
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2048;25;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Tarvita;3,282;17;3,265;227;3,055;3;3,279;3,418;92;3,326;338;3,080;49;3,369;35;3,383;5;3,413;4,598;170;4,130;298;525;3,780;293;651;3,650;297;88;4,213;297;13;4,288;297
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2049;26;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2050;27;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Rural;3,282;17;3,265;227;3,055;3;3,279;3,418;92;3,326;338;3,080;49;3,369;35;3,383;5;3,413;4,598;170;4,130;298;525;3,780;293;651;3,650;297;88;4,213;297;13;4,288;297
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2051;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;7,130;103;7,027;1,719;5,411;70;7,060;9,116;466;8,650;2,141;6,975;575;8,541;105;9,011;17;9,099;11,636;949;10,063;624;2,407;8,611;618;3,102;7,913;621;455;10,555;626;65;10,946;625
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2052;29;Provincia;Chuquisaca;Zudáñez;;Urbana;;;;;;;;1,385;151;1,234;429;956;142;1,243;16;1,369;3;1,382;2,686;424;2,132;130;871;1,685;130;1,079;1,476;131;162;2,394;130;27;2,529;130
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2053;30;Provincia;Chuquisaca;Zudáñez;;Rural;7,130;103;7,027;1,719;5,411;70;7,060;7,731;315;7,416;1,712;6,019;433;7,298;89;7,642;14;7,717;8,950;525;7,931;494;1,536;6,926;488;2,023;6,437;490;293;8,161;496;38;8,417;495
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2054;31;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;1,698;28;1,670;561;1,137;30;1,668;2,586;183;2,403;837;1,749;218;2,368;38;2,548;4;2,582;3,187;314;2,700;173;764;2,253;170;1,072;1,944;171;118;2,896;173;21;2,992;174
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2055;32;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Urbana;;;;;;;;825;109;716;289;536;114;711;7;818;0;825;1,220;201;967;52;369;799;52;473;694;53;73;1,095;52;16;1,152;52
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2056;33;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Rural;1,698;28;1,670;561;1,137;30;1,668;1,761;74;1,687;548;1,213;104;1,657;31;1,730;4;1,757;1,967;113;1,733;121;395;1,454;118;599;1,250;118;45;1,801;121;5;1,840;122
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2057;34;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Presto;1,958;6;1,952;136;1,822;8;1,950;2,717;76;2,641;338;2,379;52;2,665;30;2,687;6;2,711;3,271;145;2,900;226;488;2,557;226;550;2,495;226;124;2,918;229;17;3,027;227
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2058;35;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Urbana;;;;;;;;560;42;518;140;420;28;532;9;551;3;557;609;69;496;44;153;412;44;146;419;44;36;529;44;4;561;44
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2059;36;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Rural;1,958;6;1,952;136;1,822;8;1,950;2,157;34;2,123;198;1,959;24;2,133;21;2,136;3;2,154;2,662;76;2,404;182;335;2,145;182;404;2,076;182;88;2,389;185;13;2,466;183
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2060;37;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;1,795;44;1,751;776;1,019;26;1,769;1,982;136;1,846;705;1,277;281;1,701;17;1,965;5;1,977;2,543;296;2,136;111;859;1,574;110;1,195;1,237;111;118;2,314;111;15;2,417;111
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2061;38;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Urbana;;;;;;;;;;;;;;;;;;;857;154;669;34;349;474;34;460;363;34;53;770;34;7;816;34
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2062;39;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Rural;1,795;44;1,751;776;1,019;26;1,769;1,982;136;1,846;705;1,277;281;1,701;17;1,965;5;1,977;1,686;142;1,467;77;510;1,100;76;735;874;77;65;1,544;77;8;1,601;77
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2063;40;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Icla;1,679;25;1,654;246;1,433;6;1,673;1,831;71;1,760;261;1,570;24;1,807;20;1,811;2;1,829;2,635;194;2,327;114;296;2,227;112;285;2,237;113;95;2,427;113;12;2,510;113
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2064;41;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2065;42;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Rural;1,679;25;1,654;246;1,433;6;1,673;1,831;71;1,760;261;1,570;24;1,807;20;1,811;2;1,829;2,635;194;2,327;114;296;2,227;112;285;2,237;113;95;2,427;113;12;2,510;113
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2066;43;Provincia;Chuquisaca;Tomina;;Tomina;7,912;158;7,754;1,572;6,340;57;7,855;9,217;490;8,727;1,741;7,476;416;8,801;75;9,142;20;9,197;10,144;1,185;8,575;384;1,582;8,189;373;2,431;7,332;381;429;9,333;382;71;9,690;383
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2067;44;Provincia;Chuquisaca;Tomina;;Urbana;669;69;600;238;431;20;649;1,590;191;1,399;440;1,150;144;1,446;35;1,555;4;1,586;2,053;411;1,559;83;565;1,405;83;536;1,434;83;96;1,874;83;22;1,947;84
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2068;45;Provincia;Chuquisaca;Tomina;;Rural;7,243;89;7,154;1,334;5,909;37;7,206;7,627;299;7,328;1,301;6,326;272;7,355;40;7,587;16;7,611;8,091;774;7,016;301;1,017;6,784;290;1,895;5,898;298;333;7,459;299;49;7,743;299
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2069;46;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Padilla;2,750;89;2,661;626;2,124;25;2,725;2,810;215;2,595;601;2,209;198;2,612;33;2,777;9;2,801;3,186;524;2,547;115;550;2,526;110;853;2,220;113;116;2,956;114;27;3,044;115
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2070;47;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Urbana;669;69;600;238;431;20;649;986;142;844;294;692;99;887;28;958;2;984;1,489;330;1,099;60;383;1,046;60;367;1,062;60;75;1,354;60;12;1,416;61
