cuadro;no;nivel;departamento;provincia;municipio_tioc;area;numero_de_viviendas_total_hogares_;numero_de_viviendas_refrigerador_o_congelador_tiene;numero_de_viviendas_refrigerador_o_congelador_no_tiene;numero_de_viviendas_refrigerador_o_congelador_sin_especificar;numero_de_viviendas_microondas_tiene;numero_de_viviendas_microondas_no_tiene;numero_de_viviendas_microondas_sin_especificar;numero_de_viviendas_calefon_o_termotanque_tiene;numero_de_viviendas_calefon_o_termotanque_no_tiene;numero_de_viviendas_calefon_o_termotanque_sin_especificar;numero_de_viviendas_aire_acondicionado_tiene;numero_de_viviendas_aire_acondicionado_no_tiene;numero_de_viviendas_aire_acondicionado_sin_especificar;numero_de_viviendas_lavadora_de_ropa_tiene;numero_de_viviendas_lavadora_de_ropa_no_tiene;numero_de_viviendas_lavadora_de_ropa_sin_especificar
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2034;11;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Urbana;84,913;63,704;19,117;2,092;28,704;54,117;2,092;12,071;70,750;2,092;1,091;81,729;2,093;33,303;49,517;2,093
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2035;12;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Rural;7,618;1,840;5,331;447;196;6,976;446;67;7,104;447;36;7,134;448;158;7,013;447
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2036;13;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;3,056;1,580;1,339;137;332;2,588;136;124;2,796;136;19;2,901;136;332;2,588;136
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2037;14;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2038;15;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Rural;3,056;1,580;1,339;137;332;2,588;136;124;2,796;136;19;2,901;136;332;2,588;136
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2039;16;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Poroma;4,654;276;4,095;283;21;4,350;283;14;4,357;283;9;4,361;284;31;4,339;284
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2040;17;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2041;18;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Rural;4,654;276;4,095;283;21;4,350;283;14;4,357;283;9;4,361;284;31;4,339;284
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2042;19;Provincia;Chuquisaca;Azurduy;;Azurduy;7,048;960;5,635;453;125;6,473;450;40;6,557;451;28;6,569;451;200;6,394;454
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2043;20;Provincia;Chuquisaca;Azurduy;;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2044;21;Provincia;Chuquisaca;Azurduy;;Rural;7,048;960;5,635;453;125;6,473;450;40;6,557;451;28;6,569;451;200;6,394;454
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2045;22;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Azurduy;2,450;377;1,922;151;80;2,218;152;20;2,277;153;8;2,290;152;100;2,198;152
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2046;23;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2047;24;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Rural;2,450;377;1,922;151;80;2,218;152;20;2,277;153;8;2,290;152;100;2,198;152
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2048;25;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Tarvita;4,598;583;3,713;302;45;4,255;298;20;4,280;298;20;4,279;299;100;4,196;302
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2049;26;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2050;27;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Rural;4,598;583;3,713;302;45;4,255;298;20;4,280;298;20;4,279;299;100;4,196;302
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2051;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;11,636;2,587;8,421;628;354;10,657;625;85;10,923;628;50;10,959;627;402;10,609;625
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2052;29;Provincia;Chuquisaca;Zudáñez;;Urbana;2,686;1,378;1,178;130;246;2,310;130;41;2,515;130;17;2,539;130;281;2,275;130
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2053;30;Provincia;Chuquisaca;Zudáñez;;Rural;8,950;1,209;7,243;498;108;8,347;495;44;8,408;498;33;8,420;497;121;8,334;495
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2054;31;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;3,187;859;2,152;176;163;2,850;174;26;2,986;175;18;2,994;175;174;2,838;175
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2055;32;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Urbana;1,220;675;493;52;138;1,030;52;21;1,147;52;10;1,158;52;161;1,007;52
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2056;33;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Rural;1,967;184;1,659;124;25;1,820;122;5;1,839;123;8;1,836;123;13;1,831;123
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2057;34;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Presto;3,271;505;2,539;227;73;2,971;227;12;3,032;227;10;3,034;227;74;2,970;227
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2058;35;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Urbana;609;263;302;44;54;511;44;3;562;44;3;562;44;49;516;44
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2059;36;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Rural;2,662;242;2,237;183;19;2,460;183;9;2,470;183;7;2,472;183;25;2,454;183
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2060;37;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;2,543;748;1,684;111;73;2,359;111;24;2,408;111;11;2,421;111;99;2,333;111
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2061;38;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Urbana;857;440;383;34;54;769;34;17;806;34;4;819;34;71;752;34
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2062;39;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Rural;1,686;308;1,301;77;19;1,590;77;7;1,602;77;7;1,602;77;28;1,581;77
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2063;40;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Icla;2,635;475;2,046;114;45;2,477;113;23;2,497;115;11;2,510;114;55;2,468;112
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2064;41;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2065;42;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Rural;2,635;475;2,046;114;45;2,477;113;23;2,497;115;11;2,510;114;55;2,468;112
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2066;43;Provincia;Chuquisaca;Tomina;;Tomina;10,144;3,487;6,270;387;507;9,254;383;115;9,644;385;33;9,724;387;664;9,094;386
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2067;44;Provincia;Chuquisaca;Tomina;;Urbana;2,053;1,286;683;84;291;1,678;84;52;1,917;84;15;1,954;84;347;1,622;84
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2068;45;Provincia;Chuquisaca;Tomina;;Rural;8,091;2,201;5,587;303;216;7,576;299;63;7,727;301;18;7,770;303;317;7,472;302
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2069;46;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Padilla;3,186;1,273;1,798;115;236;2,835;115;47;3,023;116;14;3,057;115;291;2,780;115
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2070;47;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Urbana;1,489;922;506;61;224;1,204;61;39;1,389;61;14;1,414;61;257;1,171;61
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2071;48;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Rural;1,697;351;1,292;54;12;1,631;54;8;1,634;55;0;1,643;54;34;1,609;54
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2072;49;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Tomina;2,243;889;1,247;107;99;2,039;105;41;2,097;105;4;2,132;107;131;2,007;105
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2073;50;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Urbana;564;364;177;23;67;474;23;13;528;23;1;540;23;90;451;23
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2074;51;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Rural;1,679;525;1,070;84;32;1,565;82;28;1,569;82;3;1,592;84;41;1,556;82
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2075;52;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Sopachuy;2,087;499;1,503;85;71;1,933;83;8;1,995;84;3;2,000;84;107;1,896;84
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2076;53;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2077;54;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Rural;2,087;499;1,503;85;71;1,933;83;8;1,995;84;3;2,000;84;107;1,896;84
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2078;55;Municipio/TIOC;Chuquisaca;Tomina;Alcalá;Alcalá;1,189;415;730;44;66;1,079;44;7;1,138;44;6;1,139;44;86;1,059;44
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2079;56;Municipio/TIOC;Chuquisaca;Tomina;Alcalá;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2080;57;Municipio/TIOC;Chuquisaca;Tomina;Alcalá;Rural;1,189;415;730;44;66;1,079;44;7;1,138;44;6;1,139;44;86;1,059;44
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2081;58;Municipio/TIOC;Chuquisaca;Tomina;El Villar;El Villar;1,439;411;992;36;35;1,368;36;12;1,391;36;6;1,396;37;49;1,352;38
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2082;59;Municipio/TIOC;Chuquisaca;Tomina;El Villar;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2083;60;Municipio/TIOC;Chuquisaca;Tomina;El Villar;Rural;1,439;411;992;36;35;1,368;36;12;1,391;36;6;1,396;37;49;1,352;38
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2084;61;Provincia;Chuquisaca;Hernando Siles;;Hernando Siles;10,043;5,091;4,544;408;893;8,743;407;273;9,362;408;151;9,486;406;1,619;8,015;409
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2085;62;Provincia;Chuquisaca;Hernando Siles;;Urbana;4,068;2,916;995;157;685;3,226;157;210;3,701;157;127;3,784;157;1,251;2,660;157
