cuadro;no;nivel;departamento;provincia;municipio_tioc;area;total_incritos_en_servicio_de_registro_civil;total_incritos_en_servicio_de_registro_civil_tiene;total_incritos_en_servicio_de_registro_civil_no_tiene;total_incritos_en_servicio_de_registro_civil_sin_especificar;total_tenencia_de_cedula_de_identidad_total;total_tenencia_de_cedula_de_identidad_tiene;total_tenencia_de_cedula_de_identidad_no_tiene;total_tenencia_de_cedula_de_identidad_cedula_boliviana_de_extranjero;total_tenencia_de_cedula_de_identidad_sin_especificar;"total_inscritos_en_servicio_de_registro_civil_
()_tiene";"total_inscritos_en_servicio_de_registro_civil_
()_no_tiene";"total_tenencia_de_cedula_de_identidad
()_tiene";"total_inscritos_en_servicio_de_registro_civil_
()_no_tiene";hombres_incritos_en_servicio_de_registro_civil_total;hombres_incritos_en_servicio_de_registro_civil_tiene;hombres_incritos_en_servicio_de_registro_civil_no_tiene;hombres_incritos_en_servicio_de_registro_civil_sin_especificar;hombres_tenencia_de_cedula_de_identidad_total;hombres_tenencia_de_cedula_de_identidad_tiene;hombres_tenencia_de_cedula_de_identidad_no_tiene;hombres_tenencia_de_cedula_de_identidad_cedula_boliviana_de_extranjero;hombres_tenencia_de_cedula_de_identidad_sin_especificar;"hombres_inscritos_en_servicio_de_registro_civil_
()_tiene";"hombres_inscritos_en_servicio_de_registro_civil_
()_no_tiene";"hombres_tenencia_de_cedula_de_identidad
()_tiene";"hombres_tenencia_de_cedula_de_identidad
()_no_tiene";mujeres_incritos_en_servicio_de_registro_civil_total;mujeres_incritos_en_servicio_de_registro_civil_tiene;mujeres_incritos_en_servicio_de_registro_civil_no_tiene;mujeres_incritos_en_servicio_de_registro_civil_sin_especificar;mujeres_tenencia_de_cedula_de_identidad_total;mujeres_tenencia_de_cedula_de_identidad_tiene;mujeres_tenencia_de_cedula_de_identidad_no_tiene;mujeres_tenencia_de_cedula_de_identidad_cedula_boliviana_de_extranjero;mujeres_tenencia_de_cedula_de_identidad_sin_especificar;"mujeres_inscritos_en_servicio_de_registro_civil_
()_tiene";"mujeres_inscritos_en_servicio_de_registro_civil_
()_no_tiene";"mujeres_tenencia_de_cedula_de_identidad
()_tiene";"mujeres_tenencia_de_cedula_de_identidad
()_no_tiene"
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2034;11;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Urbana;275,959;274,222;1,205;532;275,959;273,688;906;695;670;99.6;0.4;99.7;0.3;131,625;130,729;638;258;131,625;130,453;480;353;339;99.5;0.5;99.6;0.4;144,334;143,493;567;274;144,334;143,235;426;342;331;99.6;0.4;99.7;0.3
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2035;12;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Rural;20,787;20,619;61;107;20,787;20,578;52;36;121;99.7;0.3;99.7;0.3;10,497;10,413;33;51;10,497;10,391;24;23;59;99.7;0.3;99.8;0.2;10,290;10,206;28;56;10,290;10,187;28;13;62;99.7;0.3;99.7;0.3
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2036;13;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;9,256;9,167;59;30;9,256;9,156;45;22;33;99.4;0.6;99.5;0.5;4,654;4,607;29;18;4,654;4,600;23;11;20;99.4;0.6;99.5;0.5;4,602;4,560;30;12;4,602;4,556;22;11;13;99.3;0.7;99.5;0.5
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2037;14;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2038;15;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Rural;9,256;9,167;59;30;9,256;9,156;45;22;33;99.4;0.6;99.5;0.5;4,654;4,607;29;18;4,654;4,600;23;11;20;99.4;0.6;99.5;0.5;4,602;4,560;30;12;4,602;4,556;22;11;13;99.3;0.7;99.5;0.5
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2039;16;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Poroma;13,649;13,536;40;73;13,649;13,505;66;3;75;99.7;0.3;99.5;0.5;6,982;6,926;21;35;6,982;6,906;37;2;37;99.7;0.3;99.5;0.5;6,667;6,610;19;38;6,667;6,599;29;1;38;99.7;0.3;99.6;0.4
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2040;17;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2041;18;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Rural;13,649;13,536;40;73;13,649;13,505;66;3;75;99.7;0.3;99.5;0.5;6,982;6,926;21;35;6,982;6,906;37;2;37;99.7;0.3;99.5;0.5;6,667;6,610;19;38;6,667;6,599;29;1;38;99.7;0.3;99.6;0.4
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2042;19;Provincia;Chuquisaca;Azurduy;;Azurduy;24,715;24,447;85;183;24,715;24,394;113;15;193;99.7;0.3;99.5;0.5;12,272;12,147;46;79;12,272;12,129;55;8;80;99.6;0.4;99.5;0.5;12,443;12,300;39;104;12,443;12,265;58;7;113;99.7;0.3;99.5;0.5
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2043;20;Provincia;Chuquisaca;Azurduy;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2044;21;Provincia;Chuquisaca;Azurduy;;Rural;24,715;24,447;85;183;24,715;24,394;113;15;193;99.7;0.3;99.5;0.5;12,272;12,147;46;79;12,272;12,129;55;8;80;99.6;0.4;99.5;0.5;12,443;12,300;39;104;12,443;12,265;58;7;113;99.7;0.3;99.5;0.5
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2045;22;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Azurduy;7,903;7,790;26;87;7,903;7,770;42;2;89;99.7;0.3;99.5;0.5;4,004;3,951;14;39;4,004;3,944;22;0;38;99.6;0.4;99.4;0.6;3,899;3,839;12;48;3,899;3,826;20;2;51;99.7;0.3;99.5;0.5
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2046;23;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2047;24;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Rural;7,903;7,790;26;87;7,903;7,770;42;2;89;99.7;0.3;99.5;0.5;4,004;3,951;14;39;4,004;3,944;22;0;38;99.6;0.4;99.4;0.6;3,899;3,839;12;48;3,899;3,826;20;2;51;99.7;0.3;99.5;0.5
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2048;25;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Tarvita;16,812;16,657;59;96;16,812;16,624;71;13;104;99.6;0.4;99.6;0.4;8,268;8,196;32;40;8,268;8,185;33;8;42;99.6;0.4;99.6;0.4;8,544;8,461;27;56;8,544;8,439;38;5;62;99.7;0.3;99.6;0.4
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2049;26;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2050;27;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Rural;16,812;16,657;59;96;16,812;16,624;71;13;104;99.6;0.4;99.6;0.4;8,268;8,196;32;40;8,268;8,185;33;8;42;99.6;0.4;99.6;0.4;8,544;8,461;27;56;8,544;8,439;38;5;62;99.7;0.3;99.6;0.4
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2051;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;44,443;44,067;164;212;44,443;43,979;195;41;228;99.6;0.4;99.6;0.4;22,889;22,682;89;118;22,889;22,631;104;26;128;99.6;0.4;99.5;0.5;21,554;21,385;75;94;21,554;21,348;91;15;100;99.7;0.3;99.6;0.4
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2052;29;Provincia;Chuquisaca;Zudáñez;;Urbana;9,730;9,674;30;26;9,730;9,657;33;13;27;99.7;0.3;99.7;0.3;4,840;4,810;17;13;4,840;4,802;17;8;13;99.6;0.4;99.6;0.4;4,890;4,864;13;13;4,890;4,855;16;5;14;99.7;0.3;99.7;0.3
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2053;30;Provincia;Chuquisaca;Zudáñez;;Rural;34,713;34,393;134;186;34,713;34,322;162;28;201;99.6;0.4;99.5;0.5;18,049;17,872;72;105;18,049;17,829;87;18;115;99.6;0.4;99.5;0.5;16,664;16,521;62;81;16,664;16,493;75;10;86;99.6;0.4;99.5;0.5
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2054;31;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;13,694;13,619;19;56;13,694;13,596;28;8;62;99.9;0.1;99.8;0.2;7,143;7,102;10;31;7,143;7,089;17;3;34;99.9;0.1;99.8;0.2;6,551;6,517;9;25;6,551;6,507;11;5;28;99.9;0.1;99.8;0.2
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2055;32;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Urbana;4,790;4,762;13;15;4,790;4,756;16;2;16;99.7;0.3;99.7;0.3;2,422;2,406;7;9;2,422;2,402;10;1;9;99.7;0.3;99.6;0.4;2,368;2,356;6;6;2,368;2,354;6;1;7;99.7;0.3;99.7;0.3
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2056;33;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Rural;8,904;8,857;6;41;8,904;8,840;12;6;46;99.9;0.1;99.9;0.1;4,721;4,696;3;22;4,721;4,687;7;2;25;99.9;0.1;99.9;0.1;4,183;4,161;3;19;4,183;4,153;5;4;21;99.9;0.1;99.9;0.1
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2057;34;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Presto;12,539;12,379;74;86;12,539;12,345;88;15;91;99.4;0.6;99.3;0.7;6,550;6,460;41;49;6,550;6,441;44;11;54;99.4;0.6;99.3;0.7;5,989;5,919;33;37;5,989;5,904;44;4;37;99.4;0.6;99.3;0.7
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2058;35;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Urbana;2,220;2,199;10;11;2,220;2,191;9;9;11;99.5;0.5;99.6;0.4;1,091;1,080;7;4;1,091;1,077;3;7;4;99.4;0.6;99.7;0.3;1,129;1,119;3;7;1,129;1,114;6;2;7;99.7;0.3;99.5;0.5
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2059;36;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Rural;10,319;10,180;64;75;10,319;10,154;79;6;80;99.4;0.6;99.2;0.8;5,459;5,380;34;45;5,459;5,364;41;4;50;99.4;0.6;99.2;0.8;4,860;4,800;30;30;4,860;4,790;38;2;30;99.4;0.6;99.2;0.8
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2060;37;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;9,055;9,013;36;6;9,055;8,996;43;10;6;99.6;0.4;99.5;0.5;4,515;4,492;19;4;4,515;4,480;24;7;4;99.6;0.4;99.5;0.5;4,540;4,521;17;2;4,540;4,516;19;3;2;99.6;0.4;99.6;0.4
