cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_estado_civil;2001_total;2001_hombres;2001_mujeres;2001_grupo_de_dedad__15_a_17;2001_grupo_de_dedad__18_a_28;2001_grupo_de_dedad__29_a_39;2001_grupo_de_dedad__40_a_59;2001_grupo_de_dedad__60_o_mas;2012_total;2012_hombres;2012_mujeres;2012_grupo_de_dedad__15_a_17;2012_grupo_de_dedad__18_a_28;2012_grupo_de_dedad__29_a_39;2012_grupo_de_dedad__40_a_59;2012_grupo_de_dedad__60_o_mas;2024_total;2024_hombres;2024_mujeres;2024_grupo_de_dedad__15_a_17;2024_grupo_de_dedad__18_a_28;2024_grupo_de_dedad__29_a_39;2024_grupo_de_dedad__40_a_59;2024_grupo_de_dedad__60_o_mas
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2034;11;País;;;;Casado;1,282,157;666,880;615,277;3,220;212,378;418,185;502,997;145,377;1,580,172;820,020;760,152;3,291;189,222;479,592;654,475;253,592;1,623,266;838,503;784,763;537;86,175;427,921;752,512;356,121
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2035;12;País;;;;Conviviente o concubino;428,028;226,958;201,070;8,335;211,685;133,668;66,274;8,066;776,048;407,578;368,470;14,162;316,195;268,333;153,783;23,575;1,087,362;562,851;524,511;6,111;313,283;428,011;294,157;45,800
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2036;13;País;;;;Separado;71,665;50,557;21,108;370;11,267;20,661;31,366;8,001;96,357;63,802;32,555;386;10,583;24,889;45,590;14,909;169,838;104,484;65,354;900;18,534;43,286;76,666;30,452
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2037;14;País;;;;Divorciado;54,211;35,199;19,012;47;3,162;12,447;27,960;10,595;79,117;48,661;30,456;91;2,438;14,339;41,252;20,997;158,431;95,529;62,902;166;3,151;23,794;83,364;47,956
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2038;15;País;;;;Viudo;141,854;106,460;35,394;64;1,611;7,045;42,480;90,654;175,597;129,962;45,635;196;2,319;7,404;44,213;121,465;230,022;169,583;60,439;490;2,617;7,859;51,642;167,414
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2039;16;País;;;;Sin especificar;;;;;;;;;11,428;5,706;5,722;195;2,718;3,642;3,645;1,228;120,582;50,579;70,003;4,432;41,628;28,165;29,110;17,247
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2040;17;País;;;;Rural;1,798,652;870,026;928,626;178,361;483,894;364,751;484,327;287,319;2,179,189;1,034,837;1,144,352;219,939;569,387;428,263;592,603;368,997;2,522,328;1,192,757;1,329,571;184,331;619,727;523,720;727,675;466,875
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2041;18;País;;;;Soltero;528,013;221,670;306,343;168,054;236,074;56,688;45,627;21,570;760,607;325,106;435,501;205,835;320,266;101,415;89,019;44,072;858,493;370,028;488,465;173,663;365,010;145,354;122,773;51,693
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2042;19;País;;;;Casado;876,339;430,840;445,499;2,928;127,103;229,752;351,949;164,607;871,268;418,256;453,012;3,042;85,467;193,539;379,457;209,763;837,912;401,340;436,572;491;45,775;150,497;382,284;258,865
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2043;20;País;;;;Conviviente o concubino;240,634;121,086;119,548;7,031;116,165;67,435;40,470;9,533;380,732;188,633;192,099;10,344;156,560;120,092;76,019;17,717;537,616;264,402;273,214;5,574;176,276;191,256;137,514;26,996
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2044;21;País;;;;Separado;16,793;8,935;7,858;244;2,643;3,920;6,979;3,007;24,886;13,199;11,687;259;3,270;5,518;11,107;4,732;52,979;27,739;25,240;578;7,454;13,378;22,360;9,209
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2045;22;País;;;;Divorciado;8,955;4,171;4,784;32;630;1,584;3,944;2,765;11,211;4,996;6,215;51;548;1,653;5,463;3,496;26,203;12,220;13,983;79;771;3,593;13,632;8,128
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2046;23;País;;;;Viudo;127,918;83,324;44,594;72;1,279;5,372;35,358;85,837;125,124;82,021;43,103;295;2,230;4,690;29,762;88,147;130,178;85,884;44,294;208;1,369;3,709;27,607;97,285
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2047;24;País;;;;Sin especificar;;;;;;;;;5,361;2,626;2,735;113;1,046;1,356;1,776;1,070;78,947;31,144;47,803;3,738;23,072;15,933;21,505;14,699
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2048;25;Departamento;Chuquisaca;;;Chuquisaca;308,992;161,736;147,256;32,678;95,795;61,285;75,703;43,531;386,095;199,027;187,068;38,541;113,645;78,690;94,951;60,268;447,688;228,876;218,812;34,376;123,171;94,142;119,447;76,552
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2049;26;Departamento;Chuquisaca;;;Soltero;113,586;56,011;57,575;31,474;58,018;11,686;8,309;4,099;160,730;78,629;82,101;37,030;76,855;21,946;16,029;8,870;186,377;90,646;95,731;33,116;88,347;31,680;22,996;10,238
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2050;27;Departamento;Chuquisaca;;;Casado;133,216;68,580;64,636;286;17,847;37,557;54,252;23,274;139,375;71,116;68,259;330;11,263;35,332;60,622;31,828;129,039;65,947;63,092;41;4,198;23,700;61,079;40,021
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2051;28;Departamento;Chuquisaca;;;Conviviente o concubino;36,561;19,316;17,245;871;19,108;9,840;5,367;1,375;57,219;29,606;27,613;1,137;24,607;18,990;9,762;2,723;84,133;43,068;41,065;665;25,949;32,994;20,602;3,923
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2052;29;Departamento;Chuquisaca;;;Separado;2,764;1,866;898;30;459;731;1,096;448;3,658;2,268;1,390;17;402;876;1,645;718;8,150;4,950;3,200;83;1,072;2,137;3,441;1,417
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2053;30;Departamento;Chuquisaca;;;Divorciado;3,220;2,094;1,126;6;195;700;1,562;757;4,606;2,846;1,760;3;145;763;2,424;1,271;9,435;5,545;3,890;18;199;1,250;5,032;2,936
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2054;31;Departamento;Chuquisaca;;;Viudo;19,645;13,869;5,776;11;168;771;5,117;13,578;19,974;14,299;5,675;17;278;650;4,286;14,743;21,230;14,923;6,307;52;226;531;4,084;16,337
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2055;32;Departamento;Chuquisaca;;;Sin especificar;;;;;;;;;533;263;270;7;95;133;183;115;9,324;3,797;5,527;401;3,180;1,850;2,213;1,680
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2056;33;Departamento;Chuquisaca;;;Urbana;140,224;75,229;64,995;15,836;53,604;27,484;29,191;14,109;197,220;105,499;91,721;19,635;68,901;42,471;42,756;23,457;251,791;132,912;118,879;19,248;76,375;57,652;63,862;34,654
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2057;34;Departamento;Chuquisaca;;;Soltero;63,555;32,715;30,840;15,414;36,986;6,014;3,497;1,644;93,100;47,980;45,120;19,121;49,917;12,647;7,686;3,729;114,330;57,851;56,479;18,802;58,679;19,908;12,327;4,614
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2058;35;Departamento;Chuquisaca;;;Casado;53,851;28,120;25,731;105;8,539;17,058;21,067;7,082;65,341;34,407;30,934;90;6,376;19,711;27,134;12,030;69,755;36,613;33,142;16;2,597;16,437;33,408;17,297
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2059;36;Departamento;Chuquisaca;;;Conviviente o concubino;12,180;6,495;5,685;294;7,560;3,053;1,122;151;24,903;13,251;11,652;410;12,149;8,551;3,200;593;40,681;21,271;19,410;198;12,610;17,821;8,973;1,079
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2060;37;Departamento;Chuquisaca;;;Separado;1,670;1,219;451;13;299;486;670;202;2,260;1,488;772;5;219;581;1,072;383;4,981;3,205;1,776;48;597;1,360;2,134;842
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2061;38;Departamento;Chuquisaca;;;Divorciado;2,490;1,704;786;5;157;588;1,252;488;3,694;2,403;1,291;3;114;661;1,961;955;7,653;4,682;2,971;10;139;1,017;4,154;2,333
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2062;39;Departamento;Chuquisaca;;;Viudo;6,478;4,976;1,502;5;63;285;1,583;4,542;7,701;5,856;1,845;5;82;250;1,633;5,731;10,335;7,619;2,716;33;122;283;2,012;7,885
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2063;40;Departamento;Chuquisaca;;;Sin especificar;;;;;;;;;221;114;107;1;44;70;70;36;4,056;1,671;2,385;141;1,631;826;854;604
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2064;41;Departamento;Chuquisaca;;;Rural;168,768;86,507;82,261;16,842;42,191;33,801;46,512;29,422;188,875;93,528;95,347;18,906;44,744;36,219;52,195;36,811;195,897;95,964;99,933;15,128;46,796;36,490;55,585;41,898
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2065;42;Departamento;Chuquisaca;;;Soltero;50,031;23,296;26,735;16,060;21,032;5,672;4,812;2,455;67,630;30,649;36,981;17,909;26,938;9,299;8,343;5,141;72,047;32,795;39,252;14,314;29,668;11,772;10,669;5,624
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2066;43;Departamento;Chuquisaca;;;Casado;79,365;40,460;38,905;181;9,308;20,499;33,185;16,192;74,034;36,709;37,325;240;4,887;15,621;33,488;19,798;59,284;29,334;29,950;25;1,601;7,263;27,671;22,724
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2067;44;Departamento;Chuquisaca;;;Conviviente o concubino;24,381;12,821;11,560;577;11,548;6,787;4,245;1,224;32,316;16,355;15,961;727;12,458;10,439;6,562;2,130;43,452;21,797;21,655;467;13,339;15,173;11,629;2,844
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2068;45;Departamento;Chuquisaca;;;Separado;1,094;647;447;17;160;245;426;246;1,398;780;618;12;183;295;573;335;3,169;1,745;1,424;35;475;777;1,307;575
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2069;46;Departamento;Chuquisaca;;;Divorciado;730;390;340;1;38;112;310;269;912;443;469;0;31;102;463;316;1,782;863;919;8;60;233;878;603
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2070;47;Departamento;Chuquisaca;;;Viudo;13,167;8,893;4,274;6;105;486;3,534;9,036;12,273;8,443;3,830;12;196;400;2,653;9,012;10,895;7,304;3,591;19;104;248;2,072;8,452
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2071;48;Departamento;Chuquisaca;;;Sin especificar;;;;;;;;;312;149;163;6;51;63;113;79;5,268;2,126;3,142;260;1,549;1,024;1,359;1,076
