cuadro;no;nivel;departamento;provincia;municipio_tioc;area;2012_total;2012_total_tiene;2012_total_no_tiene;2012_hombres_total;2012_hombres_tiene;2012_hombres_no_tiene;2012_mujeres_total;2012_mujeres_tiene;2012_mujeres_no_tiene;2024_total;2024_total_tiene;2024_total_no_tiene;2024_total_cedula_boliviana_de_extranjero;2024_total_sin_especificar;2024_hombres_total;2024_hombres_tiene;2024_hombres_no_tiene;2024_hombres_cedula_boliviana_de_extranjero;2024_hombres_sin_especificar;2024_mujeres_total;2024_mujeres_tiene;2024_mujeres_no_tiene;2024_mujeres_cedula_boliviana_de_extranjero;2024_mujeres_sin_especificar
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2057;34;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Presto;12,385;8,424;3,961;6,305;4,317;1,988;6,080;4,107;1,973;12,539;12,345;88;15;91;6,550;6,441;44;11;54;5,989;5,904;44;4;37
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2058;35;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Urbana;2,908;2,228;680;1,457;1,089;368;1,451;1,139;312;2,220;2,191;9;9;11;1,091;1,077;3;7;4;1,129;1,114;6;2;7
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2059;36;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Rural;9,477;6,196;3,281;4,848;3,228;1,620;4,629;2,968;1,661;10,319;10,154;79;6;80;5,459;5,364;41;4;50;4,860;4,790;38;2;30
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2060;37;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;8,068;5,836;2,232;3,985;2,885;1,100;4,083;2,951;1,132;9,055;8,996;43;10;6;4,515;4,480;24;7;4;4,540;4,516;19;3;2
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2061;38;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Urbana;;;;;;;;;;2,720;2,710;8;2;0;1,327;1,323;4;0;0;1,393;1,387;4;2;0
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2062;39;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Rural;8,068;5,836;2,232;3,985;2,885;1,100;4,083;2,951;1,132;6,335;6,286;35;8;6;3,188;3,157;20;7;4;3,147;3,129;15;1;2
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2063;40;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Icla;7,774;6,077;1,697;3,884;3,032;852;3,890;3,045;845;9,155;9,042;36;8;69;4,681;4,621;19;5;36;4,474;4,421;17;3;33
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2064;41;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Urbana;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2065;42;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Rural;7,774;6,077;1,697;3,884;3,032;852;3,890;3,045;845;9,155;9,042;36;8;69;4,681;4,621;19;5;36;4,474;4,421;17;3;33
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2066;43;Provincia;Chuquisaca;Tomina;;Tomina;35,556;26,991;8,565;18,023;13,740;4,283;17,533;13,251;4,282;34,065;33,783;143;54;85;17,224;17,067;83;27;47;16,841;16,716;60;27;38
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2067;44;Provincia;Chuquisaca;Tomina;;Urbana;5,456;4,411;1,045;2,561;2,068;493;2,895;2,343;552;6,252;6,218;9;16;9;2,983;2,966;5;8;4;3,269;3,252;4;8;5
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2068;45;Provincia;Chuquisaca;Tomina;;Rural;30,100;22,580;7,520;15,462;11,672;3,790;14,638;10,908;3,730;27,813;27,565;134;38;76;14,241;14,101;78;19;43;13,572;13,464;56;19;33
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2069;46;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Padilla;10,383;7,937;2,446;5,254;4,027;1,227;5,129;3,910;1,219;9,192;9,104;37;22;29;4,628;4,580;20;11;17;4,564;4,524;17;11;12
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2070;47;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Urbana;3,314;2,589;725;1,548;1,210;338;1,766;1,379;387;4,232;4,211;8;9;4;2,009;1,999;5;3;2;2,223;2,212;3;6;2
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2071;48;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Rural;7,069;5,348;1,721;3,706;2,817;889;3,363;2,531;832;4,960;4,893;29;13;25;2,619;2,581;15;8;15;2,341;2,312;14;5;10
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2072;49;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Tomina;8,494;5,991;2,503;4,294;3,064;1,230;4,200;2,927;1,273;8,509;8,440;35;18;16;4,310;4,273;19;9;9;4,199;4,167;16;9;7
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2073;50;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Urbana;;;;;;;;;;2,020;2,007;1;7;5;974;967;0;5;2;1,046;1,040;1;2;3
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2074;51;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Rural;8,494;5,991;2,503;4,294;3,064;1,230;4,200;2,927;1,273;6,489;6,433;34;11;11;3,336;3,306;19;4;7;3,153;3,127;15;7;4
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2075;52;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Sopachuy;7,312;5,532;1,780;3,674;2,793;881;3,638;2,739;899;6,942;6,890;26;9;17;3,507;3,479;13;4;11;3,435;3,411;13;5;6
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2076;53;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Urbana;2,142;1,822;320;1,013;858;155;1,129;964;165;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2077;54;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Rural;5,170;3,710;1,460;2,661;1,935;726;2,509;1,775;734;6,942;6,890;26;9;17;3,507;3,479;13;4;11;3,435;3,411;13;5;6
