cuadro;no;nivel;departamento;provincia;municipio_tioc;area;2001_total;2001_total_tiene;2001_total_no_tiene;2001_total_sin_especificar;2001_hombres_total;2001_hombres_tiene;2001_hombres_no_tiene;2001_hombres_sin_especificar;2001_mujeres_total;2001_mujeres_tiene;2001_mujeres_no_tiene;2001_mujeres_sin_especificar;2012_total;2012_total_tiene;2012_total_no_tiene;2012_total_sin_especificar;2012_hombres_total;2012_hombres_tiene;2012_hombres_no_tiene;2012_hombres_sin_especificar;2012_mujeres_total;2012_mujeres_tiene;2012_mujeres_no_tiene;2012_mujeres_sin_especificar;2024_total;2024_total_tiene;2024_total_no_tiene;2024_total_sin_especificar;2024_hombres_total;2024_hombres_tiene;2024_hombres_no_tiene;2024_hombres_sin_especificar;2024_mujeres_total;2024_mujeres_tiene;2024_mujeres_no_tiene;2024_mujeres_sin_especificar
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2052;29;Provincia;Chuquisaca;Zudáñez;;Urbana;;;;;;;;;;;;;7,076;6,942;117;17;3,581;3,502;66;13;3,495;3,440;51;4;9,730;9,674;30;26;4,840;4,810;17;13;4,890;4,864;13;13
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2053;30;Provincia;Chuquisaca;Zudáñez;;Rural;32,418;26,473;5,119;826;16,205;13,476;2,313;416;16,213;12,997;2,806;410;32,513;31,233;1,068;212;16,388;15,790;493;105;16,125;15,443;575;107;34,713;34,393;134;186;18,049;17,872;72;105;16,664;16,521;62;81
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2054;31;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;7,423;6,210;1,079;134;3,755;3,201;483;71;3,668;3,009;596;63;11,362;11,105;187;70;5,795;5,667;91;37;5,567;5,438;96;33;13,694;13,619;19;56;7,143;7,102;10;31;6,551;6,517;9;25
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2055;32;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Urbana;;;;;;;;;;;;;4,168;4,133;23;12;2,124;2,101;15;8;2,044;2,032;8;4;4,790;4,762;13;15;2,422;2,406;7;9;2,368;2,356;6;6
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2056;33;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Rural;7,423;6,210;1,079;134;3,755;3,201;483;71;3,668;3,009;596;63;7,194;6,972;164;58;3,671;3,566;76;29;3,523;3,406;88;29;8,904;8,857;6;41;4,721;4,696;3;22;4,183;4,161;3;19
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2057;34;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Presto;8,892;6,888;1,725;279;4,346;3,433;766;147;4,546;3,455;959;132;12,385;11,689;605;91;6,305;5,967;296;42;6,080;5,722;309;49;12,539;12,379;74;86;6,550;6,460;41;49;5,989;5,919;33;37
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2058;35;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Urbana;;;;;;;;;;;;;2,908;2,809;94;5;1,457;1,401;51;5;1,451;1,408;43;0;2,220;2,199;10;11;1,091;1,080;7;4;1,129;1,119;3;7
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2059;36;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Rural;8,892;6,888;1,725;279;4,346;3,433;766;147;4,546;3,455;959;132;9,477;8,880;511;86;4,848;4,566;245;37;4,629;4,314;266;49;10,319;10,180;64;75;5,459;5,380;34;45;4,860;4,800;30;30
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2060;37;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;7,926;6,960;772;194;4,023;3,558;363;102;3,903;3,402;409;92;8,068;7,828;190;50;3,985;3,879;75;31;4,083;3,949;115;19;9,055;9,013;36;6;4,515;4,492;19;4;4,540;4,521;17;2
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2061;38;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;2,720;2,713;7;0;1,327;1,324;3;0;1,393;1,389;4;0
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2062;39;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Rural;7,926;6,960;772;194;4,023;3,558;363;102;3,903;3,402;409;92;8,068;7,828;190;50;3,985;3,879;75;31;4,083;3,949;115;19;6,335;6,300;29;6;3,188;3,168;16;4;3,147;3,132;13;2
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2063;40;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Icla;8,177;6,415;1,543;219;4,081;3,284;701;96;4,096;3,131;842;123;7,774;7,553;203;18;3,884;3,779;97;8;3,890;3,774;106;10;9,155;9,056;35;64;4,681;4,628;19;34;4,474;4,428;16;30
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2064;41;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2065;42;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Rural;8,177;6,415;1,543;219;4,081;3,284;701;96;4,096;3,131;842;123;7,774;7,553;203;18;3,884;3,779;97;8;3,890;3,774;106;10;9,155;9,056;35;64;4,681;4,628;19;34;4,474;4,428;16;30
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2066;43;Provincia;Chuquisaca;Tomina;;Tomina;37,373;27,918;8,561;894;18,930;14,518;3,981;431;18,443;13,400;4,580;463;35,556;34,414;944;198;18,023;17,441;467;115;17,533;16,973;477;83;34,065;33,845;144;76;17,224;17,097;85;42;16,841;16,748;59;34
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2067;44;Provincia;Chuquisaca;Tomina;;Urbana;2,714;2,466;213;35;1,255;1,160;81;14;1,459;1,306;132;21;5,456;5,392;52;12;2,561;2,529;26;6;2,895;2,863;26;6;6,252;6,225;20;7;2,983;2,968;13;2;3,269;3,257;7;5
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2068;45;Provincia;Chuquisaca;Tomina;;Rural;34,659;25,452;8,348;859;17,675;13,358;3,900;417;16,984;12,094;4,448;442;30,100;29,022;892;186;15,462;14,912;441;109;14,638;14,110;451;77;27,813;27,620;124;69;14,241;14,129;72;40;13,572;13,491;52;29
