cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_estado_civil;2001_total;2001_hombres;2001_mujeres;2001_grupo_de_dedad__15_a_17;2001_grupo_de_dedad__18_a_28;2001_grupo_de_dedad__29_a_39;2001_grupo_de_dedad__40_a_59;2001_grupo_de_dedad__60_o_mas;2012_total;2012_hombres;2012_mujeres;2012_grupo_de_dedad__15_a_17;2012_grupo_de_dedad__18_a_28;2012_grupo_de_dedad__29_a_39;2012_grupo_de_dedad__40_a_59;2012_grupo_de_dedad__60_o_mas;2024_total;2024_hombres;2024_mujeres;2024_grupo_de_dedad__15_a_17;2024_grupo_de_dedad__18_a_28;2024_grupo_de_dedad__29_a_39;2024_grupo_de_dedad__40_a_59;2024_grupo_de_dedad__60_o_mas
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2034;11;País;;;;Casado;39.1;38.7;39.6;0.9;18.6;56.9;66.6;49.8;33.5;33.4;33.6;0.7;12.5;43.6;57.3;49.8;28.1;28.0;28.1;0.1;5.4;30.5;47.7;46.6
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2035;12;País;;;;Conviviente o concubino;13.1;13.2;12.9;2.4;18.5;18.2;8.8;2.8;16.4;16.6;16.3;3.1;20.8;24.4;13.5;4.6;18.8;18.8;18.8;1.4;19.6;30.5;18.6;6.0
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2036;13;País;;;;Separado;2.2;2.9;1.4;0.1;1.0;2.8;4.2;2.7;2.0;2.6;1.4;0.1;0.7;2.3;4.0;2.9;2.9;3.5;2.3;0.2;1.2;3.1;4.9;4.0
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2037;14;País;;;;Divorciado;1.7;2.0;1.2;0.0;0.3;1.7;3.7;3.6;1.7;2.0;1.3;0.0;0.2;1.3;3.6;4.1;2.7;3.2;2.3;0.0;0.2;1.7;5.3;6.3
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2038;15;País;;;;Viudo;4.3;6.2;2.3;0.0;0.1;1.0;5.6;31.1;3.7;5.3;2.0;0.0;0.2;0.7;3.9;23.9;4.0;5.7;2.2;0.1;0.2;0.6;3.3;21.9
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2039;16;País;;;;Sin especificar;;;;;;;;;0.2;0.2;0.3;0.0;0.2;0.3;0.3;0.2;2.1;1.7;2.5;1.0;2.6;2.0;1.8;2.3
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2040;17;País;;;;Rural;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2041;18;País;;;;Soltero;29.4;25.5;33.0;94.2;48.8;15.5;9.4;7.5;34.9;31.4;38.1;93.6;56.2;23.7;15.0;11.9;34.0;31.0;36.7;94.2;58.9;27.8;16.9;11.1
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2042;19;País;;;;Casado;48.7;49.5;48.0;1.6;26.3;63.0;72.7;57.3;40.0;40.4;39.6;1.4;15.0;45.2;64.0;56.8;33.2;33.6;32.8;0.3;7.4;28.7;52.5;55.4
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2043;20;País;;;;Conviviente o concubino;13.4;13.9;12.9;3.9;24.0;18.5;8.4;3.3;17.5;18.2;16.8;4.7;27.5;28.0;12.8;4.8;21.3;22.2;20.5;3.0;28.4;36.5;18.9;5.8
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2044;21;País;;;;Separado;0.9;1.0;0.8;0.1;0.5;1.1;1.4;1.0;1.1;1.3;1.0;0.1;0.6;1.3;1.9;1.3;2.1;2.3;1.9;0.3;1.2;2.6;3.1;2.0
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2045;22;País;;;;Divorciado;0.5;0.5;0.5;0.0;0.1;0.4;0.8;1.0;0.5;0.5;0.5;0.0;0.1;0.4;0.9;0.9;1.0;1.0;1.1;0.0;0.1;0.7;1.9;1.7
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2046;23;País;;;;Viudo;7.1;9.6;4.8;0.0;0.3;1.5;7.3;29.9;5.7;7.9;3.8;0.1;0.4;1.1;5.0;23.9;5.2;7.2;3.3;0.1;0.2;0.7;3.8;20.8
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2047;24;País;;;;Sin especificar;;;;;;;;;0.2;0.3;0.2;0.1;0.2;0.3;0.3;0.3;3.1;2.6;3.6;2.0;3.7;3.0;3.0;3.1
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2048;25;Departamento;Chuquisaca;;;Chuquisaca;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2049;26;Departamento;Chuquisaca;;;Soltero;36.8;34.6;39.1;96.3;60.6;19.1;11.0;9.4;41.6;39.5;43.9;96.1;67.6;27.9;16.9;14.7;41.6;39.6;43.8;96.3;71.7;33.7;19.3;13.4
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2050;27;Departamento;Chuquisaca;;;Casado;43.1;42.4;43.9;0.9;18.6;61.3;71.7;53.5;36.1;35.7;36.5;0.9;9.9;44.9;63.8;52.8;28.8;28.8;28.8;0.1;3.4;25.2;51.1;52.3
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2051;28;Departamento;Chuquisaca;;;Conviviente o concubino;11.8;11.9;11.7;2.7;19.9;16.1;7.1;3.2;14.8;14.9;14.8;3.0;21.7;24.1;10.3;4.5;18.8;18.8;18.8;1.9;21.1;35.0;17.2;5.1
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2052;29;Departamento;Chuquisaca;;;Separado;0.9;1.2;0.6;0.1;0.5;1.2;1.4;1.0;0.9;1.1;0.7;0.0;0.4;1.1;1.7;1.2;1.8;2.2;1.5;0.2;0.9;2.3;2.9;1.9
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2053;30;Departamento;Chuquisaca;;;Divorciado;1.0;1.3;0.8;0.0;0.2;1.1;2.1;1.7;1.2;1.4;0.9;0.0;0.1;1.0;2.6;2.1;2.1;2.4;1.8;0.1;0.2;1.3;4.2;3.8
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2054;31;Departamento;Chuquisaca;;;Viudo;6.4;8.6;3.9;0.0;0.2;1.3;6.8;31.2;5.2;7.2;3.0;0.0;0.2;0.8;4.5;24.5;4.7;6.5;2.9;0.2;0.2;0.6;3.4;21.3
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2055;32;Departamento;Chuquisaca;;;Sin especificar;;;;;;;;;0.1;0.1;0.1;0.0;0.1;0.2;0.2;0.2;2.1;1.7;2.5;1.2;2.6;2.0;1.9;2.2
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2056;33;Departamento;Chuquisaca;;;Urbana;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2057;34;Departamento;Chuquisaca;;;Soltero;45.3;43.5;47.4;97.3;69.0;21.9;12.0;11.7;47.2;45.5;49.2;97.4;72.4;29.8;18.0;15.9;45.4;43.5;47.5;97.7;76.8;34.5;19.3;13.3
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2058;35;Departamento;Chuquisaca;;;Casado;38.4;37.4;39.6;0.7;15.9;62.1;72.2;50.2;33.1;32.6;33.7;0.5;9.3;46.4;63.5;51.3;27.7;27.5;27.9;0.1;3.4;28.5;52.3;49.9
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2059;36;Departamento;Chuquisaca;;;Conviviente o concubino;8.7;8.6;8.7;1.9;14.1;11.1;3.8;1.1;12.6;12.6;12.7;2.1;17.6;20.1;7.5;2.5;16.2;16.0;16.3;1.0;16.5;30.9;14.1;3.1
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2060;37;Departamento;Chuquisaca;;;Separado;1.2;1.6;0.7;0.1;0.6;1.8;2.3;1.4;1.1;1.4;0.8;0.0;0.3;1.4;2.5;1.6;2.0;2.4;1.5;0.2;0.8;2.4;3.3;2.4
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2061;38;Departamento;Chuquisaca;;;Divorciado;1.8;2.3;1.2;0.0;0.3;2.1;4.3;3.5;1.9;2.3;1.4;0.0;0.2;1.6;4.6;4.1;3.0;3.5;2.5;0.1;0.2;1.8;6.5;6.7
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2062;39;Departamento;Chuquisaca;;;Viudo;4.6;6.6;2.3;0.0;0.1;1.0;5.4;32.2;3.9;5.6;2.0;0.0;0.1;0.6;3.8;24.4;4.1;5.7;2.3;0.2;0.2;0.5;3.2;22.8
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2063;40;Departamento;Chuquisaca;;;Sin especificar;;;;;;;;;0.1;0.1;0.1;0.0;0.1;0.2;0.2;0.2;1.6;1.3;2.0;0.7;2.1;1.4;1.3;1.7
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2064;41;Departamento;Chuquisaca;;;Rural;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2065;42;Departamento;Chuquisaca;;;Soltero;29.6;26.9;32.5;95.4;49.8;16.8;10.3;8.3;35.8;32.8;38.8;94.7;60.2;25.7;16.0;14.0;36.8;34.2;39.3;94.6;63.4;32.3;19.2;13.4
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2066;43;Departamento;Chuquisaca;;;Casado;47.0;46.8;47.3;1.1;22.1;60.6;71.3;55.0;39.2;39.2;39.1;1.3;10.9;43.1;64.2;53.8;30.3;30.6;30.0;0.2;3.4;19.9;49.8;54.2
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2067;44;Departamento;Chuquisaca;;;Conviviente o concubino;14.4;14.8;14.1;3.4;27.4;20.1;9.1;4.2;17.1;17.5;16.7;3.8;27.8;28.8;12.6;5.8;22.2;22.7;21.7;3.1;28.5;41.6;20.9;6.8
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2068;45;Departamento;Chuquisaca;;;Separado;0.6;0.7;0.5;0.1;0.4;0.7;0.9;0.8;0.7;0.8;0.6;0.1;0.4;0.8;1.1;0.9;1.6;1.8;1.4;0.2;1.0;2.1;2.4;1.4
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2069;46;Departamento;Chuquisaca;;;Divorciado;0.4;0.5;0.4;0.0;0.1;0.3;0.7;0.9;0.5;0.5;0.5;0.0;0.1;0.3;0.9;0.9;0.9;0.9;0.9;0.1;0.1;0.6;1.6;1.4
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL,  CENSOS 2001 ,2012 Y  2070;47;Departamento;Chuquisaca;;;Viudo;7.8;10.3;5.2;0.0;0.2;1.4;7.6;30.7;6.5;9.0;4.0;0.1;0.4;1.1;5.1;24.5;5.6;7.6;3.6;0.1;0.2;0.7;3.7;20.2
