cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;total;total_hombres;total_mujeres;total_sin_especificar;2019_total;2019_hombres;2019_mujeres;2019_sin_especificar;2020_total;2020_hombres;2020_mujeres;2020_sin_especificar;2021_total;2021_hombres;2021_mujeres;2021_sin_especificar;2022_total;2022_hombres;2022_mujeres;2022_sin_especificar;2023_total;2023_hombres;2023_mujeres;2023_sin_especificar;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2063;Municipio/TIOC;La Paz;Los Andes;Pucarani;60 o más;46.5;41.8;51.8;;49.5;41.7;56.1;;43.1;45.1;41.2;;46.5;44.8;48.8;;49.1;42.2;58.3;;43.9;34.6;54.3;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2064;Municipio/TIOC;La Paz;Los Andes;Pucarani;Sin especificar;3.3;3.3;3.3;;1.0;0.0;1.8;;4.9;3.9;5.9;;2.0;3.4;0.0;;2.7;3.1;2.1;;6.1;5.8;6.5;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2065;Municipio/TIOC;La Paz;Los Andes;Pucarani;Rural;100;100;100;100;100;100;100;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2066;Municipio/TIOC;La Paz;Los Andes;Pucarani;0 a 17;5.1;5.5;4.5;0.0;5.1;3.4;7.1;;4.3;5.6;2.2;0.0;5.0;5.5;4.4;0.0;3.5;2.0;5.6;0.0;7.3;10.5;3.6;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2067;Municipio/TIOC;La Paz;Los Andes;Pucarani;18 a 29;4.4;5.7;2.8;0.0;4.7;4.8;4.7;;4.1;5.2;2.2;0.0;2.7;3.9;1.1;0.0;4.9;6.0;3.5;0.0;6.2;8.9;3.0;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2068;Municipio/TIOC;La Paz;Los Andes;Pucarani;30 a 59;21.2;20.3;22.3;33.3;24.5;21.1;28.3;;19.6;14.7;27.9;0.0;21.9;23.4;19.8;0.0;22.1;24.5;18.2;100.0;18.5;17.8;19.3;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2069;Municipio/TIOC;La Paz;Los Andes;Pucarani;60 o más;65.8;65.2;66.8;0.0;62.4;67.3;56.7;;67.4;70.6;62.5;0.0;67.2;64.1;72.0;0.0;66.3;64.5;69.2;0.0;64.4;59.2;70.5;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2070;Municipio/TIOC;La Paz;Los Andes;Pucarani;Sin especificar;3.6;3.4;3.6;66.7;3.3;3.4;3.1;;4.6;3.9;5.1;100.0;3.2;3.1;2.7;100.0;3.2;3.0;3.5;0.0;3.6;3.7;3.6;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2071;Municipio/TIOC;La Paz;Los Andes;Laja;Laja;100;100;100;100;100;100;100;;100;100;100;;100;100;100;100;100;100;100;;100;100;100;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2072;Municipio/TIOC;La Paz;Los Andes;Laja;0 a 17;5.5;5.1;6.1;0.0;5.0;2.1;8.7;;5.5;4.9;6.6;;3.3;3.8;2.6;0.0;5.3;4.2;6.7;;8.4;9.9;6.8;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2073;Municipio/TIOC;La Paz;Los Andes;Laja;18 a 29;6.0;7.1;4.7;0.0;6.9;7.6;6.1;;4.3;5.8;1.6;;5.0;5.4;4.6;0.0;6.1;6.3;5.8;;8.1;10.5;5.4;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2074;Municipio/TIOC;La Paz;Los Andes;Laja;30 a 59;23.4;23.6;22.9;100.0;25.0;23.4;27.0;;21.3;23.8;17.2;;24.3;22.7;25.7;100.0;21.5;23.8;18.3;;24.7;24.4;25.0;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2075;Municipio/TIOC;La Paz;Los Andes;Laja;60 o más;63.0;62.4;63.8;0.0;58.5;64.1;51.3;;67.7;64.1;73.8;;66.0;66.5;65.8;0.0;64.4;61.5;68.3;;57.5;55.2;60.1;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2076;Municipio/TIOC;La Paz;Los Andes;Laja;Sin especificar;2.1;1.9;2.5;0.0;4.6;2.8;7.0;;1.2;1.5;0.8;;1.5;1.6;1.3;0.0;2.8;4.2;1.0;;1.3;0.0;2.7;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2077;Municipio/TIOC;La Paz;Los Andes;Laja;Urbana;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2078;Municipio/TIOC;La Paz;Los Andes;Laja;0 a 17;5.4;5.1;5.7;;3.7;0.0;7.4;;6.0;6.8;4.3;;4.2;5.0;3.2;;6.8;4.8;8.7;;6.3;7.0;5.6;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2079;Municipio/TIOC;La Paz;Los Andes;Laja;18 a 29;10.8;13.7;7.1;;13.0;14.8;11.1;;7.5;11.4;0.0;;8.5;7.5;9.7;;15.9;19.0;13.0;;11.4;18.6;2.8;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2080;Municipio/TIOC;La Paz;Los Andes;Laja;30 a 59;33.7;28.6;40.0;;33.3;29.6;37.0;;32.8;29.5;39.1;;36.6;27.5;48.4;;27.3;19.0;34.8;;35.4;32.6;38.9;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2081;Municipio/TIOC;La Paz;Los Andes;Laja;60 o más;47.0;50.3;42.9;;38.9;51.9;25.9;;50.7;50.0;52.2;;47.9;55.0;38.7;;50.0;57.1;43.5;;46.8;41.9;52.8;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2082;Municipio/TIOC;La Paz;Los Andes;Laja;Sin especificar;3.2;2.3;4.3;;11.1;3.7;18.5;;3.0;2.3;4.3;;2.8;5.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2083;Municipio/TIOC;La Paz;Los Andes;Laja;Rural;100;100;100;100;100;100;100;;100;100;100;;100;100;100;100;100;100;100;;100;100;100;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2084;Municipio/TIOC;La Paz;Los Andes;Laja;0 a 17;5.5;5.0;6.2;0.0;5.3;2.5;9.1;;5.4;4.3;7.1;;3.0;3.4;2.5;0.0;4.9;4.1;6.2;;9.1;10.9;7.1;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2085;Municipio/TIOC;La Paz;Los Andes;Laja;18 a 29;4.8;5.3;4.0;0.0;5.3;5.9;4.5;;3.4;4.3;2.0;;4.1;4.8;3.3;0.0;3.9;4.1;3.7;;7.1;7.8;6.3;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2086;Municipio/TIOC;La Paz;Los Andes;Laja;30 a 59;20.6;22.3;18.2;100.0;22.8;22.0;23.9;;18.4;22.2;12.1;;21.0;21.4;19.8;100.0;20.2;24.6;13.6;;21.2;21.7;20.5;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2087;Municipio/TIOC;La Paz;Los Andes;Laja;60 o más;67.2;65.5;69.7;0.0;63.6;66.9;59.1;;72.0;67.9;78.8;;70.8;69.7;72.7;0.0;67.5;62.3;75.3;;61.0;59.7;62.5;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2088;Municipio/TIOC;La Paz;Los Andes;Laja;Sin especificar;1.9;1.8;2.0;0.0;2.9;2.5;3.4;;0.8;1.2;0.0;;1.1;0.7;1.7;0.0;3.4;4.9;1.2;;1.7;0.0;3.6;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2089;Municipio/TIOC;La Paz;Los Andes;Batallas;Batallas;100;100;100;100;100;100;100;;100;100;100;100;100;100;100;;100;100;100;;100;100;100;100;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2090;Municipio/TIOC;La Paz;Los Andes;Batallas;0 a 17;4.1;4.8;3.1;0.0;5.4;6.5;3.5;;3.6;3.8;3.2;0.0;4.2;4.6;3.6;;3.0;3.4;2.5;;4.7;6.7;3.1;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2091;Municipio/TIOC;La Paz;Los Andes;Batallas;18 a 29;5.4;6.3;4.2;0.0;3.6;3.6;3.5;;8.1;8.2;8.1;0.0;5.7;7.8;2.7;;4.5;6.8;1.7;;4.2;3.8;4.6;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2092;Municipio/TIOC;La Paz;Los Andes;Batallas;30 a 59;20.5;21.6;19.2;0.0;20.1;21.7;17.4;;18.1;16.3;21.0;0.0;22.7;20.9;25.2;;23.0;27.0;18.2;;18.6;24.0;14.5;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2093;Municipio/TIOC;La Paz;Los Andes;Batallas;60 o más;66.2;62.6;70.9;50.0;61.6;58.0;67.4;;67.6;67.4;67.7;100.0;64.8;64.1;65.8;;66.9;60.1;75.2;;69.5;61.5;76.3;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2094;Municipio/TIOC;La Paz;Los Andes;Batallas;Sin especificar;3.8;4.7;2.6;50.0;9.4;10.1;8.1;;2.6;4.3;0.0;0.0;2.7;2.6;2.7;;2.6;2.7;2.5;;3.0;3.8;1.5;100.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2095;Municipio/TIOC;La Paz;Los Andes;Batallas;Urbana;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2096;Municipio/TIOC;La Paz;Los Andes;Batallas;0 a 17;3.6;3.2;4.1;;4.2;0.0;8.3;;4.9;3.4;8.3;;8.6;9.1;7.7;;0.0;0.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2097;Municipio/TIOC;La Paz;Los Andes;Batallas;18 a 29;6.0;7.4;4.1;;4.2;8.3;0.0;;4.9;6.9;0.0;;5.7;4.5;7.7;;2.9;5.6;0.0;;11.8;14.3;10.0;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2098;Municipio/TIOC;La Paz;Los Andes;Batallas;30 a 59;24.4;32.6;13.7;;16.7;33.3;0.0;;22.0;24.1;16.7;;28.6;36.4;15.4;;29.4;44.4;12.5;;23.5;28.6;20.0;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2099;Municipio/TIOC;La Paz;Los Andes;Batallas;60 o más;64.3;53.7;78.1;;66.7;41.7;91.7;;65.9;62.1;75.0;;57.1;50.0;69.2;;67.6;50.0;87.5;;64.7;57.1;70.0;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2100;Municipio/TIOC;La Paz;Los Andes;Batallas;Sin especificar;1.8;3.2;0.0;;8.3;16.7;0.0;;2.4;3.4;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2101;Municipio/TIOC;La Paz;Los Andes;Batallas;Rural;100;100;100;100;100;100;100;;100;100;100;100;100;100;100;;100;100;100;;100;100;100;100;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2102;Municipio/TIOC;La Paz;Los Andes;Batallas;0 a 17;4.1;5.1;3.0;0.0;5.5;7.1;2.7;;3.4;3.9;2.7;0.0;3.5;3.8;3.1;;3.4;3.8;2.9;;5.4;7.8;3.6;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2103;Municipio/TIOC;La Paz;Los Andes;Batallas;18 a 29;5.3;6.2;4.2;0.0;3.5;3.2;4.1;;8.6;8.4;8.9;0.0;5.7;8.4;2.0;;4.7;6.9;1.9;;3.0;2.2;3.6;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2104;Municipio/TIOC;La Paz;Los Andes;Batallas;30 a 59;19.9;19.9;20.0;0.0;20.5;20.6;20.3;;17.5;14.8;21.4;0.0;21.8;18.3;26.5;;22.1;24.6;19.0;;17.8;23.3;13.5;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2105;Municipio/TIOC;La Paz;Los Andes;Batallas;60 o más;66.5;63.9;69.8;50.0;61.0;59.5;63.5;;67.9;68.4;67.0;100.0;65.9;66.4;65.3;;66.8;61.5;73.3;;70.3;62.2;77.5;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2106;Municipio/TIOC;La Paz;Los Andes;Batallas;Sin especificar;4.1;4.9;3.0;50.0;9.5;9.5;9.5;;2.6;4.5;0.0;0.0;3.1;3.1;3.1;;3.0;3.1;2.9;;3.5;4.4;1.8;100.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2107;Municipio/TIOC;La Paz;Los Andes;Puerto Pérez;Puerto Pérez;100;100;100;100;100;100;100;;100;100;100;;100;100;100;;100;100;100;100;100;100;100;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2108;Municipio/TIOC;La Paz;Los Andes;Puerto Pérez;0 a 17;3.1;3.9;2.1;0.0;3.9;2.4;5.6;;0.9;1.5;0.0;;4.0;5.9;0.0;;2.9;7.1;0.0;0.0;4.8;5.0;4.5;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2109;Municipio/TIOC;La Paz;Los Andes;Puerto Pérez;18 a 29;3.6;2.6;4.7;0.0;3.9;2.4;5.6;;0.9;1.5;0.0;;2.7;2.0;4.2;;1.4;0.0;2.5;0.0;9.5;7.5;11.4;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2110;Municipio/TIOC;La Paz;Los Andes;Puerto Pérez;30 a 59;17.4;17.1;17.9;0.0;19.5;19.5;19.4;;16.7;16.2;17.4;;24.0;15.7;41.7;;13.0;17.9;10.0;0.0;14.3;17.5;11.4;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2111;Municipio/TIOC;La Paz;Los Andes;Puerto Pérez;60 o más;70.6;71.9;68.9;100.0;70.1;75.6;63.9;;77.2;76.5;78.3;;62.7;70.6;45.8;;75.4;71.4;77.5;100.0;65.5;62.5;68.2;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2112;Municipio/TIOC;La Paz;Los Andes;Puerto Pérez;Sin especificar;5.3;4.4;6.3;0.0;2.6;0.0;5.6;;4.4;4.4;4.3;;6.7;5.9;8.3;;7.2;3.6;10.0;0.0;6.0;7.5;4.5;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2113;Municipio/TIOC;La Paz;Los Andes;Puerto Pérez;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2114;Municipio/TIOC;La Paz;Los Andes;Puerto Pérez;0 a 17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
