cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;total_total;total_hombres;total_mujeres;total_sin_especificar;2019_total;2019_hombres;2019_mujeres;2019_sin_especificar;2020_total;2020_hombres;2020_mujeres;2020_sin_especificar;2021_total;2021_hombres;2021_mujeres;2021_sin_especificar;2022_total;2022_hombres;2022_mujeres;2022_sin_especificar;2023_total;2023_hombres;2023_mujeres;2023_sin_especificar;2024_total;2024_hombres;2024_mujeres;2024_sin_especificar;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);19;Departamento;Chuquisaca;;;Chuquisaca;17,267;9,346;7,898;23;2,539;1,354;1,181;4;3,407;1,903;1,500;4;3,792;2,091;1,694;7;3,553;1,923;1,628;2;3,976;2,075;1,895;6;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);20;Departamento;Chuquisaca;;;0 a 17;969;542;424;3;167;96;69;2;176;98;78;0;173;85;88;0;199;114;85;0;254;149;104;1;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);21;Departamento;Chuquisaca;;;18 a 29;881;590;290;1;132;88;43;1;156;104;52;0;192;130;62;0;175;122;53;0;226;146;80;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);22;Departamento;Chuquisaca;;;30 a 59;3,827;2,371;1,454;2;573;360;213;0;758;469;288;1;928;592;336;0;737;446;291;0;831;504;326;1;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);23;Departamento;Chuquisaca;;;60 o más;11,037;5,554;5,477;6;1,593;774;818;1;2,211;1,175;1,035;1;2,371;1,223;1,148;0;2,328;1,180;1,146;2;2,534;1,202;1,330;2;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);24;Departamento;Chuquisaca;;;Sin especificar;553;289;253;11;74;36;38;0;106;57;47;2;128;61;60;7;114;61;53;0;131;74;55;2;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);25;Departamento;Chuquisaca;;;Urbana;9,301;4,971;4,320;10;1,370;724;643;3;1,981;1,134;845;2;2,193;1,209;982;2;1,847;968;878;1;1,910;936;972;2;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);26;Departamento;Chuquisaca;;;0 a 17;418;239;176;3;70;37;31;2;82;48;34;0;81;43;38;0;84;48;36;0;101;63;37;1;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);27;Departamento;Chuquisaca;;;18 a 29;393;256;136;1;56;35;20;1;73;47;26;0;78;54;24;0;75;53;22;0;111;67;44;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);28;Departamento;Chuquisaca;;;30 a 59;2,217;1,347;869;1;341;214;127;0;458;284;173;1;589;381;208;0;414;238;176;0;415;230;185;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);29;Departamento;Chuquisaca;;;60 o más;6,069;3,033;3,035;1;876;426;450;0;1,324;733;591;0;1,398;707;691;0;1,232;609;622;1;1,239;558;681;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);30;Departamento;Chuquisaca;;;Sin especificar;204;96;104;4;27;12;15;0;44;22;21;1;47;24;21;2;42;20;22;0;44;18;25;1;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);31;Departamento;Chuquisaca;;;Rural;7,966;4,375;3,578;13;1,169;630;538;1;1,426;769;655;2;1,599;882;712;5;1,706;955;750;1;2,066;1,139;923;4;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);32;Departamento;Chuquisaca;;;0 a 17;551;303;248;0;97;59;38;0;94;50;44;0;92;42;50;0;115;66;49;0;153;86;67;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);33;Departamento;Chuquisaca;;;18 a 29;488;334;154;0;76;53;23;0;83;57;26;0;114;76;38;0;100;69;31;0;115;79;36;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);34;Departamento;Chuquisaca;;;30 a 59;1,610;1,024;585;1;232;146;86;0;300;185;115;0;339;211;128;0;323;208;115;0;416;274;141;1;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);35;Departamento;Chuquisaca;;;60 o más;4,968;2,521;2,442;5;717;348;368;1;887;442;444;1;973;516;457;0;1,096;571;524;1;1,295;644;649;2;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);36;Departamento;Chuquisaca;;;Sin especificar;349;193;149;7;47;24;23;0;62;35;26;1;81;37;39;5;72;41;31;0;87;56;30;1;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);37;Provincia;Chuquisaca;Oropeza;;Oropeza;9,258;4,988;4,262;8;1,345;712;630;3;1,963;1,116;845;2;2,147;1,198;948;1;1,853;970;882;1;1,950;992;957;1;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);38;Provincia;Chuquisaca;Oropeza;;0 a 17;441;245;193;3;77;39;36;2;79;49;30;0;82;39;43;0;92;53;39;0;111;65;45;1;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);39;Provincia;Chuquisaca;Oropeza;;18 a 29;379;236;142;1;52;31;20;1;75;46;29;0;78;53;25;0;68;45;23;0;106;61;45;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);40;Provincia;Chuquisaca;Oropeza;;30 a 59;2,162;1,347;814;1;319;206;113;0;438;279;158;1;587;382;205;0;404;244;160;0;414;236;178;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);41;Provincia;Chuquisaca;Oropeza;;60 o más;6,023;3,030;2,992;1;868;425;443;0;1,315;713;602;0;1,341;691;650;0;1,241;605;635;1;1,258;596;662;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);42;Provincia;Chuquisaca;Oropeza;;Sin especificar;253;130;121;2;29;11;18;0;56;29;26;1;59;33;25;1;48;23;25;0;61;34;27;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);43;Provincia;Chuquisaca;Oropeza;;Urbana;7,619;4,078;3,533;8;1,115;576;536;3;1,649;956;691;2;1,820;1,009;810;1;1,504;787;716;1;1,531;750;780;1;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);44;Provincia;Chuquisaca;Oropeza;;0 a 17;337;186;148;3;59;31;26;2;67;42;25;0;67;32;35;0;63;34;29;0;81;47;33;1;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);45;Provincia;Chuquisaca;Oropeza;;18 a 29;297;186;110;1;39;22;16;1;55;32;23;0;63;46;17;0;51;35;16;0;89;51;38;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);46;Provincia;Chuquisaca;Oropeza;;30 a 59;1,820;1,118;701;1;274;172;102;0;373;239;133;1;507;334;173;0;342;199;143;0;324;174;150;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);47;Provincia;Chuquisaca;Oropeza;;60 o más;4,995;2,509;2,485;1;722;344;378;0;1,113;623;490;0;1,145;576;569;0;1,011;501;509;1;1,004;465;539;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);48;Provincia;Chuquisaca;Oropeza;;Sin especificar;170;79;89;2;21;7;14;0;41;20;20;1;38;21;16;1;37;18;19;0;33;13;20;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);49;Provincia;Chuquisaca;Oropeza;;Rural;1,639;910;729;0;230;136;94;0;314;160;154;0;327;189;138;0;349;183;166;0;419;242;177;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);50;Provincia;Chuquisaca;Oropeza;;0 a 17;104;59;45;0;18;8;10;0;12;7;5;0;15;7;8;0;29;19;10;0;30;18;12;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);51;Provincia;Chuquisaca;Oropeza;;18 a 29;82;50;32;0;13;9;4;0;20;14;6;0;15;7;8;0;17;10;7;0;17;10;7;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);52;Provincia;Chuquisaca;Oropeza;;30 a 59;342;229;113;0;45;34;11;0;65;40;25;0;80;48;32;0;62;45;17;0;90;62;28;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);53;Provincia;Chuquisaca;Oropeza;;60 o más;1,028;521;507;0;146;81;65;0;202;90;112;0;196;115;81;0;230;104;126;0;254;131;123;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);54;Provincia;Chuquisaca;Oropeza;;Sin especificar;83;51;32;0;8;4;4;0;15;9;6;0;21;12;9;0;11;5;6;0;28;21;7;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);55;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;8,444;4,530;3,906;8;1,240;655;582;3;1,802;1,031;769;2;1,973;1,095;877;1;1,681;873;807;1;1,748;876;871;1;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);56;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;0 a 17;382;210;169;3;68;34;32;2;69;43;26;0;73;35;38;0;76;42;34;0;96;56;39;1;;;;;;;;;;
