cuarto;no;nivel;departamento;provincia;municipio_tioc;area;2001_total_mujeres;2001_mujeres_sin_informacion;2001_mujeres_sin_hijos;2001_mujeres_con_hijos;2001_hijos_nacidos_vivos;2001_paridez_media;2012_total_mujeres;2012_mujeres_sin_informacion;2012_mujeres_sin_hijos;2012_mujeres_con_hijos;2012_hijos_nacidos_vivos;2012_paridez_media;2024_total_mujeres;2024_mujeres_sin_informacion;2024_mujeres_sin_hijos;2024_mujeres_con_hijos;2024_hijos_nacidos_vivos;2024_paridez_media;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2034;11;País;;;;20 a 24;289,174;32,540;120,171;136,463;238,148;0.9;366,803;94,044;119,774;152,985;248,235;0.9;371,061;83,124;181,438;106,499;154,912;0.5;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2035;12;País;;;;25 a 29;222,424;12,762;47,207;162,455;391,150;1.9;306,913;48,037;60,061;198,815;419,151;1.6;369,608;50,591;113,569;205,448;374,403;1.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2036;13;País;;;;30 a 34;186,473;5,948;19,541;160,984;510,441;2.8;285,549;29,992;30,331;225,226;607,201;2.4;344,959;27,651;60,290;257,018;571,796;1.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2037;14;País;;;;35 a 39;164,295;3,829;10,600;149,866;589,447;3.7;233,993;20,887;15,418;197,688;639,274;3.0;308,952;16,727;32,901;259,324;675,082;2.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2038;15;País;;;;40 a 44;140,152;2,840;6,937;130,375;586,546;4.3;194,615;16,208;9,183;169,224;627,274;3.5;272,921;11,444;20,197;241,280;704,655;2.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2039;16;País;;;;45 a 49;107,536;1,971;5,096;100,469;494,830;4.7;159,232;12,018;6,611;140,603;581,513;4.0;221,160;8,809;13,934;198,417;625,665;2.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2040;17;País;;;;Rural;620,871;93,470;95,864;431,537;1,991,412;3.8;720,261;176,545;94,277;449,439;1,720,213;3.2;805,804;156,265;142,136;507,403;1,512,722;2.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2041;18;País;;;;15 a 19;129,580;52,035;53,489;24,056;32,349;0.4;161,464;85,223;50,911;25,330;32,223;0.4;140,489;63,549;60,698;16,242;19,188;0.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2042;19;País;;;;20 a 24;109,268;17,208;20,284;71,776;155,059;1.7;118,785;33,317;19,691;65,777;122,563;1.4;135,691;35,018;36,163;64,510;102,866;1.0;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2043;20;País;;;;25 a 29;90,679;7,953;8,195;74,531;246,838;3.0;103,189;17,495;9,637;76,057;203,811;2.4;130,515;20,104;19,524;90,887;196,122;1.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2044;21;País;;;;30 a 34;80,596;5,173;4,569;70,854;325,151;4.3;96,085;12,216;5,286;78,583;287,050;3.4;112,590;12,316;10,071;90,203;247,346;2.5;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2045;22;País;;;;35 a 39;78,554;4,325;3,484;70,745;407,216;5.5;86,877;10,405;3,592;72,880;331,950;4.3;102,086;9,637;6,628;85,821;286,452;3.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2046;23;País;;;;40 a 44;69,631;3,575;3,029;63,027;420,984;6.4;79,115;9,523;2,667;66,925;361,534;5.2;96,028;8,274;4,913;82,841;323,211;3.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2047;24;País;;;;45 a 49;62,563;3,201;2,814;56,548;403,815;6.8;74,746;8,366;2,493;63,887;381,082;5.7;88,405;7,367;4,139;76,899;337,537;4.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2048;25;Departamento;Chuquisaca;;;Chuquisaca;121,121;19,770;23,541;77,810;322,973;3.2;144,315;28,353;32,051;83,911;283,894;2.4;160,847;23,454;46,301;91,092;240,361;1.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2049;26;Departamento;Chuquisaca;;;15 a 19;26,556;10,687;12,178;3,691;4,675;0.3;31,066;12,529;14,785;3,752;4,632;0.2;28,326;9,078;17,036;2,212;2,514;0.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2050;27;Departamento;Chuquisaca;;;20 a 24;24,154;4,839;6,548;12,767;24,711;1.3;27,005;6,481;9,222;11,302;18,910;0.9;28,774;6,229;13,488;9,057;13,125;0.6;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2051;28;Departamento;Chuquisaca;;;25 a 29;18,024;1,878;2,435;13,711;40,012;2.5;21,391;3,163;4,030;14,198;32,699;1.8;25,996;3,482;7,897;14,617;26,756;1.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2052;29;Departamento;Chuquisaca;;;30 a 34;15,139;866;940;13,333;53,840;3.8;19,802;2,010;1,750;16,042;50,123;2.8;21,999;1,764;3,675;16,560;37,960;1.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2053;30;Departamento;Chuquisaca;;;35 a 39;14,177;616;576;12,985;67,074;4.9;16,890;1,518;980;14,392;56,439;3.7;20,579;1,186;1,944;17,449;49,292;2.5;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2054;31;Departamento;Chuquisaca;;;40 a 44;12,506;498;484;11,524;68,744;5.7;14,812;1,467;667;12,678;59,380;4.4;18,479;880;1,249;16,350;54,073;3.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2055;32;Departamento;Chuquisaca;;;45 a 49;10,565;386;380;9,799;63,917;6.3;13,349;1,185;617;11,547;61,711;5.1;16,694;835;1,012;14,847;56,641;3.6;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2056;33;Departamento;Chuquisaca;;;Urbana;60,657;10,543;16,158;33,956;109,395;2.2;82,254;15,146;22,622;44,486;121,988;1.8;99,215;12,691;33,436;53,088;125,051;1.4;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2057;34;Departamento;Chuquisaca;;;15 a 19;14,368;5,252;7,725;1,391;1,687;0.2;17,461;6,451;9,460;1,550;1,906;0.2;16,619;4,612;11,297;710;780;0.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2058;35;Departamento;Chuquisaca;;;20 a 24;14,011;3,205;5,223;5,583;9,144;0.8;17,570;4,038;7,408;6,124;9,433;0.7;18,249;3,803;10,422;4,024;5,521;0.4;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2059;36;Departamento;Chuquisaca;;;25 a 29;9,336;1,153;1,837;6,346;14,703;1.8;12,966;1,803;3,111;8,052;16,091;1.4;16,421;2,104;6,121;8,196;13,821;1.0;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2060;37;Departamento;Chuquisaca;;;30 a 34;7,114;388;636;6,090;19,069;2.8;11,184;1,013;1,256;8,915;23,345;2.3;14,049;948;2,730;10,371;21,693;1.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2061;38;Departamento;Chuquisaca;;;35 a 39;6,265;240;323;5,702;22,604;3.8;9,102;705;635;7,762;24,474;2.9;13,062;562;1,378;11,122;28,113;2.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2062;39;Departamento;Chuquisaca;;;40 a 44;5,331;173;227;4,931;22,639;4.4;7,618;642;413;6,563;24,122;3.5;11,395;372;831;10,192;28,981;2.6;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2063;40;Departamento;Chuquisaca;;;45 a 49;4,232;132;187;3,913;19,549;4.8;6,353;494;339;5,520;22,617;3.9;9,420;290;657;8,473;26,142;2.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2064;41;Departamento;Chuquisaca;;;Rural;60,464;9,227;7,383;43,854;213,578;4.2;62,061;13,207;9,429;39,425;161,906;3.3;61,632;10,763;12,865;38,004;115,310;2.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2065;42;Departamento;Chuquisaca;;;15 a 19;12,188;5,435;4,453;2,300;2,988;0.4;13,605;6,078;5,325;2,202;2,726;0.4;11,707;4,466;5,739;1,502;1,734;0.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2066;43;Departamento;Chuquisaca;;;20 a 24;10,143;1,634;1,325;7,184;15,567;1.8;9,435;2,443;1,814;5,178;9,477;1.4;10,525;2,426;3,066;5,033;7,604;0.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2067;44;Departamento;Chuquisaca;;;25 a 29;8,688;725;598;7,365;25,309;3.2;8,425;1,360;919;6,146;16,608;2.4;9,575;1,378;1,776;6,421;12,935;1.6;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2068;45;Departamento;Chuquisaca;;;30 a 34;8,025;478;304;7,243;34,771;4.6;8,618;997;494;7,127;26,778;3.5;7,950;816;945;6,189;16,267;2.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2069;46;Departamento;Chuquisaca;;;35 a 39;7,912;376;253;7,283;44,470;5.9;7,788;813;345;6,630;31,965;4.6;7,517;624;566;6,327;21,179;3.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2070;47;Departamento;Chuquisaca;;;40 a 44;7,175;325;257;6,593;46,105;6.7;7,194;825;254;6,115;35,258;5.5;7,084;508;418;6,158;25,092;3.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2071;48;Departamento;Chuquisaca;;;45 a 49;6,333;254;193;5,886;44,368;7.3;6,996;691;278;6,027;39,094;6.2;7,274;545;355;6,374;30,499;4.5;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2072;49;Provincia;Chuquisaca;Oropeza;;Oropeza;64,015;10,964;16,179;36,872;128,146;2.4;80,767;15,001;21,801;43,965;127,608;1.9;92,537;11,995;30,764;49,778;119,821;1.5;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2073;50;Provincia;Chuquisaca;Oropeza;;15 a 19;14,641;5,419;7,745;1,477;1,808;0.2;16,976;6,347;9,078;1,551;1,902;0.2;15,671;4,457;10,435;779;866;0.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2074;51;Provincia;Chuquisaca;Oropeza;;20 a 24;14,617;3,294;5,203;6,120;10,416;0.9;17,184;3,990;7,163;6,031;9,485;0.7;17,012;3,506;9,667;3,839;5,335;0.4;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2075;52;Provincia;Chuquisaca;Oropeza;;25 a 29;9,764;1,180;1,825;6,759;16,606;1.9;12,579;1,790;2,968;7,821;16,128;1.5;15,286;1,963;5,649;7,674;13,064;1.0;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2076;53;Provincia;Chuquisaca;Oropeza;;30 a 34;7,520;419;637;6,464;21,687;3.1;10,913;993;1,211;8,709;23,854;2.4;12,891;888;2,458;9,545;20,125;1.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2077;54;Provincia;Chuquisaca;Oropeza;;35 a 39;6,720;267;318;6,135;26,259;4.1;8,959;703;624;7,632;25,493;3.1;12,097;524;1,244;10,329;26,584;2.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2078;55;Provincia;Chuquisaca;Oropeza;;40 a 44;5,894;210;245;5,439;27,055;4.8;7,605;666;416;6,523;25,501;3.7;10,575;353;726;9,496;27,700;2.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2079;56;Provincia;Chuquisaca;Oropeza;;45 a 49;4,859;175;206;4,478;24,315;5.2;6,551;512;341;5,698;25,245;4.2;9,005;304;585;8,116;26,147;3.0;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2080;57;Provincia;Chuquisaca;Oropeza;;Urbana;54,805;9,535;15,008;30,262;96,162;2.1;70,509;12,781;20,335;37,393;100,804;1.7;82,857;10,404;29,006;43,447;100,524;1.4;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2081;58;Provincia;Chuquisaca;Oropeza;;15 a 19;12,810;4,588;7,021;1,201;1,454;0.2;14,806;5,313;8,254;1,239;1,527;0.2;13,872;3,749;9,582;541;596;0.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2082;59;Provincia;Chuquisaca;Oropeza;;20 a 24;13,086;3,055;4,998;5,033;8,194;0.8;15,645;3,552;6,893;5,200;7,987;0.7;15,482;3,135;9,239;3,108;4,246;0.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2083;60;Provincia;Chuquisaca;Oropeza;;25 a 29;8,500;1,062;1,735;5,703;13,114;1.8;11,201;1,562;2,816;6,823;13,480;1.4;13,843;1,783;5,413;6,647;11,044;0.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2084;61;Provincia;Chuquisaca;Oropeza;;30 a 34;6,357;353;592;5,412;16,778;2.8;9,486;839;1,129;7,518;19,506;2.3;11,668;774;2,353;8,541;17,610;1.6;;
