cuadro;no;nivel;departamento;provincia;municipio_tioc;area;2021_mujeres_con_hijos;2021_partos_atendidos_por_personal_calificado;2024_mujeres_con_hijos;2024_partos_atendidos_por_personal_calificado
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;11;Municipio;Chuquisaca;Oropeza;Sucre;Urbana;16,987;15,101;15,704;15,254
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;12;Municipio;Chuquisaca;Oropeza;Sucre;Rural;1,931;746;1,161;1,089
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;13;Municipio;Chuquisaca;Oropeza;Yotala;Yotala;852;621;494;481
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;14;Municipio;Chuquisaca;Oropeza;Yotala;Urbana;;;;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;15;Municipio;Chuquisaca;Oropeza;Yotala;Rural;852;621;494;481
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;16;Municipio;Chuquisaca;Oropeza;Poroma;Poroma;1,739;274;832;658
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;17;Municipio;Chuquisaca;Oropeza;Poroma;Urbana;;;;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;18;Municipio;Chuquisaca;Oropeza;Poroma;Rural;1,739;274;832;658
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;19;Provincia;Chuquisaca;Azurduy;;Azurduy;2,786;744;1,533;1,319
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;20;Provincia;Chuquisaca;Azurduy;;Urbana;;;;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;21;Provincia;Chuquisaca;Azurduy;;Rural;2,786;744;1,533;1,319
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;22;Municipio;Chuquisaca;Azurduy;Azurduy;Azurduy;1,214;332;505;387
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;23;Municipio;Chuquisaca;Azurduy;Azurduy;Urbana;;;;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;24;Municipio;Chuquisaca;Azurduy;Azurduy;Rural;1,214;332;505;387
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;25;Municipio;Chuquisaca;Azurduy;Tarvita;Tarvita;1,572;412;1,028;932
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;26;Municipio;Chuquisaca;Azurduy;Tarvita;Urbana;;;;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;27;Municipio;Chuquisaca;Azurduy;Tarvita;Rural;1,572;412;1,028;932
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;3,114;930;2,582;2,266
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;29;Provincia;Chuquisaca;Zudáñez;;Urbana;;;638;607
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;30;Provincia;Chuquisaca;Zudáñez;;Rural;3,114;930;1,944;1,659
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;31;Municipio;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;675;305;779;740
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;32;Municipio;Chuquisaca;Zudáñez;Zudáñez;Urbana;;;305;294
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;33;Municipio;Chuquisaca;Zudáñez;Zudáñez;Rural;675;305;474;446
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;34;Municipio;Chuquisaca;Zudáñez;Presto;Presto;868;145;751;569
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;35;Municipio;Chuquisaca;Zudáñez;Presto;Urbana;;;145;132
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;36;Municipio;Chuquisaca;Zudáñez;Presto;Rural;868;145;606;437
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;37;Municipio;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;757;267;534;499
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;38;Municipio;Chuquisaca;Zudáñez;Mojocoya;Urbana;;;188;181
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;39;Municipio;Chuquisaca;Zudáñez;Mojocoya;Rural;757;267;346;318
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;40;Municipio;Chuquisaca;Zudáñez;Icla;Icla;814;213;518;458
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;41;Municipio;Chuquisaca;Zudáñez;Icla;Urbana;;;;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;42;Municipio;Chuquisaca;Zudáñez;Icla;Rural;814;213;518;458
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;43;Provincia;Chuquisaca;Tomina;;Tomina;3,430;1,676;2,071;1,982
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;44;Provincia;Chuquisaca;Tomina;;Urbana;200;174;414;410
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;45;Provincia;Chuquisaca;Tomina;;Rural;3,230;1,502;1,657;1,572
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;46;Municipio;Chuquisaca;Tomina;Padilla;Padilla;1,160;627;575;553
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;47;Municipio;Chuquisaca;Tomina;Padilla;Urbana;200;174;269;266
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;48;Municipio;Chuquisaca;Tomina;Padilla;Rural;960;453;306;287
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;49;Municipio;Chuquisaca;Tomina;Tomina;Tomina;889;387;536;514
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;50;Municipio;Chuquisaca;Tomina;Tomina;Urbana;;;145;144
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;51;Municipio;Chuquisaca;Tomina;Tomina;Rural;889;387;391;370
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;52;Municipio;Chuquisaca;Tomina;Sopachuy;Sopachuy;583;263;428;404
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;53;Municipio;Chuquisaca;Tomina;Sopachuy;Urbana;;;;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;54;Municipio;Chuquisaca;Tomina;Sopachuy;Rural;583;263;428;404
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1), SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;55;Municipio;Chuquisaca;Tomina;Alcalá;Alcalá;376;189;197;192
