cuadro;no;nivel;departamento;provincia;municipio_tioc;area;poblacion_con_cobertura_de_salud;hombres_con_cobertura_de_salud;mujeres_con_cobertura_de_salud;total_cobertura_de_salud;hombres_cobertura_de_salud;mujeres_cobertura_de_salud
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;11;Municipio;Chuquisaca;Oropeza;Sucre;Urbana;219,727;100,832;118,895;80.6;77.6;83.4
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;12;Municipio;Chuquisaca;Oropeza;Sucre;Rural;16,982;8,356;8,626;84.4;82.2;86.6
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;13;Municipio;Chuquisaca;Oropeza;Yotala;Yotala;8,055;3,973;4,082;89.1;87.7;90.6
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;14;Municipio;Chuquisaca;Oropeza;Yotala;Urbana;;;;;;
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;15;Municipio;Chuquisaca;Oropeza;Yotala;Rural;8,055;3,973;4,082;89.1;87.7;90.6
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;16;Municipio;Chuquisaca;Oropeza;Poroma;Poroma;11,769;5,941;5,828;89.4;88.2;90.6
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;17;Municipio;Chuquisaca;Oropeza;Poroma;Urbana;;;;;;
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;18;Municipio;Chuquisaca;Oropeza;Poroma;Rural;11,769;5,941;5,828;89.4;88.2;90.6
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;19;Provincia;Chuquisaca;Azurduy;;Azurduy;21,825;10,745;11,080;92.4;91.4;93.4
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;20;Provincia;Chuquisaca;Azurduy;;Urbana;;;;;;
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;21;Provincia;Chuquisaca;Azurduy;;Rural;21,825;10,745;11,080;92.4;91.4;93.4
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;22;Municipio;Chuquisaca;Azurduy;Azurduy;Azurduy;6,793;3,414;3,379;90.6;89.4;91.8
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;23;Municipio;Chuquisaca;Azurduy;Azurduy;Urbana;;;;;;
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;24;Municipio;Chuquisaca;Azurduy;Azurduy;Rural;6,793;3,414;3,379;90.6;89.4;91.8
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;25;Municipio;Chuquisaca;Azurduy;Tarvita;Tarvita;15,032;7,331;7,701;93.3;92.3;94.2
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;26;Municipio;Chuquisaca;Azurduy;Tarvita;Urbana;;;;;;
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;27;Municipio;Chuquisaca;Azurduy;Tarvita;Rural;15,032;7,331;7,701;93.3;92.3;94.2
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;39,671;20,180;19,491;92.3;91.3;93.3
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;29;Provincia;Chuquisaca;Zudáñez;;Urbana;8,761;4,286;4,475;92.0;90.4;93.5
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;30;Provincia;Chuquisaca;Zudáñez;;Rural;30,910;15,894;15,016;92.3;91.5;93.2
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;31;Municipio;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;12,430;6,418;6,012;93.5;92.7;94.3
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;32;Municipio;Chuquisaca;Zudáñez;Zudáñez;Urbana;4,340;2,157;2,183;92.5;91.0;94.1
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;33;Municipio;Chuquisaca;Zudáñez;Zudáñez;Rural;8,090;4,261;3,829;94.0;93.6;94.4
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;34;Municipio;Chuquisaca;Zudáñez;Presto;Presto;11,052;5,718;5,334;91.7;90.9;92.5
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;35;Municipio;Chuquisaca;Zudáñez;Presto;Urbana;1,979;958;1,021;92.3;90.8;93.7
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;36;Municipio;Chuquisaca;Zudáñez;Presto;Rural;9,073;4,760;4,313;91.5;90.9;92.2
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;37;Municipio;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;8,297;4,086;4,211;93.2;91.9;94.4
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;38;Municipio;Chuquisaca;Zudáñez;Mojocoya;Urbana;2,442;1,171;1,271;90.7;89.1;92.3
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;39;Municipio;Chuquisaca;Zudáñez;Mojocoya;Rural;5,855;2,915;2,940;94.2;93.1;95.3
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;40;Municipio;Chuquisaca;Zudáñez;Icla;Icla;7,892;3,958;3,934;90.4;89.1;91.7
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;41;Municipio;Chuquisaca;Zudáñez;Icla;Urbana;;;;;;
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;42;Municipio;Chuquisaca;Zudáñez;Icla;Rural;7,892;3,958;3,934;90.4;89.1;91.7
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;43;Provincia;Chuquisaca;Tomina;;Tomina;30,638;15,281;15,357;92.0;90.8;93.2
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;44;Provincia;Chuquisaca;Tomina;;Urbana;5,738;2,696;3,042;93.1;91.7;94.4
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;45;Provincia;Chuquisaca;Tomina;;Rural;24,900;12,585;12,315;91.7;90.6;92.9
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;46;Municipio;Chuquisaca;Tomina;Padilla;Padilla;8,404;4,145;4,259;93.6;91.9;95.3
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;47;Municipio;Chuquisaca;Tomina;Padilla;Urbana;3,873;1,797;2,076;93.1;90.8;95.1
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;48;Municipio;Chuquisaca;Tomina;Padilla;Rural;4,531;2,348;2,183;94.0;92.7;95.5
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;49;Municipio;Chuquisaca;Tomina;Tomina;Tomina;7,729;3,895;3,834;92.7;92.1;93.2
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;50;Municipio;Chuquisaca;Tomina;Tomina;Urbana;1,865;899;966;93.3;93.5;93.2
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;51;Municipio;Chuquisaca;Tomina;Tomina;Rural;5,864;2,996;2,868;92.4;91.7;93.3
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;52;Municipio;Chuquisaca;Tomina;Sopachuy;Sopachuy;6,048;2,999;3,049;89.2;87.8;90.6
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;53;Municipio;Chuquisaca;Tomina;Sopachuy;Urbana;;;;;;
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;54;Municipio;Chuquisaca;Tomina;Sopachuy;Rural;6,048;2,999;3,049;89.2;87.8;90.6
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;55;Municipio;Chuquisaca;Tomina;Alcalá;Alcalá;3,409;1,717;1,692;93.6;92.5;94.7
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;56;Municipio;Chuquisaca;Tomina;Alcalá;Urbana;;;;;;
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;57;Municipio;Chuquisaca;Tomina;Alcalá;Rural;3,409;1,717;1,692;93.6;92.5;94.7
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;58;Municipio;Chuquisaca;Tomina;El Villar;El Villar;5,048;2,525;2,523;90.8;89.5;92.1
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;59;Municipio;Chuquisaca;Tomina;El Villar;Urbana;;;;;;
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;60;Municipio;Chuquisaca;Tomina;El Villar;Rural;5,048;2,525;2,523;90.8;89.5;92.1
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;61;Provincia;Chuquisaca;Hernando Siles;;Hernando Siles;28,417;14,423;13,994;93.1;91.5;94.9
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;62;Provincia;Chuquisaca;Hernando Siles;;Urbana;11,602;5,576;6,026;90.9;88.4;93.3
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;63;Provincia;Chuquisaca;Hernando Siles;;Rural;16,815;8,847;7,968;94.8;93.6;96.1
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;64;Municipio;Chuquisaca;Hernando Siles;Monteagudo;Monteagudo;21,908;11,086;10,822;92.8;91.1;94.7
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;65;Municipio;Chuquisaca;Hernando Siles;Monteagudo;Urbana;11,602;5,576;6,026;90.9;88.4;93.3
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;66;Municipio;Chuquisaca;Hernando Siles;Monteagudo;Rural;10,306;5,510;4,796;95.1;93.9;96.4
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;67;Municipio;Chuquisaca;Hernando Siles;Huacareta;Huacareta;6,509;3,337;3,172;94.3;93.1;95.5
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;68;Municipio;Chuquisaca;Hernando Siles;Huacareta;Urbana;;;;;;
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;69;Municipio;Chuquisaca;Hernando Siles;Huacareta;Rural;6,509;3,337;3,172;94.3;93.1;95.5
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;70;Provincia;Chuquisaca;Yamparáez;;Yamparáez;18,266;8,970;9,296;87.2;85.9;88.5
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;71;Provincia;Chuquisaca;Yamparáez;;Urbana;2,500;1,161;1,339;86.1;84.4;87.5
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;72;Provincia;Chuquisaca;Yamparáez;;Rural;15,766;7,809;7,957;87.4;86.2;88.6
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;73;Municipio;Chuquisaca;Yamparáez;Tarabuco;Tarabuco;11,066;5,402;5,664;86.7;85.4;88.0
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;74;Municipio;Chuquisaca;Yamparáez;Tarabuco;Urbana;2,500;1,161;1,339;86.1;84.4;87.5
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;75;Municipio;Chuquisaca;Yamparáez;Tarabuco;Rural;8,566;4,241;4,325;86.9;85.7;88.1
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;76;Municipio;Chuquisaca;Yamparáez;Yamparáez;Yamparáez;7,200;3,568;3,632;88.0;86.8;89.2
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;77;Municipio;Chuquisaca;Yamparáez;Yamparáez;Urbana;;;;;;
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;78;Municipio;Chuquisaca;Yamparáez;Yamparáez;Rural;7,200;3,568;3,632;88.0;86.8;89.2
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;79;Provincia;Chuquisaca;Nor Cinti;;Nor Cinti;61,309;29,945;31,364;88.0;86.3;89.6
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;80;Provincia;Chuquisaca;Nor Cinti;;Urbana;12,157;5,664;6,493;89.5;87.6;91.2
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;81;Provincia;Chuquisaca;Nor Cinti;;Rural;49,152;24,281;24,871;87.6;86.0;89.3
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;82;Municipio;Chuquisaca;Nor Cinti;Camargo;Camargo;12,815;6,177;6,638;89.7;87.5;91.8
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;83;Municipio;Chuquisaca;Nor Cinti;Camargo;Urbana;4,767;2,203;2,564;89.7;87.5;91.7
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;84;Municipio;Chuquisaca;Nor Cinti;Camargo;Rural;8,048;3,974;4,074;89.7;87.6;91.8
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;85;Municipio;Chuquisaca;Nor Cinti;San Lucas;San Lucas;23,750;11,503;12,247;91.8;90.4;93.1
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;86;Municipio;Chuquisaca;Nor Cinti;San Lucas;Urbana;2,621;1,183;1,438;94.6;93.3;95.7
