cuadro;pregunta;no;nivel;departamento;provincia;municipio_tioc;area;2012_poblacion_total;2012_publico_acude;2012_publico_no_acude;2012_caja_de_salud_acude;2012_caja_de_salud_no_acude;2012_privado_acude;2012_privado_no_acude;2012_seguro_salud_privado_acude;2012_seguro_salud_privado_no_acude;2012_medico_tradicional_acude;2012_medico_tradicional_no_acude;2012_farmacia_o_automedica_acude;2012_farmacia_o_automedica_no_acude;2012_soluciones_caseras_acude;2012_soluciones_caseras_no_acude;2024_poblacion_total;2024_publico_acude;2024_publico_no_acude;2024_publico_sin_especificar;2024_caja_de_salud_acude;2024_caja_de_salud_no_acude;2024_caja_de_salud_sin_especificar;2024_privado_acude;2024_privado_no_acude;2024_privado_sin_especificar;2024_atencion_medica_a_domicilio_acude;2024_atencion_medica_a_domicilio_no_acude;2024_atencion_medica_a_domicilio_sin_especificar;2024_medico_tradicional_acude;2024_medico_tradicional_no_acude;2024_medico_tradicional_sin_especificar;2024_farmacia_o_automedica_acude;2024_farmacia_o_automedica_no_acude;2024_farmacia_o_automedica_sin_especificar;2024_soluciones_caseras_acude;2024_soluciones_caseras_no_acude;2024_soluciones_caseras_sin_especificar
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2033;a donde acuden las personas cuando tienen problemas de salud;11;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Urbana;238,798;146,300;92,498;72,377;166,421;45,035;193,763;37,478;201,320;31,384;207,414;141,350;97,448;120,681;118,117;275,959;191,813;83,043;1,103;79,301;195,504;1,154;84,043;190,721;1,195;18,088;256,659;1,212;56,616;218,124;1,219;156,507;118,233;1,219;188,683;86,058;1,218
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2034;a donde acuden las personas cuando tienen problemas de salud;12;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Rural;22,824;17,288;5,536;2,422;20,402;1,429;21,395;1,074;21,750;6,991;15,833;9,280;13,544;11,953;10,871;20,787;17,461;3,131;195;2,487;18,086;214;2,816;17,755;216;2,531;18,040;216;6,464;14,107;216;9,722;10,847;218;14,845;5,725;217
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2035;a donde acuden las personas cuando tienen problemas de salud;13;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;9,461;7,917;1,544;1,245;8,216;1,001;8,460;376;9,085;2,998;6,463;4,357;5,104;6,212;3,249;9,256;8,148;1,052;56;1,550;7,646;60;2,191;7,004;61;1,255;7,938;63;3,153;6,040;63;4,782;4,411;63;6,641;2,552;63
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2036;a donde acuden las personas cuando tienen problemas de salud;14;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2037;a donde acuden las personas cuando tienen problemas de salud;15;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Rural;9,461;7,917;1,544;1,245;8,216;1,001;8,460;376;9,085;2,998;6,463;4,357;5,104;6,212;3,249;9,256;8,148;1,052;56;1,550;7,646;60;2,191;7,004;61;1,255;7,938;63;3,153;6,040;63;4,782;4,411;63;6,641;2,552;63
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2038;a donde acuden las personas cuando tienen problemas de salud;16;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Poroma;16,532;12,159;4,373;930;15,602;553;15,979;365;16,167;7,639;8,893;4,301;12,231;9,947;6,585;13,649;11,742;1,787;120;931;12,590;128;1,013;12,509;127;1,829;11,692;128;4,180;9,341;128;3,717;9,804;128;8,609;4,913;127
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2039;a donde acuden las personas cuando tienen problemas de salud;17;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2040;a donde acuden las personas cuando tienen problemas de salud;18;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Rural;16,532;12,159;4,373;930;15,602;553;15,979;365;16,167;7,639;8,893;4,301;12,231;9,947;6,585;13,649;11,742;1,787;120;931;12,590;128;1,013;12,509;127;1,829;11,692;128;4,180;9,341;128;3,717;9,804;128;8,609;4,913;127
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2041;a donde acuden las personas cuando tienen problemas de salud;19;Provincia;Chuquisaca;Azurduy;;Azurduy;24,913;21,132;3,781;1,591;23,322;924;23,989;382;24,531;11,406;13,507;7,752;17,161;15,202;9,711;24,715;22,903;1,530;282;1,924;22,505;286;1,929;22,498;288;2,970;21,457;288;8,238;16,189;288;8,099;16,329;287;17,716;6,713;286
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2042;a donde acuden las personas cuando tienen problemas de salud;20;Provincia;Chuquisaca;Azurduy;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2043;a donde acuden las personas cuando tienen problemas de salud;21;Provincia;Chuquisaca;Azurduy;;Rural;24,913;21,132;3,781;1,591;23,322;924;23,989;382;24,531;11,406;13,507;7,752;17,161;15,202;9,711;24,715;22,903;1,530;282;1,924;22,505;286;1,929;22,498;288;2,970;21,457;288;8,238;16,189;288;8,099;16,329;287;17,716;6,713;286
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2044;a donde acuden las personas cuando tienen problemas de salud;22;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Azurduy;10,652;8,933;1,719;624;10,028;410;10,242;150;10,502;5,000;5,652;3,614;7,038;6,660;3,992;7,903;7,125;678;100;803;6,998;102;712;7,089;102;987;6,814;102;2,643;5,158;102;2,753;5,048;102;5,622;2,180;101
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2045;a donde acuden las personas cuando tienen problemas de salud;23;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2046;a donde acuden las personas cuando tienen problemas de salud;24;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Rural;10,652;8,933;1,719;624;10,028;410;10,242;150;10,502;5,000;5,652;3,614;7,038;6,660;3,992;7,903;7,125;678;100;803;6,998;102;712;7,089;102;987;6,814;102;2,643;5,158;102;2,753;5,048;102;5,622;2,180;101
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2047;a donde acuden las personas cuando tienen problemas de salud;25;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Tarvita;14,261;12,199;2,062;967;13,294;514;13,747;232;14,029;6,406;7,855;4,138;10,123;8,542;5,719;16,812;15,778;852;182;1,121;15,507;184;1,217;15,409;186;1,983;14,643;186;5,595;11,031;186;5,346;11,281;185;12,094;4,533;185
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2048;a donde acuden las personas cuando tienen problemas de salud;26;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2049;a donde acuden las personas cuando tienen problemas de salud;27;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Rural;14,261;12,199;2,062;967;13,294;514;13,747;232;14,029;6,406;7,855;4,138;10,123;8,542;5,719;16,812;15,778;852;182;1,121;15,507;184;1,217;15,409;186;1,983;14,643;186;5,595;11,031;186;5,346;11,281;185;12,094;4,533;185
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2050;a donde acuden las personas cuando tienen problemas de salud;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;39,589;31,814;7,775;3,459;36,130;2,151;37,438;1,317;38,272;19,069;20,520;14,696;24,893;24,676;14,913;44,443;40,901;3,170;372;3,390;40,666;387;4,473;39,582;388;6,732;37,323;388;18,565;25,491;387;19,029;25,026;388;32,309;11,748;386
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2051;a donde acuden las personas cuando tienen problemas de salud;29;Provincia;Chuquisaca;Zudáñez;;Urbana;7,076;5,817;1,259;1,110;5,966;736;6,340;481;6,595;2,777;4,299;3,135;3,941;4,235;2,841;9,730;8,820;857;53;1,573;8,097;60;1,740;7,929;61;1,075;8,594;61;4,336;5,334;60;5,826;3,843;61;7,297;2,373;60
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2052;a donde acuden las personas cuando tienen problemas de salud;30;Provincia;Chuquisaca;Zudáñez;;Rural;32,513;25,997;6,516;2,349;30,164;1,415;31,098;836;31,677;16,292;16,221;11,561;20,952;20,441;12,072;34,713;32,081;2,313;319;1,817;32,569;327;2,733;31,653;327;5,657;28,729;327;14,229;20,157;327;13,203;21,183;327;25,012;9,375;326
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2053;a donde acuden las personas cuando tienen problemas de salud;31;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;11,362;9,546;1,816;1,228;10,134;899;10,463;416;10,946;5,881;5,481;5,483;5,879;7,861;3,501;13,694;12,609;985;100;1,284;12,305;105;1,519;12,069;106;1,692;11,896;106;5,848;7,740;106;7,115;6,473;106;9,930;3,658;106
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2054;a donde acuden las personas cuando tienen problemas de salud;32;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Urbana;4,168;3,595;573;695;3,473;554;3,614;288;3,880;1,752;2,416;2,436;1,732;2,781;1,387;4,790;4,246;521;23;872;3,895;23;853;3,913;24;389;4,377;24;2,068;2,698;24;3,031;1,735;24;3,541;1,225;24
