cuadro;no;nivel;departamento;provincia;municipio_tioc;sexo;2012_total;2012_establecimiento_de_salud_publico;2012_caja_de_salud;2012_establecimiento_de_salud_privado;2012_seguro_de_salud_privado;2012_medico_tradicional;2012_farmacia_o_se_automedica;2012_soluciones_caseras;2024_total;2024_establecimiento_de_salud_publico;2024_caja_de_salud;2024_establecimiento_de_salud_privado;2024_seguro_de_salud_privado;2024_medico_tradicional;2024_farmacia_o_se_automedica;2024_soluciones_caseras
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;11;Municipio;Chuquisaca;Oropeza;Sucre;Hombres;142,122;76,722;34,879;21,977;18,417;18,066;71,826;61,132;142,122;98,838;38,218;40,813;9,783;29,872;79,023;94,786
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;12;Municipio;Chuquisaca;Oropeza;Sucre;Mujeres;154,624;86,866;39,920;24,487;20,135;20,309;78,804;71,502;154,624;110,436;43,570;46,046;10,836;33,208;87,206;108,742
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;13;Municipio;Chuquisaca;Oropeza;Yotala;Yotala;9,256;7,917;1,245;1,001;376;2,998;4,357;6,212;9,256;8,148;1,550;2,191;1,255;3,153;4,782;6,641
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;14;Municipio;Chuquisaca;Oropeza;Yotala;Hombres;4,654;3,921;601;491;190;1,529;2,196;3,071;4,654;4,042;787;1,078;597;1,574;2,365;3,273
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;15;Municipio;Chuquisaca;Oropeza;Yotala;Mujeres;4,602;3,996;644;510;186;1,469;2,161;3,141;4,602;4,106;763;1,113;658;1,579;2,417;3,368
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;16;Municipio;Chuquisaca;Oropeza;Poroma;Poroma;13,649;12,159;930;553;365;7,639;4,301;9,947;13,649;11,742;931;1,013;1,829;4,180;3,717;8,609
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;17;Municipio;Chuquisaca;Oropeza;Poroma;Hombres;6,982;6,017;467;295;177;3,870;2,188;4,985;6,982;5,919;482;498;856;2,108;1,909;4,373
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;18;Municipio;Chuquisaca;Oropeza;Poroma;Mujeres;6,667;6,142;463;258;188;3,769;2,113;4,962;6,667;5,823;449;515;973;2,072;1,808;4,236
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;19;Provincia;Chuquisaca;Azurduy;;Azurduy;24,715;21,132;1,591;924;382;11,406;7,752;15,202;24,715;22,903;1,924;1,929;2,970;8,238;8,099;17,716
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;20;Provincia;Chuquisaca;Azurduy;;Hombres;12,272;10,625;792;481;167;5,694;3,953;7,601;12,272;11,326;937;948;1,438;4,091;4,067;8,774
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;21;Provincia;Chuquisaca;Azurduy;;Mujeres;12,443;10,507;799;443;215;5,712;3,799;7,601;12,443;11,577;987;981;1,532;4,147;4,032;8,942
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;22;Municipio;Chuquisaca;Azurduy;Azurduy;Azurduy;7,903;8,933;624;410;150;5,000;3,614;6,660;7,903;7,125;803;712;987;2,643;2,753;5,622
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;23;Municipio;Chuquisaca;Azurduy;Azurduy;Hombres;4,004;4,498;295;209;65;2,480;1,827;3,362;4,004;3,588;394;362;474;1,343;1,400;2,844
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;24;Municipio;Chuquisaca;Azurduy;Azurduy;Mujeres;3,899;4,435;329;201;85;2,520;1,787;3,298;3,899;3,537;409;350;513;1,300;1,353;2,778
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;25;Municipio;Chuquisaca;Azurduy;Tarvita;Tarvita;16,812;12,199;967;514;232;6,406;4,138;8,542;16,812;15,778;1,121;1,217;1,983;5,595;5,346;12,094
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;26;Municipio;Chuquisaca;Azurduy;Tarvita;Hombres;8,268;6,127;497;272;102;3,214;2,126;4,239;8,268;7,738;543;586;964;2,748;2,667;5,930
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;27;Municipio;Chuquisaca;Azurduy;Tarvita;Mujeres;8,544;6,072;470;242;130;3,192;2,012;4,303;8,544;8,040;578;631;1,019;2,847;2,679;6,164
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;44,443;31,814;3,459;2,151;1,317;19,069;14,696;24,676;44,443;40,901;3,390;4,473;6,732;18,565;19,029;32,309
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;29;Provincia;Chuquisaca;Zudáñez;;Hombres;22,889;15,907;1,689;1,055;672;9,609;7,399;12,395;22,889;20,889;1,668;2,156;3,280;9,424;9,687;16,462
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;30;Provincia;Chuquisaca;Zudáñez;;Mujeres;21,554;15,907;1,770;1,096;645;9,460;7,297;12,281;21,554;20,012;1,722;2,317;3,452;9,141;9,342;15,847
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;31;Municipio;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;13,694;9,546;1,228;899;416;5,881;5,483;7,861;13,694;12,609;1,284;1,519;1,692;5,848;7,115;9,930
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;32;Municipio;Chuquisaca;Zudáñez;Zudáñez;Hombres;7,143;4,832;609;455;232;3,021;2,796;3,966;7,143;6,518;646;743;853;3,011;3,654;5,129
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;33;Municipio;Chuquisaca;Zudáñez;Zudáñez;Mujeres;6,551;4,714;619;444;184;2,860;2,687;3,895;6,551;6,091;638;776;839;2,837;3,461;4,801
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;34;Municipio;Chuquisaca;Zudáñez;Presto;Presto;12,539;9,274;824;510;435;5,861;2,843;7,100;12,539;11,419;608;917;2,063;5,363;3,848;8,794
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;35;Municipio;Chuquisaca;Zudáñez;Presto;Hombres;6,550;4,701;407;245;208;3,016;1,452;3,653;6,550;5,956;293;447;987;2,745;1,974;4,506
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;36;Municipio;Chuquisaca;Zudáñez;Presto;Mujeres;5,989;4,573;417;265;227;2,845;1,391;3,447;5,989;5,463;315;470;1,076;2,618;1,874;4,288
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;37;Municipio;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;9,055;6,705;833;376;283;4,089;4,197;5,175;9,055;8,529;952;1,100;1,528;4,019;4,995;7,204
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;38;Municipio;Chuquisaca;Zudáñez;Mojocoya;Hombres;4,515;3,247;401;180;144;1,978;2,072;2,537;4,515;4,199;451;532;756;1,996;2,501;3,593
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;39;Municipio;Chuquisaca;Zudáñez;Mojocoya;Mujeres;4,540;3,458;432;196;139;2,111;2,125;2,638;4,540;4,330;501;568;772;2,023;2,494;3,611
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;40;Municipio;Chuquisaca;Zudáñez;Icla;Icla;9,155;6,289;574;366;183;3,238;2,173;4,540;9,155;8,344;546;937;1,449;3,335;3,071;6,381
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;41;Municipio;Chuquisaca;Zudáñez;Icla;Hombres;4,681;3,127;272;175;88;1,594;1,079;2,239;4,681;4,216;278;434;684;1,672;1,558;3,234
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;42;Municipio;Chuquisaca;Zudáñez;Icla;Mujeres;4,474;3,162;302;191;95;1,644;1,094;2,301;4,474;4,128;268;503;765;1,663;1,513;3,147
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;43;Provincia;Chuquisaca;Tomina;;Tomina;34,065;31,122;4,621;1,762;1,149;17,464;14,631;23,187;34,065;31,709;3,681;4,804;4,224;16,738;18,495;26,478
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;44;Provincia;Chuquisaca;Tomina;;Hombres;17,224;15,616;2,280;891;588;8,882;7,450;11,627;17,224;15,906;1,753;2,258;2,076;8,366;9,279;13,289
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;45;Provincia;Chuquisaca;Tomina;;Mujeres;16,841;15,506;2,341;871;561;8,582;7,181;11,560;16,841;15,803;1,928;2,546;2,148;8,372;9,216;13,189
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;46;Municipio;Chuquisaca;Tomina;Padilla;Padilla;9,192;8,889;1,473;504;302;4,944;5,569;7,252;9,192;8,411;1,095;1,398;848;4,187;5,681;7,155
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;47;Municipio;Chuquisaca;Tomina;Padilla;Hombres;4,628;4,459;736;249;152;2,537;2,860;3,672;4,628;4,186;520;653;407;2,075;2,847;3,569
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;48;Municipio;Chuquisaca;Tomina;Padilla;Mujeres;4,564;4,430;737;255;150;2,407;2,709;3,580;4,564;4,225;575;745;441;2,112;2,834;3,586
