cuadro;no;nivel;departamento;provincia;municipio_tioc;area;poblacion_total;poblacion_registrado_o_afiliado_o_ninguno;sus;cns_cp_cc_cbp_cossmil_su_otros;privado;ninguno;sin_especificar;hombres_total;hombres_poblacion_registrado_o_afiliado_o_ninguno;hombres_sus;hombres_cns_cp_cc_cbp_cossmil_su_otros;hombres_privado;hombres_ninguno;hombres_sin_especificar;mujeres_total;mujeres_poblacion_registrado_o_afiliado_o_ninguno;mujeres_sus;mujeres_cns_cp_cc_cbp_cossmil_su_otros;mujeres_privado;mujeres_ninguno;mujeres_sin_especificar
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2042;19;Provincia;Chuquisaca;Azurduy;;Azurduy;24,313;23,616;20,604;1,171;50;1,791;697;12,094;11,758;10,168;552;25;1,013;336;12,219;11,858;10,436;619;25;778;361
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2043;20;Provincia;Chuquisaca;Azurduy;;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2044;21;Provincia;Chuquisaca;Azurduy;;Rural;24,313;23,616;20,604;1,171;50;1,791;697;12,094;11,758;10,168;552;25;1,013;336;12,219;11,858;10,436;619;25;778;361
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2045;22;Municipio;Chuquisaca;Azurduy;Azurduy;Azurduy;7,716;7,500;6,252;514;27;707;216;3,917;3,818;3,159;242;13;404;99;3,799;3,682;3,093;272;14;303;117
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2046;23;Municipio;Chuquisaca;Azurduy;Azurduy;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2047;24;Municipio;Chuquisaca;Azurduy;Azurduy;Rural;7,716;7,500;6,252;514;27;707;216;3,917;3,818;3,159;242;13;404;99;3,799;3,682;3,093;272;14;303;117
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2048;25;Municipio;Chuquisaca;Azurduy;Tarvita;Tarvita;16,597;16,116;14,352;657;23;1,084;481;8,177;7,940;7,009;310;12;609;237;8,420;8,176;7,343;347;11;475;244
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2049;26;Municipio;Chuquisaca;Azurduy;Tarvita;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2050;27;Municipio;Chuquisaca;Azurduy;Tarvita;Rural;16,597;16,116;14,352;657;23;1,084;481;8,177;7,940;7,009;310;12;609;237;8,420;8,176;7,343;347;11;475;244
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2051;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;43,866;42,998;37,539;1,971;161;3,327;868;22,573;22,105;19,126;974;80;1,925;468;21,293;20,893;18,413;997;81;1,402;400
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2052;29;Provincia;Chuquisaca;Zudáñez;;Urbana;9,647;9,527;7,537;1,146;78;766;120;4,796;4,739;3,676;571;39;453;57;4,851;4,788;3,861;575;39;313;63
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2053;30;Provincia;Chuquisaca;Zudáñez;;Rural;34,219;33,471;30,002;825;83;2,561;748;17,777;17,366;15,450;403;41;1,472;411;16,442;16,105;14,552;422;42;1,089;337
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2054;31;Municipio;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;13,529;13,300;11,443;894;93;870;229;7,057;6,924;5,916;452;50;506;133;6,472;6,376;5,527;442;43;364;96
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2055;32;Municipio;Chuquisaca;Zudáñez;Zudáñez;Urbana;4,742;4,691;3,564;733;43;351;51;2,396;2,370;1,754;379;24;213;26;2,346;2,321;1,810;354;19;138;25
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2056;33;Municipio;Chuquisaca;Zudáñez;Zudáñez;Rural;8,787;8,609;7,879;161;50;519;178;4,661;4,554;4,162;73;26;293;107;4,126;4,055;3,717;88;24;226;71
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2057;34;Municipio;Chuquisaca;Zudáñez;Presto;Presto;12,334;12,058;10,637;378;37;1,006;276;6,434;6,292;5,520;184;14;574;142;5,900;5,766;5,117;194;23;432;134
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2058;35;Municipio;Chuquisaca;Zudáñez;Presto;Urbana;2,192;2,145;1,797;157;25;166;47;1,076;1,055;878;71;9;97;21;1,116;1,090;919;86;16;69;26
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2059;36;Municipio;Chuquisaca;Zudáñez;Presto;Rural;10,142;9,913;8,840;221;12;840;229;5,358;5,237;4,642;113;5;477;121;4,784;4,676;4,198;108;7;363;108
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2060;37;Municipio;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;9,013;8,907;7,868;415;14;610;106;4,497;4,446;3,873;205;8;360;51;4,516;4,461;3,995;210;6;250;55
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2061;38;Municipio;Chuquisaca;Zudáñez;Mojocoya;Urbana;2,713;2,691;2,176;256;10;249;22;1,324;1,314;1,044;121;6;143;10;1,389;1,377;1,132;135;4;106;12
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2062;39;Municipio;Chuquisaca;Zudáñez;Mojocoya;Rural;6,300;6,216;5,692;159;4;361;84;3,173;3,132;2,829;84;2;217;41;3,127;3,084;2,863;75;2;144;43
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2063;40;Municipio;Chuquisaca;Zudáñez;Icla;Icla;8,990;8,733;7,591;284;17;841;257;4,585;4,443;3,817;133;8;485;142;4,405;4,290;3,774;151;9;356;115
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2064;41;Municipio;Chuquisaca;Zudáñez;Icla;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2065;42;Municipio;Chuquisaca;Zudáñez;Icla;Rural;8,990;8,733;7,591;284;17;841;257;4,585;4,443;3,817;133;8;485;142;4,405;4,290;3,774;151;9;356;115
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2066;43;Provincia;Chuquisaca;Tomina;;Tomina;33,814;33,305;28,273;2,228;137;2,667;509;17,103;16,832;14,150;1,057;74;1,551;271;16,711;16,473;14,123;1,171;63;1,116;238
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2067;44;Provincia;Chuquisaca;Tomina;;Urbana;6,223;6,161;4,764;927;47;423;62;2,973;2,940;2,224;439;33;244;33;3,250;3,221;2,540;488;14;179;29
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2068;45;Provincia;Chuquisaca;Tomina;;Rural;27,591;27,144;23,509;1,301;90;2,244;447;14,130;13,892;11,926;618;41;1,307;238;13,461;13,252;11,583;683;49;937;209
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2069;46;Municipio;Chuquisaca;Tomina;Padilla;Padilla;9,117;8,981;7,502;856;46;577;136;4,590;4,512;3,707;405;33;367;78;4,527;4,469;3,795;451;13;210;58
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2070;47;Municipio;Chuquisaca;Tomina;Padilla;Urbana;4,209;4,162;3,182;655;36;289;47;2,002;1,978;1,468;303;26;181;24;2,207;2,184;1,714;352;10;108;23
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2071;48;Municipio;Chuquisaca;Tomina;Padilla;Rural;4,908;4,819;4,320;201;10;288;89;2,588;2,534;2,239;102;7;186;54;2,320;2,285;2,081;99;3;102;35
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2072;49;Municipio;Chuquisaca;Tomina;Tomina;Tomina;8,468;8,342;7,232;479;18;613;126;4,291;4,230;3,642;243;10;335;61;4,177;4,112;3,590;236;8;278;65
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2073;50;Municipio;Chuquisaca;Tomina;Tomina;Urbana;2,014;1,999;1,582;272;11;134;15;971;962;756;136;7;63;9;1,043;1,037;826;136;4;71;6
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2074;51;Municipio;Chuquisaca;Tomina;Tomina;Rural;6,454;6,343;5,650;207;7;479;111;3,320;3,268;2,886;107;3;272;52;3,134;3,075;2,764;100;4;207;59
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2075;52;Municipio;Chuquisaca;Tomina;Sopachuy;Sopachuy;6,891;6,781;5,758;270;20;733;110;3,480;3,414;2,864;124;11;415;66;3,411;3,367;2,894;146;9;318;44
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2076;53;Municipio;Chuquisaca;Tomina;Sopachuy;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2077;54;Municipio;Chuquisaca;Tomina;Sopachuy;Rural;6,891;6,781;5,758;270;20;733;110;3,480;3,414;2,864;124;11;415;66;3,411;3,367;2,894;146;9;318;44
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2078;55;Municipio;Chuquisaca;Tomina;Alcalá;Alcalá;3,706;3,642;3,074;316;19;233;64;1,892;1,856;1,564;149;4;139;36;1,814;1,786;1,510;167;15;94;28
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2079;56;Municipio;Chuquisaca;Tomina;Alcalá;Urbana;;;;;;;;;;;;;;;;;;;;;
