cuadro;pregunta;no;nivel;departamento;provincia;municipio_tioc;area;2001_total;2001_medico;2001_partero;2001_otra_persona;2001_usted_misma;2001_enfermero_auxiliar_de_enfermeria;2001_sin_especificar;2024_total;2024_medico;2024_enfermero;2024_enfermero_auxiliar_de_enfermeria;2024_partero;2024_atencion_conjunta_medicina_tradicional;2024_conyuge_o_familiar;2024_otra_persona;2024_usted_misma;2024_sin_especificar
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2034;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;11;Municipio;Chuquisaca;Oropeza;Sucre;Urbana;17,265;13,887;1,214;353;479;1,054;278;15,705;14,524;678;52;135;62;165;24;64;1
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2035;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;12;Municipio;Chuquisaca;Oropeza;Sucre;Rural;1,996;500;246;151;512;522;65;1,161;921;161;7;12;5;39;2;14;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2036;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;13;Municipio;Chuquisaca;Oropeza;Yotala;Yotala;862;426;195;48;95;88;10;494;432;43;6;2;0;9;0;2;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2037;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;14;Municipio;Chuquisaca;Oropeza;Yotala;Urbana;;;;;;;;;;;;;;;;;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2038;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;15;Municipio;Chuquisaca;Oropeza;Yotala;Rural;862;426;195;48;95;88;10;494;432;43;6;2;0;9;0;2;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2039;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;16;Municipio;Chuquisaca;Oropeza;Poroma;Poroma;1,797;170;104;144;715;606;58;832;385;234;39;20;10;101;3;40;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2040;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;17;Municipio;Chuquisaca;Oropeza;Poroma;Urbana;;;;;;;;;;;;;;;;;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2041;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;18;Municipio;Chuquisaca;Oropeza;Poroma;Rural;1,797;170;104;144;715;606;58;832;385;234;39;20;10;101;3;40;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2042;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;19;Provincia;Chuquisaca;Azurduy;;Azurduy;2,857;423;321;692;792;558;71;1,533;1,031;236;52;73;14;96;8;23;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2043;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;20;Provincia;Chuquisaca;Azurduy;;Urbana;;;;;;;;;;;;;;;;;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2044;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;21;Provincia;Chuquisaca;Azurduy;;Rural;2,857;423;321;692;792;558;71;1,533;1,031;236;52;73;14;96;8;23;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2045;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;22;Municipio;Chuquisaca;Azurduy;Azurduy;Azurduy;1,239;228;104;248;338;296;25;505;297;76;14;43;7;54;3;11;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2046;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;23;Municipio;Chuquisaca;Azurduy;Azurduy;Urbana;;;;;;;;;;;;;;;;;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2047;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;24;Municipio;Chuquisaca;Azurduy;Azurduy;Rural;1,239;228;104;248;338;296;25;505;297;76;14;43;7;54;3;11;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2048;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;25;Municipio;Chuquisaca;Azurduy;Tarvita;Tarvita;1,618;195;217;444;454;262;46;1,028;734;160;38;30;7;42;5;12;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2049;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;26;Municipio;Chuquisaca;Azurduy;Tarvita;Urbana;;;;;;;;;;;;;;;;;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2050;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;27;Municipio;Chuquisaca;Azurduy;Tarvita;Rural;1,618;195;217;444;454;262;46;1,028;734;160;38;30;7;42;5;12;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2051;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;3,196;575;355;506;1,023;655;82;2,582;1,727;454;85;98;20;156;9;33;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2052;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;29;Provincia;Chuquisaca;Zudáñez;;Urbana;;;;;;;;638;553;50;4;14;1;11;1;4;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2053;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;30;Provincia;Chuquisaca;Zudáñez;;Rural;3,196;575;355;506;1,023;655;82;1,944;1,174;404;81;84;19;145;8;29;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2054;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;31;Municipio;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;693;221;84;88;163;119;18;779;604;122;14;14;2;17;2;4;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2055;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;32;Municipio;Chuquisaca;Zudáñez;Zudáñez;Urbana;;;;;;;;305;276;18;0;4;0;4;1;2;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2056;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;33;Municipio;Chuquisaca;Zudáñez;Zudáñez;Rural;693;221;84;88;163;119;18;474;328;104;14;10;2;13;1;2;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2057;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;34;Municipio;Chuquisaca;Zudáñez;Presto;Presto;895;83;62;88;404;231;27;751;420;127;22;46;10;105;3;18;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2058;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;35;Municipio;Chuquisaca;Zudáñez;Presto;Urbana;;;;;;;;145;118;14;0;6;1;4;0;2;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2059;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;36;Municipio;Chuquisaca;Zudáñez;Presto;Rural;895;83;62;88;404;231;27;606;302;113;22;40;9;101;3;16;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2060;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;37;Municipio;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;774;148;119;162;222;106;17;534;405;63;31;20;4;10;0;1;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2061;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;38;Municipio;Chuquisaca;Zudáñez;Mojocoya;Urbana;;;;;;;;188;159;18;4;4;0;3;0;0;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2062;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;39;Municipio;Chuquisaca;Zudáñez;Mojocoya;Rural;774;148;119;162;222;106;17;346;246;45;27;16;4;7;0;1;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2063;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;40;Municipio;Chuquisaca;Zudáñez;Icla;Icla;834;123;90;168;234;199;20;518;298;142;18;18;4;24;4;10;0
