cuadro;no;nivel;departamento;provincia;municipio_tioc_tioc;sexo_y_grupo_de_edad;2012_argentina;2012_brasil;2012_peru;2012_espanha;2012_chile;2012_mexico;2012_otros_paises;2012_sin_especificar;2012_total;2024_argentina;2024_brasil;2024_peru;2024_espanha;2024_chile;2024_mexico;2024_otros_paises;2024_sin_especificar;2024_total
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2034;11;País;;;;Mujeres;17799.00;10553.00;3963.00;4802.00;1776.00;4297.00;12262.00;1365.00;56817.00;28486.00;14066.00;8018.00;5706.00;4370.00;3539.00;17124.00;1383.00;82692.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2035;12;País;;;;0 a 17;11371.00;2869.00;370.00;4038.00;430.00;242.00;3031.00;437.00;22788.00;16452.00;6369.00;1102.00;4437.00;2689.00;105.00;3369.00;473.00;34996.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2036;13;País;;;;18 a 29;2760.00;4155.00;1310.00;156.00;239.00;525.00;2694.00;306.00;12145.00;6336.00;3436.00;3452.00;869.00;482.00;235.00;3507.00;300.00;18617.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2037;14;País;;;;30 a 59;3041.00;3171.00;1930.00;360.00;753.00;2695.00;5050.00;519.00;17519.00;4546.00;3605.00;2738.00;231.00;755.00;1994.00;8068.00;445.00;22382.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2038;15;País;;;;60 o más;627.00;358.00;353.00;248.00;354.00;835.00;1487.00;103.00;4365.00;1152.00;656.00;726.00;169.00;444.00;1205.00;2180.00;165.00;6697.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2039;16;Departamento;Chuquisaca;;;Chuquisaca;2925.00;187.00;207.00;395.00;67.00;31.00;612.00;121.00;4545.00;4803.00;358.00;221.00;430.00;312.00;25.00;707.00;117.00;6973.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2040;17;Departamento;Chuquisaca;;;0 a 17;2164.00;95.00;18.00;320.00;13.00;10.00;93.00;61.00;2774.00;3034.00;223.00;27.00;339.00;247.00;4.00;117.00;65.00;4056.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2041;18;Departamento;Chuquisaca;;;18 a 29;440.00;51.00;89.00;14.00;15.00;4.00;201.00;24.00;838.00;1157.00;66.00;55.00;45.00;15.00;5.00;165.00;21.00;1529.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2042;19;Departamento;Chuquisaca;;;30 a 59;276.00;38.00;89.00;38.00;20.00;11.00;247.00;26.00;745.00;516.00;61.00;111.00;25.00;27.00;13.00;335.00;20.00;1108.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2043;20;Departamento;Chuquisaca;;;60 o más;45.00;3.00;11.00;23.00;19.00;6.00;71.00;10.00;188.00;96.00;8.00;28.00;21.00;23.00;3.00;90.00;11.00;280.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2044;21;Departamento;Chuquisaca;;;Hombres;1501.00;82.00;102.00;181.00;35.00;14.00;315.00;64.00;2294.00;2417.00;167.00;135.00;218.00;141.00;13.00;411.00;61.00;3563.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2045;22;Departamento;Chuquisaca;;;0 a 17;1137.00;47.00;12.00;154.00;5.00;2.00;42.00;34.00;1433.00;1520.00;110.00;12.00;173.00;106.00;3.00;57.00;38.00;2019.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2046;23;Departamento;Chuquisaca;;;18 a 29;207.00;22.00;41.00;7.00;14.00;3.00;99.00;10.00;403.00;576.00;30.00;36.00;20.00;6.00;1.00;110.00;10.00;789.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2047;24;Departamento;Chuquisaca;;;30 a 59;137.00;12.00;43.00;15.00;11.00;7.00;134.00;13.00;372.00;275.00;25.00;69.00;13.00;19.00;7.00;194.00;11.00;613.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2048;25;Departamento;Chuquisaca;;;60 o más;20.00;1.00;6.00;5.00;5.00;2.00;40.00;7.00;86.00;46.00;2.00;18.00;12.00;10.00;2.00;50.00;2.00;142.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2049;26;Departamento;Chuquisaca;;;Mujeres;1424.00;105.00;105.00;214.00;32.00;17.00;297.00;57.00;2251.00;2386.00;191.00;86.00;212.00;171.00;12.00;296.00;56.00;3410.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2050;27;Departamento;Chuquisaca;;;0 a 17;1027.00;48.00;6.00;166.00;8.00;8.00;51.00;27.00;1341.00;1514.00;113.00;15.00;166.00;141.00;1.00;60.00;27.00;2037.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2051;28;Departamento;Chuquisaca;;;18 a 29;233.00;29.00;48.00;7.00;1.00;1.00;102.00;14.00;435.00;581.00;36.00;19.00;25.00;9.00;4.00;55.00;11.00;740.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2052;29;Departamento;Chuquisaca;;;30 a 59;139.00;26.00;46.00;23.00;9.00;4.00;113.00;13.00;373.00;241.00;36.00;42.00;12.00;8.00;6.00;141.00;9.00;495.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2053;30;Departamento;Chuquisaca;;;60 o más;25.00;2.00;5.00;18.00;14.00;4.00;31.00;3.00;102.00;50.00;6.00;10.00;9.00;13.00;1.00;40.00;9.00;138.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2054;31;Provincia;Chuquisaca;Oropeza;;Oropeza;1741.00;144.00;195.00;319.00;60.00;29.00;496.00;70.00;3054.00;2731.00;224.00;186.00;349.00;210.00;24.00;569.00;50.00;4343.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2055;32;Provincia;Chuquisaca;Oropeza;;0 a 17;1171.00;64.00;14.00;254.00;12.00;10.00;72.00;30.00;1627.00;1475.00;117.00;20.00;276.00;150.00;4.00;84.00;22.00;2148.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2056;33;Provincia;Chuquisaca;Oropeza;;18 a 29;339.00;46.00;87.00;10.00;15.00;4.00;156.00;18.00;675.00;860.00;53.00;49.00;39.00;11.00;5.00;144.00;12.00;1173.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2057;34;Provincia;Chuquisaca;Oropeza;;30 a 59;205.00;31.00;84.00;34.00;16.00;10.00;210.00;17.00;607.00;338.00;48.00;94.00;19.00;26.00;13.00;266.00;11.00;815.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2058;35;Provincia;Chuquisaca;Oropeza;;60 o más;26.00;3.00;10.00;21.00;17.00;5.00;58.00;5.00;145.00;58.00;6.00;23.00;15.00;23.00;2.00;75.00;5.00;207.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2059;36;Provincia;Chuquisaca;Oropeza;;Hombres;870.00;67.00;95.00;147.00;33.00;14.00;261.00;37.00;1524.00;1356.00;94.00;110.00;178.00;98.00;12.00;327.00;25.00;2200.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2060;37;Provincia;Chuquisaca;Oropeza;;0 a 17;598.00;34.00;8.00;121.00;5.00;2.00;36.00;16.00;820.00;733.00;52.00;9.00;142.00;64.00;3.00;43.00;14.00;1060.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2061;38;Provincia;Chuquisaca;Oropeza;;18 a 29;160.00;22.00;40.00;7.00;14.00;3.00;80.00;6.00;332.00;418.00;22.00;32.00;17.00;5.00;1.00;95.00;5.00;595.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2062;39;Provincia;Chuquisaca;Oropeza;;30 a 59;102.00;10.00;41.00;14.00;9.00;7.00;115.00;11.00;309.00;174.00;18.00;54.00;10.00;19.00;7.00;152.00;4.00;438.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2063;40;Provincia;Chuquisaca;Oropeza;;60 o más;10.00;1.00;6.00;5.00;5.00;2.00;30.00;4.00;63.00;31.00;2.00;15.00;9.00;10.00;1.00;37.00;2.00;107.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2064;41;Provincia;Chuquisaca;Oropeza;;Mujeres;871.00;77.00;100.00;172.00;27.00;15.00;235.00;33.00;1530.00;1375.00;130.00;76.00;171.00;112.00;12.00;242.00;25.00;2143.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2065;42;Provincia;Chuquisaca;Oropeza;;0 a 17;573.00;30.00;6.00;133.00;7.00;8.00;36.00;14.00;807.00;742.00;65.00;11.00;134.00;86.00;1.00;41.00;8.00;1088.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2066;43;Provincia;Chuquisaca;Oropeza;;18 a 29;179.00;24.00;47.00;3.00;1.00;1.00;76.00;12.00;343.00;442.00;31.00;17.00;22.00;6.00;4.00;49.00;7.00;578.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2067;44;Provincia;Chuquisaca;Oropeza;;30 a 59;103.00;21.00;43.00;20.00;7.00;3.00;95.00;6.00;298.00;164.00;30.00;40.00;9.00;7.00;6.00;114.00;7.00;377.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2068;45;Provincia;Chuquisaca;Oropeza;;60 o más;16.00;2.00;4.00;16.00;12.00;3.00;28.00;1.00;82.00;27.00;4.00;8.00;6.00;13.00;1.00;38.00;3.00;100.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2069;46;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;1636.00;144.00;193.00;314.00;59.00;29.00;485.00;65.00;2925.00;2592.00;218.00;182.00;338.00;199.00;24.00;552.00;46.00;4151.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2070;47;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;0 a 17;1083.00;64.00;13.00;250.00;11.00;10.00;71.00;26.00;1528.00;1386.00;111.00;20.00;266.00;145.00;4.00;84.00;21.00;2037.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2071;48;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;18 a 29;334.00;46.00;87.00;10.00;15.00;4.00;153.00;18.00;667.00;831.00;53.00;48.00;39.00;8.00;5.00;142.00;11.00;1137.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2072;49;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;30 a 59;193.00;31.00;83.00;34.00;16.00;10.00;205.00;17.00;589.00;321.00;48.00;91.00;19.00;24.00;13.00;260.00;10.00;786.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2073;50;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;60 o más;26.00;3.00;10.00;20.00;17.00;5.00;56.00;4.00;141.00;54.00;6.00;23.00;14.00;22.00;2.00;66.00;4.00;191.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2074;51;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Hombres;816.00;67.00;93.00;146.00;32.00;14.00;258.00;36.00;1462.00;1293.00;93.00;107.00;173.00;94.00;12.00;323.00;23.00;2118.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2075;52;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;0 a 17;552.00;34.00;7.00;120.00;4.00;2.00;36.00;15.00;770.00;692.00;51.00;9.00;137.00;64.00;3.00;43.00;14.00;1013.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2076;53;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;18 a 29;158.00;22.00;40.00;7.00;14.00;3.00;79.00;6.00;329.00;407.00;22.00;31.00;17.00;3.00;1.00;95.00;4.00;580.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2077;54;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;30 a 59;96.00;10.00;40.00;14.00;9.00;7.00;114.00;11.00;301.00;165.00;18.00;52.00;10.00;18.00;7.00;150.00;4.00;424.00
