cuadro;no;nivel;departamento;provincia;municipio_tioc_tioc;edad;area;2012_argentina;2012_brasil;2012_peru;2012_espanha;2012_chile;2012_mexico;2012_otros_paises;2012_sin_especificar;2012_total;2024_argentina;2024_brasil;2024_peru;2024_espanha;2024_chile;2024_mexico;2024_otros_paises;2024_sin_especificar;2024_total
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2039;17;Departamento;Chuquisaca;;;0 a 17;Chuquisaca;2164;95;18;320;13;10;93;61;2774;3034;223;27;339;247;4;117;65;4056
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2040;18;Departamento;Chuquisaca;;;18 a 29;Chuquisaca;440;51;89;14;15;4;201;24;838;1157;66;55;45;15;5;165;21;1529
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2041;19;Departamento;Chuquisaca;;;30 a 59;Chuquisaca;276;38;89;38;20;11;247;26;745;516;61;111;25;27;13;335;20;1108
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2042;20;Departamento;Chuquisaca;;;60 o más;Chuquisaca;45;3;11;23;19;6;71;10;188;96;8;28;21;23;3;90;11;280
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2043;21;Departamento;Chuquisaca;;;Urbana;Urbana;1798;153;191;334;66;28;531;70;3171;3035;266;205;366;230;24;581;48;4755
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2044;22;Departamento;Chuquisaca;;;0 a 17;Urbana;1210;67;13;264;12;9;75;30;1680;1686;145;24;284;174;4;92;21;2430
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2045;23;Departamento;Chuquisaca;;;18 a 29;Urbana;354;49;86;13;15;4;174;17;712;910;60;50;43;10;5;141;12;1231
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2046;24;Departamento;Chuquisaca;;;30 a 59;Urbana;206;34;83;36;20;10;223;18;630;377;55;104;22;24;13;275;9;879
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2047;25;Departamento;Chuquisaca;;;60 o más;Urbana;28;3;9;21;19;5;59;5;149;62;6;27;17;22;2;73;6;215
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2048;26;Departamento;Chuquisaca;;;Rural;Rural;1127;34;16;61;1;3;81;51;1374;1768;92;16;64;82;1;126;69;2218
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2049;27;Departamento;Chuquisaca;;;0 a 17;Rural;954;28;5;56;1;1;18;31;1094;1348;78;3;55;73;;25;44;1626
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2050;28;Departamento;Chuquisaca;;;18 a 29;Rural;86;2;3;1;;;27;7;126;247;6;5;2;5;;24;9;298
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2051;29;Departamento;Chuquisaca;;;30 a 59;Rural;70;4;6;2;;1;24;8;115;139;6;7;3;3;;60;11;229
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2052;30;Departamento;Chuquisaca;;;60 o más;Rural;17;;2;2;;1;12;5;39;34;2;1;4;1;1;17;5;65
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2053;31;Provincia;Chuquisaca;Oropeza;;Oropeza;Oropeza;1741;144;195;319;60;29;496;70;3054;2731;224;186;349;210;24;569;50;4343
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2054;32;Provincia;Chuquisaca;Oropeza;;0 a 17;Oropeza;1171;64;14;254;12;10;72;30;1627;1475;117;20;276;150;4;84;22;2148
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2055;33;Provincia;Chuquisaca;Oropeza;;18 a 29;Oropeza;339;46;87;10;15;4;156;18;675;860;53;49;39;11;5;144;12;1173
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2056;34;Provincia;Chuquisaca;Oropeza;;30 a 59;Oropeza;205;31;84;34;16;10;210;17;607;338;48;94;19;26;13;266;11;815
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2057;35;Provincia;Chuquisaca;Oropeza;;60 o más;Oropeza;26;3;10;21;17;5;58;5;145;58;6;23;15;23;2;75;5;207
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2058;36;Provincia;Chuquisaca;Oropeza;;Urbana;Urbana;1591;140;190;309;59;28;477;63;2857;2529;208;181;335;192;24;527;40;4036
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2059;37;Provincia;Chuquisaca;Oropeza;;0 a 17;Urbana;1044;60;13;246;11;9;66;26;1475;1334;101;20;263;138;4;81;18;1959
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2060;38;Provincia;Chuquisaca;Oropeza;;18 a 29;Urbana;331;46;86;10;15;4;153;16;661;825;53;48;39;8;5;132;11;1121
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2061;39;Provincia;Chuquisaca;Oropeza;;30 a 59;Urbana;190;31;82;33;16;10;203;17;582;318;48;90;19;24;13;248;8;768
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2062;40;Provincia;Chuquisaca;Oropeza;;60 o más;Urbana;26;3;9;20;17;5;55;4;139;52;6;23;14;22;2;66;3;188
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2063;41;Provincia;Chuquisaca;Oropeza;;Rural;Rural;150;4;5;10;1;1;19;7;197;202;16;5;14;18;;42;10;307
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2064;42;Provincia;Chuquisaca;Oropeza;;0 a 17;Rural;127;4;1;8;1;1;6;4;152;141;16;;13;12;;3;4;189
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2065;43;Provincia;Chuquisaca;Oropeza;;18 a 29;Rural;8;;1;;;;3;2;14;35;;1;;3;;12;1;52
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2066;44;Provincia;Chuquisaca;Oropeza;;30 a 59;Rural;15;;2;1;;;7;;25;20;;4;;2;;18;3;47
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2067;45;Provincia;Chuquisaca;Oropeza;;60 o más;Rural;;;1;1;;;3;1;6;6;;;1;1;;9;2;19
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2068;46;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;Sucre;1636;144;193;314;59;29;485;65;2925;2592;218;182;338;199;24;552;46;4151
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2069;47;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;0 a 17;Sucre;1083;64;13;250;11;10;71;26;1528;1386;111;20;266;145;4;84;21;2037
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2070;48;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;18 a 29;Sucre;334;46;87;10;15;4;153;18;667;831;53;48;39;8;5;142;11;1137
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2071;49;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;30 a 59;Sucre;193;31;83;34;16;10;205;17;589;321;48;91;19;24;13;260;10;786
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2072;50;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;60 o más;Sucre;26;3;10;20;17;5;56;4;141;54;6;23;14;22;2;66;4;191
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2073;51;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Urbana;Urbana;1591;140;190;309;59;28;477;63;2857;2529;208;181;335;192;24;527;40;4036
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2074;52;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;0 a 17;Urbana;1044;60;13;246;11;9;66;26;1475;1334;101;20;263;138;4;81;18;1959
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2075;53;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;18 a 29;Urbana;331;46;86;10;15;4;153;16;661;825;53;48;39;8;5;132;11;1121
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2076;54;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;30 a 59;Urbana;190;31;82;33;16;10;203;17;582;318;48;90;19;24;13;248;8;768
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2077;55;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;60 o más;Urbana;26;3;9;20;17;5;55;4;139;52;6;23;14;22;2;66;3;188
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2078;56;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Rural;Rural;45;4;3;5;;1;8;2;68;63;10;1;3;7;;25;6;115
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2079;57;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;0 a 17;Rural;39;4;;4;;1;5;;53;52;10;;3;7;;3;3;78
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2080;58;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;18 a 29;Rural;3;;1;;;;;2;6;6;;;;;;10;;16
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2081;59;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;30 a 59;Rural;3;;1;1;;;2;;7;3;;1;;;;12;2;18
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2082;60;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;60 o más;Rural;;;1;;;;1;;2;2;;;;;;;1;3
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2083;61;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;Yotala;94;;2;4;1;;9;4;114;132;6;4;11;11;;17;3;184
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2084;62;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;0 a 17;Yotala;78;;1;3;1;;;3;86;82;6;;10;5;;;1;104
