cuadro;no;nivel;departamento;provincia;municipio_tioc_tioc;edad;sexo;2012_argentina;2012_brasil;2012_peru;2012_espanha;2012_chile;2012_mexico;2012_otros_paises;2012_sin_especificar;2012_total;2024_argentina;2024_brasil;2024_peru;2024_espanha;2024_chile;2024_mexico;2024_otros_paises;2024_sin_especificar;2024_total
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2034;11;País;;;;Mujeres;Mujeres;17799;10553;3963;4802;1776;4297;12262;1365;56817;28486;14066;8018;5706;4370;3539;17124;1383;82692
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2035;12;País;;;;0 a 17;Mujeres;11371;2869;370;4038;430;242;3031;437;22788;16452;6369;1102;4437;2689;105;3369;473;34996
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2036;13;País;;;;18 a 29;Mujeres;2760;4155;1310;156;239;525;2694;306;12145;6336;3436;3452;869;482;235;3507;300;18617
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2037;14;País;;;;30 a 59;Mujeres;3041;3171;1930;360;753;2695;5050;519;17519;4546;3605;2738;231;755;1994;8068;445;22382
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2038;15;País;;;;60 o más;Mujeres;627;358;353;248;354;835;1487;103;4365;1152;656;726;169;444;1205;2180;165;6697
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2039;16;Departamento;Chuquisaca;;;Chuquisaca;Chuquisaca;2925;187;207;395;67;31;612;121;4545;4803;358;221;430;312;25;707;117;6973
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2040;17;Departamento;Chuquisaca;;;0 a 17;Chuquisaca;2164;95;18;320;13;10;93;61;2774;3034;223;27;339;247;4;117;65;4056
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2041;18;Departamento;Chuquisaca;;;18 a 29;Chuquisaca;440;51;89;14;15;4;201;24;838;1157;66;55;45;15;5;165;21;1529
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2042;19;Departamento;Chuquisaca;;;30 a 59;Chuquisaca;276;38;89;38;20;11;247;26;745;516;61;111;25;27;13;335;20;1108
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2043;20;Departamento;Chuquisaca;;;60 o más;Chuquisaca;45;3;11;23;19;6;71;10;188;96;8;28;21;23;3;90;11;280
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2044;21;Departamento;Chuquisaca;;;Hombres;Hombres;1501;82;102;181;35;14;315;64;2294;2417;167;135;218;141;13;411;61;3563
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2045;22;Departamento;Chuquisaca;;;0 a 17;Hombres;1137;47;12;154;5;2;42;34;1433;1520;110;12;173;106;3;57;38;2019
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2046;23;Departamento;Chuquisaca;;;18 a 29;Hombres;207;22;41;7;14;3;99;10;403;576;30;36;20;6;1;110;10;789
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2047;24;Departamento;Chuquisaca;;;30 a 59;Hombres;137;12;43;15;11;7;134;13;372;275;25;69;13;19;7;194;11;613
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2048;25;Departamento;Chuquisaca;;;60 o más;Hombres;20;1;6;5;5;2;40;7;86;46;2;18;12;10;2;50;2;142
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2049;26;Departamento;Chuquisaca;;;Mujeres;Mujeres;1424;105;105;214;32;17;297;57;2251;2386;191;86;212;171;12;296;56;3410
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2050;27;Departamento;Chuquisaca;;;0 a 17;Mujeres;1027;48;6;166;8;8;51;27;1341;1514;113;15;166;141;1;60;27;2037
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2051;28;Departamento;Chuquisaca;;;18 a 29;Mujeres;233;29;48;7;1;1;102;14;435;581;36;19;25;9;4;55;11;740
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2052;29;Departamento;Chuquisaca;;;30 a 59;Mujeres;139;26;46;23;9;4;113;13;373;241;36;42;12;8;6;141;9;495
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2053;30;Departamento;Chuquisaca;;;60 o más;Mujeres;25;2;5;18;14;4;31;3;102;50;6;10;9;13;1;40;9;138
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2054;31;Provincia;Chuquisaca;Oropeza;;Oropeza;Oropeza;1741;144;195;319;60;29;496;70;3054;2731;224;186;349;210;24;569;50;4343
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2055;32;Provincia;Chuquisaca;Oropeza;;0 a 17;Oropeza;1171;64;14;254;12;10;72;30;1627;1475;117;20;276;150;4;84;22;2148
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2056;33;Provincia;Chuquisaca;Oropeza;;18 a 29;Oropeza;339;46;87;10;15;4;156;18;675;860;53;49;39;11;5;144;12;1173
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2057;34;Provincia;Chuquisaca;Oropeza;;30 a 59;Oropeza;205;31;84;34;16;10;210;17;607;338;48;94;19;26;13;266;11;815
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2058;35;Provincia;Chuquisaca;Oropeza;;60 o más;Oropeza;26;3;10;21;17;5;58;5;145;58;6;23;15;23;2;75;5;207
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2059;36;Provincia;Chuquisaca;Oropeza;;Hombres;Hombres;870;67;95;147;33;14;261;37;1524;1356;94;110;178;98;12;327;25;2200
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2060;37;Provincia;Chuquisaca;Oropeza;;0 a 17;Hombres;598;34;8;121;5;2;36;16;820;733;52;9;142;64;3;43;14;1060
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2061;38;Provincia;Chuquisaca;Oropeza;;18 a 29;Hombres;160;22;40;7;14;3;80;6;332;418;22;32;17;5;1;95;5;595
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2062;39;Provincia;Chuquisaca;Oropeza;;30 a 59;Hombres;102;10;41;14;9;7;115;11;309;174;18;54;10;19;7;152;4;438
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2063;40;Provincia;Chuquisaca;Oropeza;;60 o más;Hombres;10;1;6;5;5;2;30;4;63;31;2;15;9;10;1;37;2;107
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2064;41;Provincia;Chuquisaca;Oropeza;;Mujeres;Mujeres;871;77;100;172;27;15;235;33;1530;1375;130;76;171;112;12;242;25;2143
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2065;42;Provincia;Chuquisaca;Oropeza;;0 a 17;Mujeres;573;30;6;133;7;8;36;14;807;742;65;11;134;86;1;41;8;1088
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2066;43;Provincia;Chuquisaca;Oropeza;;18 a 29;Mujeres;179;24;47;3;1;1;76;12;343;442;31;17;22;6;4;49;7;578
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2067;44;Provincia;Chuquisaca;Oropeza;;30 a 59;Mujeres;103;21;43;20;7;3;95;6;298;164;30;40;9;7;6;114;7;377
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2068;45;Provincia;Chuquisaca;Oropeza;;60 o más;Mujeres;16;2;4;16;12;3;28;1;82;27;4;8;6;13;1;38;3;100
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2069;46;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;Sucre;1636;144;193;314;59;29;485;65;2925;2592;218;182;338;199;24;552;46;4151
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2070;47;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;0 a 17;Sucre;1083;64;13;250;11;10;71;26;1528;1386;111;20;266;145;4;84;21;2037
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2071;48;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;18 a 29;Sucre;334;46;87;10;15;4;153;18;667;831;53;48;39;8;5;142;11;1137
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2072;49;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;30 a 59;Sucre;193;31;83;34;16;10;205;17;589;321;48;91;19;24;13;260;10;786
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2073;50;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;60 o más;Sucre;26;3;10;20;17;5;56;4;141;54;6;23;14;22;2;66;4;191
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2074;51;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Hombres;Hombres;816;67;93;146;32;14;258;36;1462;1293;93;107;173;94;12;323;23;2118
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2075;52;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;0 a 17;Hombres;552;34;7;120;4;2;36;15;770;692;51;9;137;64;3;43;14;1013
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2076;53;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;18 a 29;Hombres;158;22;40;7;14;3;79;6;329;407;22;31;17;3;1;95;4;580
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2077;54;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;30 a 59;Hombres;96;10;40;14;9;7;114;11;301;165;18;52;10;18;7;150;4;424
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2078;55;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;60 o más;Hombres;10;1;6;5;5;2;29;4;62;29;2;15;9;9;1;35;1;101
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2079;56;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Mujeres;Mujeres;820;77;100;168;27;15;227;29;1463;1299;125;75;165;105;12;229;23;2033
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2080;57;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;0 a 17;Mujeres;531;30;6;130;7;8;35;11;758;694;60;11;129;81;1;41;7;1024
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2081;58;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;18 a 29;Mujeres;176;24;47;3;1;1;74;12;338;424;31;17;22;5;4;47;7;557
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2082;59;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;30 a 59;Mujeres;97;21;43;20;7;3;91;6;288;156;30;39;9;6;6;110;6;362
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2083;60;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;60 o más;Mujeres;16;2;4;15;12;3;27;;79;25;4;8;5;13;1;31;3;90
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2084;61;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;Yotala;94;;2;4;1;;9;4;114;132;6;4;11;11;;17;3;184
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2085;62;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;0 a 17;Yotala;78;;1;3;1;;;3;86;82;6;;10;5;;;1;104
