cuadro;no;nivel;departamento;provincia;municipio_tioc_tioc;sexo;2001_poblacion_2001;2001_poblacion_antigua;2001_no_migrantes;2001_porcentaje_de_no_migrantes_;2001_inmigrantes;2001_porcentaje_de_inmigrantes_de_toda_la_vida;2001_emigrantes;2001_porcentaje_de_emigrantes_de_toda_la_vida;2001_migracion_neta;2001_migracion_bruta;2012_poblacion_2012;2012_poblacion_antigua;2012_no_migrantes;2012_porcentaje_de_no_migrantes_;2012_inmigrantes;2012_porcentaje_de_inmigrantes_de_toda_la_vida;2012_emigrantes;2012_porcentaje_de_emigrantes_de_toda_la_vida;2012_migracion_neta;2012_migracion_bruta;2024_poblacion_2024;2024_poblacion_antigua;2024_no_migrantes;2024_porcentaje_de_no_migrantes_;2024_inmigrantes;2024_porcentaje_de_inmigrantes_de_toda_la_vida;2024_emigrantes;2024_porcentaje_de_emigrantes_de_toda_la_vida;2024_migracion_neta;2024_migracion_bruta
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2034;11;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Hombres;97253.00;91007.00;64508.00;2.20;32745.00;3.10;26499.00;2.50;6246.00;59244.00;124173.00;120920.00;87409.00;2.30;36764.00;3.40;33511.00;3.10;3253.00;70275.00;126598.00;121712.00;93587.00;2.70;33011.00;2.60;28125.00;2.20;4886.00;61136.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2035;12;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Mujeres;105836.00;96877.00;68391.00;2.40;37445.00;3.50;28486.00;2.60;8959.00;65931.00;134911.00;129507.00;93261.00;2.50;41650.00;3.80;36246.00;3.30;5404.00;77896.00;136925.00;127788.00;97752.00;2.80;39173.00;3.00;30036.00;2.30;9137.00;69209.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2036;13;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;9116.00;11436.00;7641.00;0.10;1475.00;0.10;3795.00;0.20;-2320.00;5270.00;8884.00;11928.00;7083.00;0.10;1801.00;0.10;4845.00;0.20;-3044.00;6646.00;7731.00;9257.00;5694.00;0.10;2037.00;0.10;3563.00;0.10;-1526.00;5600.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2037;14;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Hombres;4464.00;5508.00;3710.00;0.10;754.00;0.10;1798.00;0.20;-1044.00;2552.00;4416.00;5818.00;3475.00;0.10;941.00;0.10;2343.00;0.20;-1402.00;3284.00;3898.00;4503.00;2831.00;0.10;1067.00;0.10;1672.00;0.10;-605.00;2739.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2038;15;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Mujeres;4652.00;5928.00;3931.00;0.10;721.00;0.10;1997.00;0.20;-1276.00;2718.00;4468.00;6110.00;3608.00;0.10;860.00;0.10;2502.00;0.20;-1642.00;3362.00;3833.00;4754.00;2863.00;0.10;970.00;0.10;1891.00;0.10;-921.00;2861.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2039;16;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Poroma;16793.00;19202.00;15542.00;0.30;1251.00;0.10;3660.00;0.20;-2409.00;4911.00;16190.00;19941.00;14971.00;0.20;1219.00;0.10;4970.00;0.20;-3751.00;6189.00;12209.00;16267.00;11153.00;0.20;1056.00;0.00;5114.00;0.20;-4058.00;6170.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2040;17;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Hombres;8407.00;9625.00;7862.00;0.30;545.00;0.10;1763.00;0.20;-1218.00;2308.00;8122.00;10043.00;7558.00;0.20;564.00;0.10;2485.00;0.20;-1921.00;3049.00;6257.00;8259.00;5760.00;0.20;497.00;0.00;2499.00;0.20;-2002.00;2996.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2041;18;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Mujeres;8386.00;9577.00;7680.00;0.30;706.00;0.10;1897.00;0.20;-1191.00;2603.00;8068.00;9898.00;7413.00;0.20;655.00;0.10;2485.00;0.20;-1830.00;3140.00;5952.00;8008.00;5393.00;0.20;559.00;0.00;2615.00;0.20;-2056.00;3174.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2042;19;Provincia;Chuquisaca;Azurduy;;Azurduy;27695.00;38964.00;26560.00;0.40;1135.00;0.10;12404.00;0.60;-11269.00;13539.00;24615.00;37455.00;22497.00;0.30;2118.00;0.10;14958.00;0.70;-12840.00;17076.00;22939.00;39172.00;21068.00;0.30;1871.00;0.10;18104.00;0.60;-16233.00;19975.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2043;20;Provincia;Chuquisaca;Azurduy;;Hombres;13780.00;19289.00;13215.00;0.40;565.00;0.10;6074.00;0.60;-5509.00;6639.00;12481.00;18801.00;11505.00;0.30;976.00;0.10;7296.00;0.70;-6320.00;8272.00;11453.00;19349.00;10578.00;0.30;875.00;0.10;8771.00;0.60;-7896.00;9646.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2044;21;Provincia;Chuquisaca;Azurduy;;Mujeres;13915.00;19675.00;13345.00;0.40;570.00;0.10;6330.00;0.60;-5760.00;6900.00;12134.00;18654.00;10992.00;0.30;1142.00;0.10;7662.00;0.70;-6520.00;8804.00;11486.00;19823.00;10490.00;0.30;996.00;0.10;9333.00;0.70;-8337.00;10329.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2045;22;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Azurduy;11419.00;17116.00;10979.00;0.20;440.00;0.00;6137.00;0.30;-5697.00;6577.00;10581.00;20934.00;9839.00;0.10;742.00;0.00;11095.00;0.50;-10353.00;11837.00;7169.00;19001.00;6535.00;0.10;634.00;0.00;12466.00;0.50;-11832.00;13100.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2046;23;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Hombres;5631.00;8395.00;5411.00;0.20;220.00;0.00;2984.00;0.30;-2764.00;3204.00;5381.00;10269.00;5023.00;0.10;358.00;0.00;5246.00;0.50;-4888.00;5604.00;3641.00;9275.00;3335.00;0.10;306.00;0.00;5940.00;0.50;-5634.00;6246.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2047;24;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Mujeres;5788.00;8721.00;5568.00;0.20;220.00;0.00;3153.00;0.30;-2933.00;3373.00;5200.00;10665.00;4816.00;0.10;384.00;0.00;5849.00;0.50;-5465.00;6233.00;3528.00;9726.00;3200.00;0.10;328.00;0.00;6526.00;0.50;-6198.00;6854.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2048;25;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Tarvita;16133.00;19466.00;15243.00;0.30;890.00;0.00;4223.00;0.20;-3333.00;5113.00;13988.00;16441.00;12348.00;0.20;1640.00;0.10;4093.00;0.20;-2453.00;5733.00;15573.00;19618.00;14244.00;0.20;1329.00;0.10;5374.00;0.20;-4045.00;6703.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2049;26;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Hombres;8065.00;9716.00;7638.00;0.30;427.00;0.00;2078.00;0.20;-1651.00;2505.00;7075.00;8494.00;6340.00;0.20;735.00;0.10;2154.00;0.20;-1419.00;2889.00;7710.00;9789.00;7111.00;0.20;599.00;0.00;2678.00;0.20;-2079.00;3277.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2050;27;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Mujeres;8068.00;9750.00;7605.00;0.30;463.00;0.00;2145.00;0.20;-1682.00;2608.00;6913.00;7947.00;6008.00;0.20;905.00;0.10;1939.00;0.20;-1034.00;2844.00;7863.00;9829.00;7133.00;0.20;730.00;0.10;2696.00;0.20;-1966.00;3426.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2051;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;32629.00;43448.00;30325.00;0.50;2304.00;0.10;13123.00;0.60;-10819.00;15427.00;38370.00;48215.00;34858.00;0.50;3512.00;0.20;13357.00;0.60;-9845.00;16869.00;41188.00;55670.00;37644.00;0.50;3544.00;0.10;18026.00;0.60;-14482.00;21570.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2052;29;Provincia;Chuquisaca;Zudáñez;;Hombres;16346.00;21506.00;15183.00;0.50;1163.00;0.10;6323.00;0.60;-5160.00;7486.00;19373.00;24100.00;17653.00;0.50;1720.00;0.20;6447.00;0.60;-4727.00;8167.00;21252.00;28213.00;19559.00;0.50;1693.00;0.10;8654.00;0.60;-6961.00;10347.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2053;30;Provincia;Chuquisaca;Zudáñez;;Mujeres;16283.00;21942.00;15142.00;0.50;1141.00;0.10;6800.00;0.60;-5659.00;7941.00;18997.00;24115.00;17205.00;0.40;1792.00;0.20;6910.00;0.70;-5118.00;8702.00;19936.00;27457.00;18085.00;0.50;1851.00;0.10;9372.00;0.70;-7521.00;11223.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2054;31;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;7338.00;9593.00;6418.00;0.10;920.00;0.00;3175.00;0.10;-2255.00;4095.00;10994.00;15152.00;9814.00;0.10;1180.00;0.10;5338.00;0.20;-4158.00;6518.00;12414.00;18780.00;10985.00;0.20;1429.00;0.10;7795.00;0.30;-6366.00;9224.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2055;32;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Hombres;3718.00;4762.00;3246.00;0.10;472.00;0.00;1516.00;0.10;-1044.00;1988.00;5619.00;7592.00;5044.00;0.10;575.00;0.10;2548.00;0.20;-1973.00;3123.00;6483.00;9571.00;5809.00;0.20;674.00;0.10;3762.00;0.30;-3088.00;4436.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2056;33;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Mujeres;3620.00;4831.00;3172.00;0.10;448.00;0.00;1659.00;0.20;-1211.00;2107.00;5375.00;7560.00;4770.00;0.10;605.00;0.10;2790.00;0.30;-2185.00;3395.00;5931.00;9209.00;5176.00;0.10;755.00;0.10;4033.00;0.30;-3278.00;4788.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2057;34;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Presto;8940.00;10967.00;8515.00;0.10;425.00;0.00;2452.00;0.10;-2027.00;2877.00;12169.00;13537.00;11241.00;0.10;928.00;0.00;2296.00;0.10;-1368.00;3224.00;11530.00;14113.00;10867.00;0.20;663.00;0.00;3246.00;0.10;-2583.00;3909.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2058;35;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Hombres;4364.00;5302.00;4160.00;0.10;204.00;0.00;1142.00;0.10;-938.00;1346.00;6220.00;6819.00;5755.00;0.20;465.00;0.00;1064.00;0.10;-599.00;1529.00;6031.00;7235.00;5720.00;0.20;311.00;0.00;1515.00;0.10;-1204.00;1826.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2059;36;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Mujeres;4576.00;5665.00;4355.00;0.20;221.00;0.00;1310.00;0.10;-1089.00;1531.00;5949.00;6718.00;5486.00;0.10;463.00;0.00;1232.00;0.10;-769.00;1695.00;5499.00;6878.00;5147.00;0.10;352.00;0.00;1731.00;0.10;-1379.00;2083.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2060;37;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;7909.00;9221.00;7345.00;0.10;564.00;0.00;1876.00;0.10;-1312.00;2440.00;7801.00;9915.00;6950.00;0.10;851.00;0.00;2965.00;0.10;-2114.00;3816.00;8583.00;11189.00;7889.00;0.10;694.00;0.00;3300.00;0.10;-2606.00;3994.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2061;38;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Hombres;4004.00;4620.00;3728.00;0.10;276.00;0.00;892.00;0.10;-616.00;1168.00;3838.00;4917.00;3422.00;0.10;416.00;0.00;1495.00;0.10;-1079.00;1911.00;4303.00;5570.00;3978.00;0.10;325.00;0.00;1592.00;0.10;-1267.00;1917.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2062;39;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Mujeres;3905.00;4601.00;3617.00;0.10;288.00;0.00;984.00;0.10;-696.00;1272.00;3963.00;4998.00;3528.00;0.10;435.00;0.00;1470.00;0.10;-1035.00;1905.00;4280.00;5619.00;3911.00;0.10;369.00;0.00;1708.00;0.10;-1339.00;2077.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2063;40;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Icla;8158.00;9605.00;7554.00;0.10;604.00;0.00;2051.00;0.10;-1447.00;2655.00;7356.00;9352.00;6650.00;0.10;706.00;0.00;2702.00;0.10;-1996.00;3408.00;8371.00;11116.00;7689.00;0.10;682.00;0.00;3427.00;0.10;-2745.00;4109.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2064;41;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Hombres;4104.00;4756.00;3816.00;0.10;288.00;0.00;940.00;0.10;-652.00;1228.00;3670.00;4645.00;3344.00;0.10;326.00;0.00;1301.00;0.10;-975.00;1627.00;4284.00;5599.00;3963.00;0.10;321.00;0.00;1636.00;0.10;-1315.00;1957.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2065;42;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Mujeres;4054.00;4849.00;3738.00;0.10;316.00;0.00;1111.00;0.10;-795.00;1427.00;3686.00;4707.00;3306.00;0.10;380.00;0.00;1401.00;0.10;-1021.00;1781.00;4087.00;5517.00;3726.00;0.10;361.00;0.00;1791.00;0.10;-1430.00;2152.00
