cuadro;no;nivel;departamento;provincia;municipio_tioc_tioc;sexo;2021_poblacion_2001;2021_poblacion_1996;2021_no_migrantes;2021_porcentaje_de_no_migrantes_;2021_inmigrantes_1996-2001;2021_porcentaje_de_inmigrantes_recientes;2021_emigrantes_1996-2001;2021_porcentaje_de_emigrantes_recientes;2021_migracion_neta;2021_migracion_bruta;2021_tasa_de_inmigracion;2021_tasa_de_emigracion;2021_tasa_de_migracion_neta;2021_indice_de_eficacia_migratoria;2001_poblacion_2001;2001_poblacion_2007;2001_no_migrantes;2001_porcentaje_de_no_migrantes_;2001_inmigrantes_2007-2001;2001_porcentaje_de_inmigrantes_recientes;2001_emigrantes_2007-2001;2001_porcentaje_de_emigrantes_recientes;2001_migracion_neta;2001_migracion_bruta;2001_tasa_de_inmigracion;2001_tasa_de_emigracion;2001_tasa_de_migracion_neta;2001_indice_de_eficacia_migratoria;2024_poblacion_2024;2024_poblacion_2019;2024_no_migrantes;2024_porcentaje_de_no_migrantes_;2024_inmigrantes_2019-2024;2024_porcentaje_de_inmigrantes_recientes;2024_emigrantes_2019-2024;2024_porcentaje_de_emigrantes_recientes;2024_migracion_neta;2024_migracion_bruta;2024_tasa_de_inmigracion;2024_tasa_de_emigracion;2024_tasa_de_migracion_neta;2024_indice_de_eficacia_migratoria;;
;18;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Mujeres;7110.00;7520.00;6942.00;0.20;168.00;0.00;578.00;0.20;-410.00;746.00;4.60;15.80;-11.20;-0.50;6991.00;7504.00;6876.00;0.20;115.00;0.00;628.00;0.20;-513.00;743.00;3.20;17.30;-14.20;-0.70;5581.00;5811.00;5403.00;0.10;178.00;0.10;408.00;0.10;-230.00;586.00;6.30;14.30;-8.10;-0.40;;
;19;Provincia;Chuquisaca;Azurduy;;Azurduy;22777.00;24740.00;22227.00;0.30;550.00;0.10;2513.00;0.40;-1963.00;3063.00;4.60;21.20;-16.50;-0.60;21660.00;23621.00;20857.00;0.30;803.00;0.10;2764.00;0.50;-1961.00;3567.00;7.10;24.40;-17.30;-0.50;20978.00;22126.00;20192.00;0.20;786.00;0.10;1934.00;0.40;-1148.00;2720.00;7.30;17.90;-10.70;-0.40;;
;20;Provincia;Chuquisaca;Azurduy;;Hombres;11256.00;12147.00;10955.00;0.30;301.00;0.10;1192.00;0.30;-891.00;1493.00;5.10;20.40;-15.20;-0.60;11012.00;11937.00;10596.00;0.30;416.00;0.10;1341.00;0.40;-925.00;1757.00;7.30;23.40;-16.10;-0.50;10423.00;11056.00;10059.00;0.20;364.00;0.10;997.00;0.30;-633.00;1361.00;6.80;18.60;-11.80;-0.50;;
;21;Provincia;Chuquisaca;Azurduy;;Mujeres;11521.00;12593.00;11272.00;0.30;249.00;0.10;1321.00;0.40;-1072.00;1570.00;4.10;21.90;-17.80;-0.70;10648.00;11684.00;10261.00;0.20;387.00;0.10;1423.00;0.50;-1036.00;1810.00;6.90;25.50;-18.60;-0.60;10555.00;11070.00;10133.00;0.20;422.00;0.20;937.00;0.40;-515.00;1359.00;7.80;17.30;-9.50;-0.40;;
;22;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Azurduy;9397.00;10227.00;9149.00;0.10;248.00;0.00;1078.00;0.10;-830.00;1326.00;5.10;22.00;-16.90;-0.60;9240.00;10424.00;8876.00;0.10;364.00;0.10;1548.00;0.20;-1184.00;1912.00;7.40;31.50;-24.10;-0.60;6622.00;7419.00;6305.00;0.10;317.00;0.00;1114.00;0.20;-797.00;1431.00;9.00;31.70;-22.70;-0.60;;
;23;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Hombres;4580.00;4944.00;4437.00;0.10;143.00;0.00;507.00;0.10;-364.00;650.00;6.00;21.30;-15.30;-0.60;4715.00;5267.00;4516.00;0.10;199.00;0.10;751.00;0.20;-552.00;950.00;8.00;30.10;-22.10;-0.60;3354.00;3778.00;3199.00;0.10;155.00;0.00;579.00;0.20;-424.00;734.00;8.70;32.50;-23.80;-0.60;;
;24;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Mujeres;4817.00;5283.00;4712.00;0.10;105.00;0.00;571.00;0.20;-466.00;676.00;4.20;22.60;-18.50;-0.70;4525.00;5157.00;4360.00;0.10;165.00;0.10;797.00;0.30;-632.00;962.00;6.80;32.90;-26.10;-0.70;3268.00;3641.00;3106.00;0.10;162.00;0.10;535.00;0.20;-373.00;697.00;9.40;31.00;-21.60;-0.50;;
;25;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Tarvita;13290.00;14039.00;12937.00;0.20;353.00;0.00;1102.00;0.10;-749.00;1455.00;5.20;16.10;-11.00;-0.50;12420.00;13197.00;11917.00;0.10;503.00;0.10;1280.00;0.20;-777.00;1783.00;7.90;20.00;-12.10;-0.40;14356.00;14707.00;13833.00;0.20;523.00;0.10;874.00;0.10;-351.00;1397.00;7.20;12.00;-4.80;-0.30;;
;26;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Hombres;6615.00;6961.00;6435.00;0.20;180.00;0.00;526.00;0.10;-346.00;706.00;5.30;15.50;-10.20;-0.50;6297.00;6670.00;6043.00;0.10;254.00;0.10;627.00;0.20;-373.00;881.00;7.80;19.30;-11.50;-0.40;7069.00;7278.00;6833.00;0.20;236.00;0.10;445.00;0.10;-209.00;681.00;6.60;12.40;-5.80;-0.30;;
;27;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Mujeres;6675.00;7078.00;6502.00;0.20;173.00;0.00;576.00;0.20;-403.00;749.00;5.00;16.80;-11.70;-0.50;6123.00;6527.00;5874.00;0.10;249.00;0.10;653.00;0.20;-404.00;902.00;7.90;20.60;-12.80;-0.40;7287.00;7429.00;7000.00;0.20;287.00;0.10;429.00;0.10;-142.00;716.00;7.80;11.70;-3.90;-0.20;;
;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;27439.00;29481.00;26285.00;0.40;1154.00;0.20;3196.00;0.50;-2042.00;4350.00;8.10;22.50;-14.30;-0.50;34019.00;35525.00;32704.00;0.40;1315.00;0.20;2821.00;0.50;-1506.00;4136.00;7.60;16.20;-8.70;-0.40;38249.00;38754.00;36925.00;0.40;1324.00;0.20;1829.00;0.30;-505.00;3153.00;6.90;9.50;-2.60;-0.20;;
;29;Provincia;Chuquisaca;Zudáñez;;Hombres;13703.00;14581.00;13084.00;0.40;619.00;0.20;1497.00;0.40;-878.00;2116.00;8.80;21.20;-12.40;-0.40;17135.00;17844.00;16466.00;0.40;669.00;0.20;1378.00;0.40;-709.00;2047.00;7.70;15.80;-8.10;-0.30;19702.00;19927.00;19023.00;0.40;679.00;0.20;904.00;0.30;-225.00;1583.00;6.90;9.10;-2.30;-0.10;;
;30;Provincia;Chuquisaca;Zudáñez;;Mujeres;13736.00;14900.00;13201.00;0.40;535.00;0.20;1699.00;0.50;-1164.00;2234.00;7.50;23.70;-16.30;-0.50;16884.00;17681.00;16238.00;0.40;646.00;0.20;1443.00;0.50;-797.00;2089.00;7.50;16.70;-9.20;-0.40;18547.00;18827.00;17902.00;0.40;645.00;0.20;925.00;0.40;-280.00;1570.00;6.90;9.90;-3.00;-0.20;;
;31;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;6305.00;6652.00;5846.00;0.10;459.00;0.10;806.00;0.10;-347.00;1265.00;14.20;24.90;-10.70;-0.30;9931.00;10257.00;9516.00;0.10;415.00;0.10;741.00;0.10;-326.00;1156.00;8.20;14.70;-6.50;-0.30;11768.00;11828.00;11162.00;0.10;606.00;0.10;666.00;0.10;-60.00;1272.00;10.30;11.30;-1.00;0.00;;
;32;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Hombres;3181.00;3320.00;2936.00;0.10;245.00;0.10;384.00;0.10;-139.00;629.00;15.10;23.60;-8.60;-0.20;5059.00;5199.00;4853.00;0.10;206.00;0.10;346.00;0.10;-140.00;552.00;8.00;13.50;-5.50;-0.30;6147.00;6150.00;5820.00;0.10;327.00;0.10;330.00;0.10;-3.00;657.00;10.60;10.70;-0.10;0.00;;
;33;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Mujeres;3124.00;3332.00;2910.00;0.10;214.00;0.10;422.00;0.10;-208.00;636.00;13.30;26.10;-12.90;-0.30;4872.00;5058.00;4663.00;0.10;209.00;0.10;395.00;0.10;-186.00;604.00;8.40;15.90;-7.50;-0.30;5621.00;5678.00;5342.00;0.10;279.00;0.10;336.00;0.10;-57.00;615.00;9.90;11.90;-2.00;-0.10;;
;34;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Presto;7439.00;7939.00;7268.00;0.10;171.00;0.00;671.00;0.10;-500.00;842.00;4.40;17.50;-13.00;-0.60;10641.00;10971.00;10362.00;0.10;279.00;0.00;609.00;0.10;-330.00;888.00;5.20;11.30;-6.10;-0.40;10507.00;10638.00;10230.00;0.10;277.00;0.00;408.00;0.10;-131.00;685.00;5.20;7.70;-2.50;-0.20;;
;35;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Hombres;3630.00;3855.00;3550.00;0.10;80.00;0.00;305.00;0.10;-225.00;385.00;4.30;16.30;-12.00;-0.60;5412.00;5557.00;5277.00;0.10;135.00;0.00;280.00;0.10;-145.00;415.00;4.90;10.20;-5.30;-0.30;5517.00;5576.00;5385.00;0.10;132.00;0.00;191.00;0.10;-59.00;323.00;4.80;6.90;-2.10;-0.20;;
;36;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Mujeres;3809.00;4084.00;3718.00;0.10;91.00;0.00;366.00;0.10;-275.00;457.00;4.60;18.50;-13.90;-0.60;5229.00;5414.00;5085.00;0.10;144.00;0.00;329.00;0.10;-185.00;473.00;5.40;12.40;-7.00;-0.40;4990.00;5062.00;4845.00;0.10;145.00;0.00;217.00;0.10;-72.00;362.00;5.80;8.60;-2.90;-0.20;;
;37;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;6689.00;6926.00;6394.00;0.10;295.00;0.00;532.00;0.10;-237.00;827.00;8.70;15.60;-7.00;-0.30;6892.00;7212.00;6513.00;0.10;379.00;0.10;699.00;0.10;-320.00;1078.00;10.70;19.80;-9.10;-0.30;8016.00;8142.00;7751.00;0.10;265.00;0.00;391.00;0.10;-126.00;656.00;6.60;9.70;-3.10;-0.20;;
;38;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Hombres;3376.00;3484.00;3228.00;0.10;148.00;0.00;256.00;0.10;-108.00;404.00;8.60;14.90;-6.30;-0.30;3386.00;3556.00;3198.00;0.10;188.00;0.10;358.00;0.10;-170.00;546.00;10.80;20.60;-9.80;-0.30;3991.00;4057.00;3865.00;0.10;126.00;0.00;192.00;0.10;-66.00;318.00;6.30;9.50;-3.30;-0.20;;
;39;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Mujeres;3313.00;3442.00;3166.00;0.10;147.00;0.00;276.00;0.10;-129.00;423.00;8.70;16.30;-7.60;-0.30;3506.00;3656.00;3315.00;0.10;191.00;0.10;341.00;0.10;-150.00;532.00;10.70;19.00;-8.40;-0.30;4025.00;4085.00;3886.00;0.10;139.00;0.00;199.00;0.10;-60.00;338.00;6.90;9.80;-3.00;-0.20;;
;40;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Icla;6821.00;7155.00;6562.00;0.10;259.00;0.00;593.00;0.10;-334.00;852.00;7.40;17.00;-9.60;-0.40;6555.00;7085.00;6276.00;0.10;279.00;0.00;809.00;0.10;-530.00;1088.00;8.20;23.70;-15.50;-0.50;7958.00;8146.00;7733.00;0.10;225.00;0.00;413.00;0.10;-188.00;638.00;5.60;10.30;-4.70;-0.30;;
;41;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Hombres;3398.00;3526.00;3247.00;0.10;151.00;0.00;279.00;0.10;-128.00;430.00;8.70;16.10;-7.40;-0.30;3278.00;3532.00;3125.00;0.10;153.00;0.00;407.00;0.10;-254.00;560.00;9.00;23.90;-14.90;-0.50;4047.00;4144.00;3935.00;0.10;112.00;0.00;209.00;0.10;-97.00;321.00;5.50;10.20;-4.70;-0.30;;
;42;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Mujeres;3423.00;3629.00;3315.00;0.10;108.00;0.00;314.00;0.10;-206.00;422.00;6.10;17.80;-11.70;-0.50;3277.00;3553.00;3151.00;0.10;126.00;0.00;402.00;0.10;-276.00;528.00;7.40;23.50;-16.20;-0.50;3911.00;4002.00;3798.00;0.10;113.00;0.00;204.00;0.10;-91.00;317.00;5.70;10.30;-4.60;-0.30;;
;43;Provincia;Chuquisaca;Tomina;;Tomina;31819.00;34323.00;30329.00;0.50;1490.00;0.20;3994.00;0.60;-2504.00;5484.00;9.00;24.20;-15.10;-0.50;30935.00;32662.00;29131.00;0.40;1804.00;0.30;3531.00;0.60;-1727.00;5335.00;11.30;22.20;-10.90;-0.30;29282.00;29635.00;27402.00;0.30;1880.00;0.30;2233.00;0.40;-353.00;4113.00;12.80;15.20;-2.40;-0.10;;
;44;Provincia;Chuquisaca;Tomina;;Hombres;16127.00;17245.00;15339.00;0.50;788.00;0.20;1906.00;0.50;-1118.00;2694.00;9.40;22.80;-13.40;-0.40;15667.00;16537.00;14725.00;0.40;942.00;0.30;1812.00;0.60;-870.00;2754.00;11.70;22.50;-10.80;-0.30;14854.00;14982.00;13898.00;0.30;956.00;0.30;1084.00;0.40;-128.00;2040.00;12.80;14.50;-1.70;-0.10;;
;45;Provincia;Chuquisaca;Tomina;;Mujeres;15692.00;17078.00;14990.00;0.50;702.00;0.20;2088.00;0.60;-1386.00;2790.00;8.60;25.50;-16.90;-0.50;15268.00;16125.00;14406.00;0.30;862.00;0.30;1719.00;0.60;-857.00;2581.00;11.00;21.90;-10.90;-0.30;14428.00;14653.00;13504.00;0.30;924.00;0.40;1149.00;0.40;-225.00;2073.00;12.70;15.80;-3.10;-0.10;;
;46;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Padilla;10592.00;11593.00;9929.00;0.20;663.00;0.10;1664.00;0.20;-1001.00;2327.00;12.00;30.00;-18.00;-0.40;9085.00;9812.00;8488.00;0.10;597.00;0.10;1324.00;0.20;-727.00;1921.00;12.60;28.00;-15.40;-0.40;7771.00;8108.00;7151.00;0.10;620.00;0.10;957.00;0.10;-337.00;1577.00;15.60;24.10;-8.50;-0.20;;
;47;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Hombres;5326.00;5765.00;4959.00;0.20;367.00;0.10;806.00;0.20;-439.00;1173.00;13.20;29.10;-15.80;-0.40;4617.00;4995.00;4295.00;0.10;322.00;0.10;700.00;0.20;-378.00;1022.00;13.40;29.10;-15.70;-0.40;3926.00;4076.00;3611.00;0.10;315.00;0.10;465.00;0.10;-150.00;780.00;15.70;23.20;-7.50;-0.20;;
;48;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Mujeres;5266.00;5828.00;4970.00;0.20;296.00;0.10;858.00;0.20;-562.00;1154.00;10.70;30.90;-20.30;-0.50;4468.00;4817.00;4193.00;0.10;275.00;0.10;624.00;0.20;-349.00;899.00;11.80;26.90;-15.00;-0.40;3845.00;4032.00;3540.00;0.10;305.00;0.10;492.00;0.20;-187.00;797.00;15.50;25.00;-9.50;-0.20;;
;49;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Tomina;7620.00;7819.00;7254.00;0.10;366.00;0.00;565.00;0.10;-199.00;931.00;9.50;14.60;-5.20;-0.20;7250.00;7523.00;6769.00;0.10;481.00;0.10;754.00;0.10;-273.00;1235.00;13.00;20.40;-7.40;-0.20;7444.00;7457.00;6928.00;0.10;516.00;0.10;529.00;0.10;-13.00;1045.00;13.90;14.20;-0.30;0.00;;
;50;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Hombres;3874.00;3944.00;3662.00;0.10;212.00;0.10;282.00;0.10;-70.00;494.00;10.80;14.40;-3.60;-0.10;3643.00;3740.00;3380.00;0.10;263.00;0.10;360.00;0.10;-97.00;623.00;14.20;19.50;-5.30;-0.20;3810.00;3787.00;3541.00;0.10;269.00;0.10;246.00;0.10;23.00;515.00;14.20;13.00;1.20;0.00;;
;51;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Mujeres;3746.00;3875.00;3592.00;0.10;154.00;0.00;283.00;0.10;-129.00;437.00;8.10;14.90;-6.80;-0.30;3607.00;3783.00;3389.00;0.10;218.00;0.10;394.00;0.10;-176.00;612.00;11.80;21.30;-9.50;-0.30;3634.00;3670.00;3387.00;0.10;247.00;0.10;283.00;0.10;-36.00;530.00;13.50;15.50;-2.00;-0.10;;
;52;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Sopachuy;6150.00;6550.00;5860.00;0.10;290.00;0.00;690.00;0.10;-400.00;980.00;9.10;21.70;-12.60;-0.40;6291.00;6730.00;5892.00;0.10;399.00;0.10;838.00;0.10;-439.00;1237.00;12.30;25.70;-13.50;-0.40;5832.00;5956.00;5469.00;0.10;363.00;0.10;487.00;0.10;-124.00;850.00;12.30;16.50;-4.20;-0.10;;
;53;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Hombres;3088.00;3281.00;2949.00;0.10;139.00;0.00;332.00;0.10;-193.00;471.00;8.70;20.90;-12.10;-0.40;3149.00;3383.00;2958.00;0.10;191.00;0.10;425.00;0.10;-234.00;616.00;11.70;26.00;-14.30;-0.40;2939.00;2998.00;2756.00;0.10;183.00;0.10;242.00;0.10;-59.00;425.00;12.30;16.30;-4.00;-0.10;;
;54;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Mujeres;3062.00;3269.00;2911.00;0.10;151.00;0.00;358.00;0.10;-207.00;509.00;9.50;22.60;-13.10;-0.40;3142.00;3347.00;2934.00;0.10;208.00;0.10;413.00;0.10;-205.00;621.00;12.80;25.50;-12.60;-0.30;2893.00;2958.00;2713.00;0.10;180.00;0.10;245.00;0.10;-65.00;425.00;12.30;16.70;-4.40;-0.20;;
;55;Municipio/TIOC;Chuquisaca;Tomina;Villa Alcalá;Villa Alcalá;3436.00;3648.00;3325.00;0.10;111.00;0.00;323.00;0.00;-212.00;434.00;6.30;18.20;-12.00;-0.50;4219.00;4258.00;3926.00;0.00;293.00;0.00;332.00;0.10;-39.00;625.00;13.80;15.70;-1.80;-0.10;3173.00;3172.00;2939.00;0.00;234.00;0.00;233.00;0.00;1.00;467.00;14.80;14.70;0.10;0.00;;
;56;Municipio/TIOC;Chuquisaca;Tomina;Villa Alcalá;Hombres;1770.00;1874.00;1722.00;0.10;48.00;0.00;152.00;0.00;-104.00;200.00;5.30;16.70;-11.40;-0.50;2138.00;2165.00;1981.00;0.00;157.00;0.00;184.00;0.10;-27.00;341.00;14.60;17.10;-2.50;-0.10;1623.00;1623.00;1508.00;0.00;115.00;0.00;115.00;0.00;0.00;230.00;14.20;14.20;0.00;0.00;;
;57;Municipio/TIOC;Chuquisaca;Tomina;Villa Alcalá;Mujeres;1666.00;1774.00;1603.00;0.10;63.00;0.00;171.00;0.00;-108.00;234.00;7.30;19.90;-12.60;-0.50;2081.00;2093.00;1945.00;0.00;136.00;0.00;148.00;0.00;-12.00;284.00;13.00;14.20;-1.10;0.00;1550.00;1549.00;1431.00;0.00;119.00;0.00;118.00;0.00;1.00;237.00;15.40;15.20;0.10;0.00;;
