cuadro;no;nivel;departamento;provincia;municipio_tioc_tioc;sexo;2001_poblacion_2001;2001_poblacion_1996;2001_no_migrantes;2001_porcentaje_de_no_migrantes_;2001_inmigrantes_1996-2001;2001_porcentaje_de_inmigrantes_recientes;2001_emigrantes_1996-2001;2001_porcentaje_de_emigrantes_recientes;2001_migracion_neta;2001_migracion_bruta;2001_tasa_de_inmigracion;2001_tasa_de_emigracion;2001_tasa_de_migracion_neta;2001_indice_de_eficacia_migratoria;2012_poblacion_2012;2012_poblacion_2007;2012_no_migrantes;2012_porcentaje_de_no_migrantes_;2012_inmigrantes_2012-2007;2012_porcentaje_de_inmigrantes_recientes;2012_emigrantes_2012-2007;2012_porcentaje_de_emigrantes_recientes;2012_migracion_neta;2012_migracion_bruta;2012_tasa_de_inmigracion;2012_tasa_de_emigracion;2012_tasa_de_migracion_neta;2012_indice_de_eficacia_migratoria;2024_poblacion_2024;2024_poblacion_2019;2024_no_migrantes;2024_porcentaje_de_no_migrantes_;2024_inmigrantes_2024-2019;2024_porcentaje_de_inmigrantes_recientes;2024_emigrantes_2024-2019;2024_porcentaje_de_emigrantes_recientes;2024_migracion_neta;2024_migracion_bruta;2024_tasa_de_inmigracion;2024_tasa_de_emigracion;2024_tasa_de_migracion_neta;2024_indice_de_eficacia_migratoria
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2034;11;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Hombres;25,346;23,590;19,145;2.8;6,201;4.4;4,445;3.2;1,756;10,646;50.7;36.3;14.4;0.2;32,928;32,038;26,834;2.8;6,094;4.7;5,204;4.1;890;11,298;37.5;32.0;5.5;0.1;34,273;33,573;30,426;3.0;3,847;3.5;3,147;2.8;700;6,994;22.7;18.6;4.1;0.1
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2035;12;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Mujeres;27,340;25,958;20,887;2.9;6,453;4.8;5,071;3.8;1,382;11,524;48.4;38.1;10.4;0.1;35,019;34,334;28,516;2.9;6,503;5.5;5,818;4.9;685;12,321;37.5;33.6;4.0;0.1;35,707;34,916;31,410;3.2;4,297;4.0;3,506;3.3;791;7,803;24.3;19.9;4.5;0.1
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2036;13;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;1,244;1,372;1,056;0.1;188;0.1;316;0.1;-128;504;28.7;48.3;-19.6;-0.3;1,529;1,649;1,396;0.1;133;0.1;253;0.1;-120;386;16.7;31.8;-15.1;-0.3;1,511;1,532;1,373;0.1;138;0.1;159;0.1;-21;297;18.1;20.9;-2.8;-0.1
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2037;14;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Hombres;623;688;533;0.1;90;0.1;155;0.1;-65;245;27.5;47.3;-19.8;-0.3;802;849;730;0.1;72;0.1;119;0.1;-47;191;17.4;28.8;-11.4;-0.2;762;771;686;0.1;76;0.1;85;0.1;-9;161;19.8;22.2;-2.3;-0.1
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2038;15;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Mujeres;621;684;523;0.1;98;0.1;161;0.1;-63;259;30.0;49.3;-19.3;-0.2;727;800;666;0.1;61;0.1;134;0.1;-73;195;16.0;35.1;-19.1;-0.4;749;761;687;0.1;62;0.1;74;0.1;-12;136;16.4;19.6;-3.2;-0.1
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2039;16;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Poroma;2,522;2,800;2,399;0.2;123;0.0;401;0.1;-278;524;9.2;30.1;-20.9;-0.5;2,068;2,515;1,983;0.1;85;0.0;532;0.2;-447;617;7.4;46.4;-39.0;-0.7;1,883;2,069;1,751;0.1;132;0.1;318;0.1;-186;450;13.4;32.2;-18.8;-0.4
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2040;17;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Hombres;1,218;1,350;1,160;0.2;58;0.0;190;0.1;-132;248;9.0;29.6;-20.6;-0.5;1,059;1,316;1,026;0.1;33;0.0;290;0.2;-257;323;5.6;48.8;-43.3;-0.8;987;1,084;927;0.1;60;0.1;157;0.1;-97;217;11.6;30.3;-18.7;-0.4
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2041;18;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Mujeres;1,304;1,450;1,239;0.2;65;0.0;211;0.2;-146;276;9.4;30.6;-21.2;-0.5;1,009;1,199;957;0.1;52;0.0;242;0.2;-190;294;9.4;43.8;-34.4;-0.6;896;985;824;0.1;72;0.1;161;0.1;-89;233;15.3;34.2;-18.9;-0.4
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2042;19;Provincia;Chuquisaca;Azurduy;;Azurduy;3,964;4,715;3,718;0.3;246;0.1;997;0.4;-751;1,243;11.3;45.9;-34.6;-0.6;3,148;3,889;2,827;0.1;321;0.1;1,062;0.5;-741;1,383;18.2;60.4;-42.1;-0.5;4,070;4,632;3,765;0.2;305;0.1;867;0.4;-562;1,172;14.0;39.9;-25.8;-0.5
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2043;20;Provincia;Chuquisaca;Azurduy;;Hombres;2,065;2,439;1,946;0.3;119;0.1;493;0.4;-374;612;10.6;43.8;-33.2;-0.6;1,655;2,052;1,501;0.2;154;0.1;551;0.5;-397;705;16.6;59.5;-42.8;-0.6;1,941;2,245;1,804;0.2;137;0.1;441;0.4;-304;578;13.1;42.1;-29.0;-0.5
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2044;21;Provincia;Chuquisaca;Azurduy;;Mujeres;1,899;2,276;1,772;0.3;127;0.1;504;0.4;-377;631;12.2;48.3;-36.1;-0.6;1,493;1,837;1,326;0.1;167;0.2;511;0.5;-344;678;20.1;61.4;-41.3;-0.5;2,129;2,387;1,961;0.2;168;0.2;426;0.4;-258;594;14.9;37.7;-22.9;-0.4
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2045;22;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Azurduy;1,723;1,995;1,604;0.1;119;0.0;391;0.1;-272;510;12.8;42.1;-29.3;-0.5;1,479;1,876;1,332;0.1;147;0.1;544;0.2;-397;691;17.5;64.9;-47.3;-0.6;1,026;1,370;906;0.0;120;0.1;464;0.2;-344;584;20.0;77.5;-57.4;-0.6
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2046;23;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Hombres;786;921;722;0.1;64;0.0;199;0.1;-135;263;15.0;46.6;-31.6;-0.5;799;1,008;729;0.1;70;0.1;279;0.2;-209;349;15.5;61.8;-46.3;-0.6;511;701;459;0.0;52;0.0;242;0.2;-190;294;17.2;79.9;-62.7;-0.6
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2047;24;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Mujeres;937;1,074;882;0.1;55;0.0;192;0.1;-137;247;10.9;38.2;-27.3;-0.6;680;868;603;0.1;77;0.1;265;0.2;-188;342;19.9;68.5;-48.6;-0.5;515;669;447;0.0;68;0.1;222;0.2;-154;290;23.0;75.0;-52.0;-0.5
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2048;25;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Tarvita;2,207;2,532;2,073;0.1;134;0.0;459;0.2;-325;593;11.3;38.7;-27.4;-0.5;1,669;2,013;1,482;0.1;187;0.1;531;0.2;-344;718;20.3;57.7;-37.4;-0.5;3,028;3,242;2,846;0.1;182;0.1;396;0.2;-214;578;11.6;25.3;-13.7;-0.4
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2049;26;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Hombres;1,089;1,257;1,021;0.2;68;0.0;236;0.2;-168;304;11.6;40.2;-28.6;-0.6;856;1,044;765;0.1;91;0.1;279;0.2;-188;370;19.2;58.7;-39.6;-0.5;1,417;1,536;1,342;0.1;75;0.1;194;0.2;-119;269;10.2;26.3;-16.1;-0.4
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2050;27;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Mujeres;1,118;1,275;1,052;0.1;66;0.0;223;0.2;-157;289;11.0;37.3;-26.2;-0.5;813;969;717;0.1;96;0.1;252;0.2;-156;348;21.5;56.6;-35.0;-0.4;1,611;1,706;1,504;0.2;107;0.1;202;0.2;-95;309;12.9;24.4;-11.5;-0.3
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2051;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;4,450;5,280;3,994;0.3;456;0.2;1,286;0.5;-830;1,742;18.7;52.9;-34.1;-0.5;6,677;7,378;6,198;0.3;479;0.2;1,180;0.5;-701;1,659;13.6;33.6;-20.0;-0.4;8,980;9,268;8,517;0.4;463;0.2;751;0.3;-288;1,214;10.1;16.5;-6.3;-0.2
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2052;29;Provincia;Chuquisaca;Zudáñez;;Hombres;2,286;2,758;2,049;0.3;237;0.2;709;0.5;-472;946;18.8;56.2;-37.4;-0.5;3,476;3,823;3,241;0.3;235;0.2;582;0.5;-347;817;12.9;31.9;-19.0;-0.4;4,788;4,928;4,559;0.4;229;0.2;369;0.3;-140;598;9.4;15.2;-5.8;-0.2
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2053;30;Provincia;Chuquisaca;Zudáñez;;Mujeres;2,164;2,522;1,945;0.3;219;0.2;577;0.4;-358;796;18.7;49.3;-30.6;-0.4;3,201;3,555;2,957;0.3;244;0.2;598;0.5;-354;842;14.4;35.4;-21.0;-0.4;4,192;4,340;3,958;0.4;234;0.2;382;0.4;-148;616;11.0;17.9;-6.9;-0.2
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2054;31;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;1,034;1,185;874;0.1;160;0.1;311;0.1;-151;471;28.8;56.1;-27.2;-0.3;2,303;2,462;2,158;0.1;145;0.1;304;0.1;-159;449;12.2;25.5;-13.3;-0.4;2,860;2,870;2,626;0.1;234;0.1;244;0.1;-10;478;16.3;17.0;-0.7;0.0
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2055;32;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Hombres;528;596;444;0.1;84;0.1;152;0.1;-68;236;29.9;54.1;-24.2;-0.3;1,226;1,305;1,161;0.1;65;0.1;144;0.1;-79;209;10.3;22.8;-12.5;-0.4;1,551;1,548;1,431;0.1;120;0.1;117;0.1;3;237;15.5;15.1;0.4;0.0
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2056;33;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Mujeres;506;589;430;0.1;76;0.1;159;0.1;-83;235;27.8;58.1;-30.3;-0.4;1,077;1,157;997;0.1;80;0.1;160;0.1;-80;240;14.3;28.6;-14.3;-0.3;1,309;1,322;1,195;0.1;114;0.1;127;0.1;-13;241;17.3;19.3;-2.0;-0.1
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2057;34;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Presto;1,132;1,311;1,063;0.1;69;0.0;248;0.1;-179;317;11.3;40.6;-29.3;-0.6;2,282;2,427;2,163;0.1;119;0.0;264;0.1;-145;383;10.1;22.4;-12.3;-0.4;2,466;2,520;2,366;0.1;100;0.0;154;0.1;-54;254;8.0;12.4;-4.3;-0.2
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2058;35;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Hombres;523;593;493;0.1;30;0.0;100;0.1;-70;130;10.8;35.8;-25.1;-0.5;1,151;1,212;1,093;0.1;58;0.0;119;0.1;-61;177;9.8;20.1;-10.3;-0.3;1,355;1,382;1,308;0.1;47;0.0;74;0.1;-27;121;6.9;10.8;-3.9;-0.2
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2059;36;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Mujeres;609;718;570;0.1;39;0.0;148;0.1;-109;187;11.8;44.6;-32.9;-0.6;1,131;1,215;1,070;0.1;61;0.1;145;0.1;-84;206;10.4;24.7;-14.3;-0.4;1,111;1,138;1,058;0.1;53;0.0;80;0.1;-27;133;9.4;14.2;-4.8;-0.2
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 18 A 29 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2060;37;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;1,140;1,217;1,011;0.1;129;0.0;206;0.1;-77;335;21.9;35.0;-13.1;-0.2;1,141;1,326;1,011;0.1;130;0.1;315;0.1;-185;445;21.1;51.1;-30.0;-0.4;1,806;1,915;1,736;0.1;70;0.0;179;0.1;-109;249;7.5;19.2;-11.7;-0.4
