cuadro;descripcion;nivel;departamento;provincia;municipio_tioc;area;total;afroboliviano;_akarapis;_andamarca;_araona;_aroma;_ayllu_jila;_ayllu_jukumani;_ayllu_kacachaca;_ayllu_kharacha;_ayllu_porco;_ayllu_yura;_aymara;_ayoreo;_baure;_belen;_besiro;_calcha;canichana;_cavinenho;_cayubaba;_chacobo;challapata;_chane;_chaqui;charagua;charazani;_charka;_charka_qhara_qhara;_chayanta;_chichas;chiquitano;chiriguano;_choquecota;_chullpas;_chuwi;_condo;_coroma;_corque;_curahuara_de_carangas;_ese_ejja;_guarani;_guarasuwe;_gwarayu;_huachacalla;_huari;_huaylla_marka;_itonama;_jacha_carangas;_jalqa;_jatun_killacas;_javeriano;_jesus_de_machaca;_joaquiniano;_kallawaya;_killacas;_lagunillas;_larecaja;_layme;_leco;_lipez;_loretano;_lupaca;_machineri;_maropa;_mataco;_mojenho;_mojenho_ignaciano;_mojenho_trinitario;_mojocoya;_mollo;_monkox;_more;_moro_moro;_moseten;_movima;_murato;_orinoca;_pacahuara;_pakajaqi;_pampa_aullagas;_pati_pati;_paunaca;_pojos;_pojpo;_poroma;_pucara;_puquina;_qhara_qhara;_quechua;_quila_quila;_qullas;_raqaypampa;_reyesano;_sabaya;_salinas;_san_juan;_siriono;_sora;_suyu_sura;_tacana;_tapiete;_tinquipaya;_tobas;_toromona;_totora_marka;_trinitario;_tsimane;_turco;_uchupiamonas;_ucumasi;_urmiri_de_quillacas;_uru;_uru-chipaya;_uru-ito;_weenhayek;_yaminawa;_yampara;_yapacani;_yuqui;_yurakare;_yurakare_-_mojenho;_quechua_-_aymara;_otros_pueblos_indigenas_extranjeros;_mas_de_una_descripcion;_nacion;_pueblo;_indigena;_originario;_campesino;_combinacion_de_conceptos_de_npioc;_otros_ayllus,_marcas_y_organizaciones_territoriales;interculturales_y_otras_organizaciones_indigenas;sin_especificar
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2034;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2034;Municipio/TIOC; Chuquisaca;Oropeza;Sucre;Urbana;70,487;429;0;0;0;2;1;1;1;0;10;6;1,893;4;2;1;1;2;2;4;1;3;7;0;10;5;0;7;25;70;245;66;1;0;1;0;0;0;0;0;0;544;0;19;0;2;4;3;2;187;0;0;0;1;2;5;3;0;2;12;7;0;0;0;1;0;13;12;5;15;0;0;0;0;2;1;1;1;1;3;0;0;0;0;1;35;1;0;127;59,441;28;0;0;1;0;3;5;0;1;0;11;2;7;0;1;0;1;5;0;0;0;0;2;3;0;3;0;563;0;0;5;0;39;6;157;5;21;411;103;4,122;152;27;45;1,505
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2035;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2035;Municipio/TIOC; Chuquisaca;Oropeza;Sucre;Rural;14,859;45;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;6;1;1;1;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;2,913;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;627;8,963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;76;1;4;235;49;1,534;98;3;0;246
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2036;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2036;Municipio/TIOC; Chuquisaca;Oropeza;Yotala;Yotala;5,994;13;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;11;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;5,113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;26;32;494;62;0;0;111
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2037;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2037;Municipio/TIOC; Chuquisaca;Oropeza;Yotala;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2038;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2038;Municipio/TIOC; Chuquisaca;Oropeza;Yotala;Rural;5,994;13;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;11;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;5,113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;26;32;494;62;0;0;111
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2039;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2039;Municipio/TIOC; Chuquisaca;Oropeza;Poroma;Poroma;11,149;18;0;0;0;1;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;662;9,408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;41;45;78;536;23;37;0;240
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2040;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2040;Municipio/TIOC; Chuquisaca;Oropeza;Poroma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2041;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2041;Municipio/TIOC; Chuquisaca;Oropeza;Poroma;Rural;11,149;18;0;0;0;1;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;662;9,408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;41;45;78;536;23;37;0;240
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2042;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2042;Provincia; Chuquisaca;Azurduy;;Azurduy;16,967;3;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;53;4;318;44;0;0;347
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2043;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2043;Provincia; Chuquisaca;Azurduy;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2044;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2044;Provincia; Chuquisaca;Azurduy;;Rural;16,967;3;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;53;4;318;44;0;0;347
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2045;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2045;Municipio/TIOC; Chuquisaca;Azurduy;Azurduy;Azurduy;4,041;2;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;1;118;16;0;0;72
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2046;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2046;Municipio/TIOC; Chuquisaca;Azurduy;Azurduy;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
