Cuadro;pregunta;nivel;departamento;provincia;tioc/municipio;area;total;si_total;si_hombres;si_mujeres;no_total;no_hombres;no_mujeres;no_sabe_total;no_sabe_hombres;no_sabe_mujeres
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Oropeza;Sucre;Urbana;275,959;70,487;32,414;38,073;201,709;97,419;104,290;3,763;1,792;1,971
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Oropeza;Sucre;Rural;20,787;14,859;7,502;7,357;5,285;2,690;2,595;643;305;338
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Oropeza;Yotala;Yotala;9,256;5,994;2,949;3,045;3,099;1,620;1,479;163;85;78
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Oropeza;Yotala;Urbana;;;;;;;;;;
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Oropeza;Yotala;Rural;9,256;5,994;2,949;3,045;3,099;1,620;1,479;163;85;78
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Oropeza;Poroma;Poroma;13,649;11,149;5,711;5,438;2,204;1,116;1,088;296;155;141
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Oropeza;Poroma;Urbana;;;;;;;;;;
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Oropeza;Poroma;Rural;13,649;11,149;5,711;5,438;2,204;1,116;1,088;296;155;141
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Provincia; Chuquisaca;Azurduy;;Azurduy;24,715;16,967;8,395;8,572;7,042;3,554;3,488;706;323;383
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Provincia; Chuquisaca;Azurduy;;Urbana;;;;;;;;;;
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Provincia; Chuquisaca;Azurduy;;Rural;24,715;16,967;8,395;8,572;7,042;3,554;3,488;706;323;383
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Azurduy;Azurduy;Azurduy;7,903;4,041;2,045;1,996;3,586;1,833;1,753;276;126;150
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Azurduy;Azurduy;Urbana;;;;;;;;;;
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Azurduy;Azurduy;Rural;7,903;4,041;2,045;1,996;3,586;1,833;1,753;276;126;150
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Azurduy;Tarvita;Tarvita;16,812;12,926;6,350;6,576;3,456;1,721;1,735;430;197;233
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Azurduy;Tarvita;Urbana;;;;;;;;;;
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Azurduy;Tarvita;Rural;16,812;12,926;6,350;6,576;3,456;1,721;1,735;430;197;233
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Provincia; Chuquisaca;Zudáñez;;Zudáñez;44,443;32,791;16,919;15,872;10,493;5,355;5,138;1,159;615;544
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Provincia; Chuquisaca;Zudáñez;;Urbana;9,730;5,629;2,736;2,893;3,924;2,014;1,910;177;90;87
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Provincia; Chuquisaca;Zudáñez;;Rural;34,713;27,162;14,183;12,979;6,569;3,341;3,228;982;525;457
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Zudáñez;Zudáñez;Zudáñez;13,694;9,948;5,180;4,768;3,366;1,773;1,593;380;190;190
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Zudáñez;Zudáñez;Urbana;4,790;2,783;1,347;1,436;1,932;1,034;898;75;41;34
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Zudáñez;Zudáñez;Rural;8,904;7,165;3,833;3,332;1,434;739;695;305;149;156
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Zudáñez;Presto;Presto;12,539;9,163;4,803;4,360;2,936;1,495;1,441;440;252;188
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Zudáñez;Presto;Urbana;2,220;1,161;574;587;992;479;513;67;38;29
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Zudáñez;Presto;Rural;10,319;8,002;4,229;3,773;1,944;1,016;928;373;214;159
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Zudáñez;Mojocoya;Mojocoya;9,055;5,765;2,911;2,854;3,165;1,551;1,614;125;53;72
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Zudáñez;Mojocoya;Urbana;2,720;1,685;815;870;1,000;501;499;35;11;24
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Zudáñez;Mojocoya;Rural;6,335;4,080;2,096;1,984;2,165;1,050;1,115;90;42;48
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Zudáñez;Icla;Icla;9,155;7,915;4,025;3,890;1,026;536;490;214;120;94
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Zudáñez;Icla;Urbana;;;;;;;;;;
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Zudáñez;Icla;Rural;9,155;7,915;4,025;3,890;1,026;536;490;214;120;94
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Provincia; Chuquisaca;Tomina;;Tomina;34,065;16,678;8,476;8,202;16,462;8,278;8,184;925;470;455
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Provincia; Chuquisaca;Tomina;;Urbana;6,252;1,824;879;945;4,356;2,071;2,285;72;33;39
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Provincia; Chuquisaca;Tomina;;Rural;27,813;14,854;7,597;7,257;12,106;6,207;5,899;853;437;416
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Tomina;Padilla;Padilla;9,192;1,768;967;801;7,174;3,538;3,636;250;123;127
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Tomina;Padilla;Urbana;4,232;658;351;307;3,527;1,639;1,888;47;19;28
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Tomina;Padilla;Rural;4,960;1,110;616;494;3,647;1,899;1,748;203;104;99
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Tomina;Tomina;Tomina;8,509;6,022;3,016;3,006;2,291;1,197;1,094;196;97;99
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Tomina;Tomina;Urbana;2,020;1,166;528;638;829;432;397;25;14;11
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Tomina;Tomina;Rural;6,489;4,856;2,488;2,368;1,462;765;697;171;83;88
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Tomina;Sopachuy;Sopachuy;6,942;5,314;2,718;2,596;1,396;674;722;232;115;117
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Tomina;Sopachuy;Urbana;;;;;;;;;;
BOLIVIA: POBLACIÓN POR AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;se autoidentifica con alguna nacion indigena?;Municipio/TIOC; Chuquisaca;Tomina;Sopachuy;Rural;6,942;5,314;2,718;2,596;1,396;674;722;232;115;117
