cuadro;pregunta;no.;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;2001_poblacion_total;2001_poblacion_hombres;2001_poblacion_mujeres;2001_tasa_de_alfabetismo_total;2001_tasa_de_alfabetismo_hombres;2001_tasa_de_alfabetismo_mujeres;2001_brecha_hombres-mujeres;2012_poblacion_total;2012_poblacion_hombres;2012_poblacion_mujeres;2012_tasa_de_alfabetismo_total;2012_tasa_de_alfabetismo_hombres;2012_tasa_de_alfabetismo_mujeres;2012_brecha_hombres-mujeres;2024_poblacion_total;2024_poblacion_hombres;2024_poblacion_mujeres;2024_tasa_de_alfabetismo_total;2024_tasa_de_alfabetismo_hombres;2024_tasa_de_alfabetismo_mujeres;2024_brecha_hombres-mujeres
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2037;tasa de alfabetismo;14;País;;;;40 a 59 ;480,554;249,815;230,739;64.9;82.5;45.9;36.6;584,153;308,816;275,337;88.9;95.0;81.9;13.1;709,195;380,193;329,002;92.8;96.7;88.3;8.4
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2038;tasa de alfabetismo;15;País;;;;60 o más ;284,033;137,645;146,388;33.8;53.7;15.0;38.8;363,375;177,804;185,571;65.1;80.9;49.9;31.0;449,968;227,104;222,864;69.8;85.8;53.5;32.3
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2039;tasa de alfabetismo;16;Departamento;Chuquisaca;;;Chuquisaca;307,121;146,406;160,715;73.0;81.6;65.2;16.4;380,533;184,393;196,140;89.0;93.2;85.1;8.1;439,831;215,162;224,669;90.9;94.7;87.4;7.3
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2040;tasa de alfabetismo;17;Departamento;Chuquisaca;;;15 a 24 ;99,047;48,558;50,489;93.6;96.4;91.0;5.4;115,386;58,034;57,352;98.9;99.0;98.8;0.3;113,349;57,068;56,281;99.3;99.4;99.3;0.1
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2041;tasa de alfabetismo;18;Departamento;Chuquisaca;;;25 a 39 ;89,692;42,651;47,041;83.2;90.9;76.2;14.7;112,242;55,029;57,213;95.7;97.5;93.9;3.7;134,622;67,059;67,563;98.4;98.8;97.9;0.9
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2042;tasa de alfabetismo;19;Departamento;Chuquisaca;;;40 a 59 ;75,195;35,921;39,274;58.3;72.8;45.0;27.8;93,524;44,852;48,672;86.3;92.6;80.4;12.1;117,320;56,955;60,365;91.1;95.1;87.4;7.7
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2043;tasa de alfabetismo;20;Departamento;Chuquisaca;;;60 o más ;43,187;19,276;23,911;30.2;40.1;22.2;17.9;59,381;26,478;32,903;61.5;72.2;52.9;19.3;74,540;34,080;40,460;64.4;77.9;53.1;24.7
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2044;tasa de alfabetismo;21;Departamento;Chuquisaca;;;Urbana;139,562;64,650;74,912;90.0;94.9;85.8;9.1;194,715;90,574;104,141;95.3;97.7;93.1;4.6;249,019;117,604;131,415;95.7;98.1;93.6;4.4
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2045;tasa de alfabetismo;22;Departamento;Chuquisaca;;;15 a 24 ;54,297;26,027;28,270;97.8;99.0;96.8;2.2;67,074;32,377;34,697;99.5;99.6;99.4;0.2;68,609;34,057;34,552;99.7;99.7;99.7;0.0
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2046;tasa de alfabetismo;23;Departamento;Chuquisaca;;;25 a 39 ;42,172;19,559;22,613;93.9;97.5;90.9;6.6;62,373;29,601;32,772;97.9;99.0;96.8;2.2;83,161;40,073;43,088;99.1;99.4;98.7;0.7
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2047;tasa de alfabetismo;24;Departamento;Chuquisaca;;;40 a 59 ;29,048;13,299;15,749;83.7;91.8;76.9;14.9;42,184;19,040;23,144;93.4;96.9;90.5;6.4;63,127;28,915;34,212;95.4;98.2;93.0;5.2
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2048;tasa de alfabetismo;25;Departamento;Chuquisaca;;;60 o más ;14,045;5,765;8,280;61.2;75.4;51.3;24.2;23,084;9,556;13,528;79.1;88.6;72.4;16.2;34,122;14,559;19,563;80.3;90.3;72.8;17.6
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2049;tasa de alfabetismo;26;Departamento;Chuquisaca;;;Rural;167,559;81,756;85,803;58.9;71.1;47.2;23.9;185,818;93,819;91,999;82.5;88.8;76.0;12.8;190,812;97,558;93,254;84.7;90.6;78.6;12.0
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2050;tasa de alfabetismo;27;Departamento;Chuquisaca;;;15 a 24 ;44,750;22,531;22,219;88.6;93.4;83.6;9.8;48,312;25,657;22,655;98.0;98.3;97.7;0.5;44,740;23,011;21,729;98.9;99.0;98.8;0.2
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2051;tasa de alfabetismo;28;Departamento;Chuquisaca;;;25 a 39 ;47,520;23,092;24,428;73.7;85.4;62.6;22.8;49,869;25,428;24,441;92.9;95.8;89.8;6.0;51,461;26,986;24,475;97.3;98.0;96.5;1.4
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2052;tasa de alfabetismo;29;Departamento;Chuquisaca;;;40 a 59 ;46,147;22,622;23,525;42.3;61.7;23.7;38.0;51,340;25,812;25,528;80.4;89.4;71.3;18.0;54,193;28,040;26,153;86.2;91.9;80.1;11.9
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2053;tasa de alfabetismo;30;Departamento;Chuquisaca;;;60 o más ;29,142;13,511;15,631;15.3;25.1;6.8;18.3;36,297;16,922;19,375;50.3;62.9;39.3;23.6;40,418;19,521;20,897;51.1;68.6;34.7;33.9
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2054;tasa de alfabetismo;31;Provincia;Chuquisaca;Oropeza;;Oropeza;151,466;70,780;80,686;84.8;90.5;79.8;10.7;195,955;91,822;104,133;93.7;96.6;91.2;5.4;236,161;111,860;124,301;94.9;97.7;92.5;5.2
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2055;tasa de alfabetismo;32;Provincia;Chuquisaca;Oropeza;;15 a 24 ;56,299;27,163;29,136;97.0;98.5;95.6;2.9;65,760;31,963;33,797;99.4;99.6;99.3;0.3;64,208;31,827;32,381;99.7;99.7;99.7;0.0
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2056;tasa de alfabetismo;33;Provincia;Chuquisaca;Oropeza;;25 a 39 ;44,900;21,018;23,882;91.3;95.9;87.2;8.7;61,101;29,153;31,948;97.5;98.8;96.3;2.5;77,123;37,308;39,815;99.0;99.4;98.6;0.8
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2057;tasa de alfabetismo;34;Provincia;Chuquisaca;Oropeza;;40 a 59 ;33,209;15,343;17,866;74.2;84.4;65.5;18.8;43,989;20,046;23,943;91.6;96.2;87.8;8.4;60,359;27,822;32,537;94.9;98.1;92.2;5.9
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2058;tasa de alfabetismo;35;Provincia;Chuquisaca;Oropeza;;60 o más ;17,058;7,256;9,802;47.8;57.6;40.5;17.2;25,105;10,660;14,445;73.4;82.4;66.8;15.7;34,471;14,903;19,568;77.3;88.3;68.8;19.4
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2059;tasa de alfabetismo;36;Provincia;Chuquisaca;Oropeza;;Urbana;125,009;57,833;67,176;90.6;95.3;86.7;8.6;165,030;76,475;88,555;95.8;98.1;93.8;4.2;205,180;96,225;108,955;96.3;98.5;94.4;4.1
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2060;tasa de alfabetismo;37;Provincia;Chuquisaca;Oropeza;;15 a 24 ;49,483;23,688;25,795;97.9;99.0;96.8;2.2;58,102;27,950;30,152;99.6;99.7;99.5;0.2;57,509;28,396;29,113;99.7;99.7;99.7;0.0
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2061;tasa de alfabetismo;38;Provincia;Chuquisaca;Oropeza;;25 a 39 ;37,876;17,572;20,304;94.1;97.6;91.1;6.5;53,012;25,122;27,890;98.0;99.2;97.0;2.2;69,221;33,199;36,022;99.1;99.5;98.8;0.7
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2062;tasa de alfabetismo;39;Provincia;Chuquisaca;Oropeza;;40 a 59 ;25,541;11,608;13,933;84.5;92.2;78.2;14.0;35,076;15,622;19,454;94.0;97.5;91.3;6.2;51,151;23,151;28,000;95.8;98.6;93.5;5.1
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2063;tasa de alfabetismo;40;Provincia;Chuquisaca;Oropeza;;60 o más ;12,109;4,965;7,144;63.2;76.6;53.9;22.7;18,840;7,781;11,059;81.2;90.0;75.0;14.9;27,299;11,479;15,820;83.0;92.3;76.3;16.0
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2064;tasa de alfabetismo;41;Provincia;Chuquisaca;Oropeza;;Rural;26,457;12,947;13,510;57.0;69.1;45.5;23.6;30,925;15,347;15,578;82.6;89.1;76.2;12.9;30,981;15,635;15,346;85.9;92.6;79.0;13.6
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2065;tasa de alfabetismo;42;Provincia;Chuquisaca;Oropeza;;15 a 24 ;6,816;3,475;3,341;90.8;95.2;86.3;9.0;7,658;4,013;3,645;98.1;98.7;97.5;1.2;6,699;3,431;3,268;99.3;99.5;99.2;0.3
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2066;tasa de alfabetismo;43;Provincia;Chuquisaca;Oropeza;;25 a 39 ;7,024;3,446;3,578;76.0;87.4;65.1;22.3;8,089;4,031;4,058;93.9;96.3;91.4;4.9;7,902;4,109;3,793;97.5;98.4;96.6;1.8
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2067;tasa de alfabetismo;44;Provincia;Chuquisaca;Oropeza;;40 a 59 ;7,668;3,735;3,933;40.0;60.1;20.8;39.3;8,913;4,424;4,489;82.0;91.5;72.6;18.9;9,208;4,671;4,537;89.8;95.2;84.2;11.1
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2068;tasa de alfabetismo;45;Provincia;Chuquisaca;Oropeza;;60 o más ;4,949;2,291;2,658;10.0;16.5;4.3;12.3;6,265;2,879;3,386;50.1;62.1;39.8;22.4;7,172;3,424;3,748;55.4;75.0;37.5;37.5
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2069;tasa de alfabetismo;46;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;136,652;63,554;73,098;87.9;93.0;83.5;9.6;179,731;83,766;95,965;94.8;97.3;92.5;4.8;220,153;103,787;116,366;95.7;98.1;93.5;4.6
