cuadro;no;nivel;departamento;provincio;municipio_tioc;area;2001_total_poblacion;2001_total_hombres;2001_total_mujeres;2001_ninguno_total;2001_ninguno_hombres;2001_ninguno_mujeres;2001_primaria_total;2001_primaria_hombres;2001_primaria_mujeres;2001_secundaria_total;2001_secundaria_hombres;2001_secundaria_mujeres;2001_superior_total;2001_superior_hombres;2001_superior_mujeres;2001_otros_total;2001_otros_hombres;2001_otros_mujeres;2012_poblacion_total;2012_poblacion_hombres;2012_poblacion_mujeres;2012_ninguno_total;2012_ninguno_hombres;2012_ninguno_mujeres;2012_primaria_total;2012_primaria_hombres;2012_primaria_mujeres;2012_secundaria_total;2012_secundaria_hombres;2012_secundaria_mujeres;2012_superior_total;2012_superior_hombres;2012_superior_mujeres;2012_otros_total;2012_otros_hombres;2012_otros_mujeres;2024_poblacion_total;2024_poblacion_hombres;2024_poblacion_mujeres;2024_ninguno_total;2024_ninguno_hombres;2024_ninguno_mujeres;2024_primaria_total;2024_primaria_hombres;2024_primaria_mujeres;2024_secundaria_total;2024_secundaria_hombres;2024_secundaria_mujeres;2024_superior_total;2024_superior_hombres;2024_superior_mujeres
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2043;20;Provincia;Chuquisaca;Azurduy;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2044;21;Provincia;Chuquisaca;Azurduy;;Rural;12,246;5,873;6,373;6,227;2,051;4,176;5,077;3,250;1,827;570;364;206;366;204;162;6;4;2;12,625;6,301;6,324;4,198;1,279;2,919;5,675;3,455;2,220;1,706;999;707;1,032;560;472;14;8;6;14,888;7,414;7,474;3,504;1,162;2,342;5,677;3,262;2,415;3,806;2,061;1,745;1,901;929;972
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2045;22;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Azurduy;5,198;2,442;2,756;2,473;787;1,686;2,261;1,394;867;260;158;102;199;99;100;5;4;1;5,379;2,691;2,688;1,651;506;1,145;2,497;1,489;1,008;745;434;311;478;258;220;8;4;4;4,622;2,333;2,289;999;295;704;2,163;1,242;921;814;481;333;646;315;331
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2046;23;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2047;24;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Rural;5,198;2,442;2,756;2,473;787;1,686;2,261;1,394;867;260;158;102;199;99;100;5;4;1;5,379;2,691;2,688;1,651;506;1,145;2,497;1,489;1,008;745;434;311;478;258;220;8;4;4;4,622;2,333;2,289;999;295;704;2,163;1,242;921;814;481;333;646;315;331
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2048;25;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Tarvita;7,048;3,431;3,617;3,754;1,264;2,490;2,816;1,856;960;310;206;104;167;105;62;1;0;1;7,246;3,610;3,636;2,547;773;1,774;3,178;1,966;1,212;961;565;396;554;302;252;6;4;2;10,266;5,081;5,185;2,505;867;1,638;3,514;2,020;1,494;2,992;1,580;1,412;1,255;614;641
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2049;26;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2050;27;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Rural;7,048;3,431;3,617;3,754;1,264;2,490;2,816;1,856;960;310;206;104;167;105;62;1;0;1;7,246;3,610;3,636;2,547;773;1,774;3,178;1,966;1,212;961;565;396;554;302;252;6;4;2;10,266;5,081;5,185;2,505;867;1,638;3,514;2,020;1,494;2,992;1,580;1,412;1,255;614;641
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2051;28;Provincia;Chuquisaca;Zud ¤ez;;Zud ¤ez;15,155;7,278;7,877;7,537;2,756;4,781;6,226;3,709;2,517;778;498;280;602;307;295;12;8;4;22,075;10,977;11,098;6,332;2,335;3,997;9,078;5,051;4,027;4,401;2,395;2,006;2,211;1,163;1,048;53;33;20;28,661;14,795;13,866;4,890;1,737;3,153;10,745;5,891;4,854;8,962;5,082;3,880;4,064;2,085;1,979
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2052;29;Provincia;Chuquisaca;Zud ¤ez;;Urbana;;;;;;;;;;;;;;;;;;;4,340;2,150;2,190;611;221;390;1,201;631;570;1,390;728;662;1,118;558;560;20;12;8;6,179;3,020;3,159;678;200;478;1,785;874;911;1,892;1,040;852;1,824;906;918
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2053;30;Provincia;Chuquisaca;Zud ¤ez;;Rural;15,155;7,278;7,877;7,537;2,756;4,781;6,226;3,709;2,517;778;498;280;602;307;295;12;8;4;17,735;8,827;8,908;5,721;2,114;3,607;7,877;4,420;3,457;3,011;1,667;1,344;1,093;605;488;33;21;12;22,482;11,775;10,707;4,212;1,537;2,675;8,960;5,017;3,943;7,070;4,042;3,028;2,240;1,179;1,061
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2054;31;Municipio/TIOC;Chuquisaca;Zud ¤ez;Zud ¤ez;Zud ¤ez;3,616;1,770;1,846;1,571;550;1,021;1,609;970;639;238;149;89;190;95;95;8;6;2;6,884;3,498;3,386;1,371;449;922;3,008;1,685;1,323;1,514;846;668;969;503;466;22;15;7;9,140;4,811;4,329;1,040;369;671;3,788;2,038;1,750;2,636;1,540;1,096;1,676;864;812
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2055;32;Municipio/TIOC;Chuquisaca;Zud ¤ez;Zud ¤ez;Urbana;;;;;;;;;;;;;;;;;;;2,636;1,325;1,311;307;88;219;725;384;341;855;469;386;736;376;360;13;8;5;3,106;1,558;1,548;271;82;189;867;428;439;921;509;412;1,047;539;508
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2056;33;Municipio/TIOC;Chuquisaca;Zud ¤ez;Zud ¤ez;Rural;3,616;1,770;1,846;1,571;550;1,021;1,609;970;639;238;149;89;190;95;95;8;6;2;4,248;2,173;2,075;1,064;361;703;2,283;1,301;982;659;377;282;233;127;106;9;7;2;6,034;3,253;2,781;769;287;482;2,921;1,610;1,311;1,715;1,031;684;629;325;304
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2057;34;Municipio/TIOC;Chuquisaca;Zud ¤ez;Presto;Presto;4,213;2,019;2,194;2,629;1,083;1,546;1,397;835;562;92;50;42;95;51;44;0;0;0;6,818;3,392;3,426;2,384;1,012;1,372;2,577;1,419;1,158;1,282;672;610;563;281;282;12;8;4;7,706;4,037;3,669;1,919;830;1,089;2,743;1,513;1,230;2,250;1,271;979;794;423;371
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2058;35;Municipio/TIOC;Chuquisaca;Zud ¤ez;Presto;Urbana;;;;;;;;;;;;;;;;;;;1,704;825;879;304;133;171;476;247;229;535;259;276;382;182;200;7;4;3;1,401;679;722;242;90;152;398;209;189;412;212;200;349;168;181
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2059;36;Municipio/TIOC;Chuquisaca;Zud ¤ez;Presto;Rural;4,213;2,019;2,194;2,629;1,083;1,546;1,397;835;562;92;50;42;95;51;44;0;0;0;5,114;2,567;2,547;2,080;879;1,201;2,101;1,172;929;747;413;334;181;99;82;5;4;1;6,305;3,358;2,947;1,677;740;937;2,345;1,304;1,041;1,838;1,059;779;445;255;190
