cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;2001_poblacion_total;2001_poblacion_hombres;2001_poblacion_mujeres;2001_promedio_anhos_estudio_total;2001_promedio_anhos_estudio_hombres;2001_promedio_anhos_estudio_mujeres;2012_poblacion_total;2012_poblacion_hombres;2012_poblacion_mujeres;2012_promedio_anhos_estudio_total;2012_promedio_anhos_estudio_hombres;2012_promedio_anhos_estudio_mujeres;2024_poblacion_total;2024_poblacion_hombres;2024_poblacion_mujeres;2024_promedio_anhos_estudio_total;2024_promedio_anhos_estudio_hombres;2024_promedio_anhos_estudio_mujeres
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2038;15;Pa¡s;;;;60 o m s ;283,487;137,273;146,214;1.3;2.1;0.6;363,765;177,928;185,837;2.8;3.8;2.0;454,806;228,908;225,898;3.8;5.2;2.5
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2039;16;Departamento;Chuquisaca;;;Chuquisaca;263,623;124,685;138,938;5.8;6.4;5.2;329,651;158,643;171,008;7.7;8.1;7.2;394,559;192,254;202,305;9.6;9.9;9.3
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2040;17;Departamento;Chuquisaca;;;19 a 24 ;55,768;26,947;28,821;8.4;8.8;8.1;64,343;32,247;32,096;10.6;10.6;10.6;67,822;34,016;33,806;12.1;11.9;12.2
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2041;18;Departamento;Chuquisaca;;;25 a 39 ;89,594;42,605;46,989;7.0;7.6;6.5;112,278;55,038;57,240;9.0;9.4;8.7;134,450;66,987;67,463;11.7;11.7;11.8
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2042;19;Departamento;Chuquisaca;;;40 a 59 ;75,121;35,880;39,241;4.5;5.2;3.8;93,569;44,862;48,707;6.4;7.0;5.9;117,408;56,979;60,429;8.6;9.0;8.2
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2043;20;Departamento;Chuquisaca;;;60 o m s ;43,140;19,253;23,887;2.1;2.6;1.7;59,461;26,496;32,965;3.9;4.5;3.4;74,879;34,272;40,607;5.2;6.0;4.5
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2044;21;Departamento;Chuquisaca;;;Urbana;117,682;54,295;63,387;9.5;10.2;8.9;168,088;77,700;90,388;10.5;11.1;10.1;222,674;104,367;118,307;12.0;12.4;11.7
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2045;22;Departamento;Chuquisaca;;;19 a 24 ;32,505;15,713;16,792;11.0;11.2;10.8;40,324;19,475;20,849;12.1;12.1;12.1;42,457;20,916;21,541;13.1;12.9;13.3
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2046;23;Departamento;Chuquisaca;;;25 a 39 ;42,132;19,541;22,591;10.5;11.1;9.9;62,401;29,608;32,793;11.5;11.9;11.1;83,057;40,021;43,036;13.3;13.3;13.3
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2047;24;Departamento;Chuquisaca;;;40 a 59 ;29,022;13,285;15,737;8.6;9.5;7.8;42,212;19,046;23,166;9.7;10.4;9.1;63,104;28,897;34,207;11.4;12.0;10.9
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2048;25;Departamento;Chuquisaca;;;60 o m s ;14,023;5,756;8,267;5.2;6.5;4.3;23,151;9,571;13,580;6.9;8.1;6.0;34,056;14,533;19,523;8.6;9.8;7.7
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2049;26;Departamento;Chuquisaca;;;Rural;145,941;70,390;75,551;2.8;3.4;2.1;161,563;80,943;80,620;4.7;5.3;4.1;171,885;87,887;83,998;6.5;7.0;6.0
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2050;27;Departamento;Chuquisaca;;;19 a 24 ;23,263;11,234;12,029;4.8;5.4;4.3;24,019;12,772;11,247;8.1;8.3;7.9;25,365;13,100;12,265;10.3;10.3;10.3
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2051;28;Departamento;Chuquisaca;;;25 a 39 ;47,462;23,064;24,398;4.0;4.7;3.3;49,877;25,430;24,447;6.0;6.5;5.5;51,393;26,966;24,427;9.2;9.3;9.1
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2052;29;Departamento;Chuquisaca;;;40 a 59 ;46,099;22,595;23,504;1.9;2.7;1.1;51,357;25,816;25,541;3.7;4.4;3.0;54,304;28,082;26,222;5.3;5.9;4.6
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2053;30;Departamento;Chuquisaca;;;60 o m s ;29,117;13,497;15,620;0.6;0.9;0.3;36,310;16,925;19,385;2.0;2.5;1.6;40,823;19,739;21,084;2.3;3.2;1.5
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2054;31;Provincia;Chuquisaca;Oropeza;;Oropeza;128,876;59,916;68,960;8.5;9.1;7.9;169,773;78,990;90,783;9.9;10.4;9.5;211,473;99,431;112,042;11.6;12.0;11.3
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2055;32;Provincia;Chuquisaca;Oropeza;;19 a 24 ;33,820;16,355;17,465;10.5;10.7;10.2;39,452;19,104;20,348;11.9;11.9;11.9;39,545;19,420;20,125;13.0;12.8;13.2
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2056;33;Provincia;Chuquisaca;Oropeza;;25 a 39 ;44,848;20,993;23,855;9.6;10.1;9.1;61,132;29,160;31,972;11.0;11.4;10.6;77,021;37,259;39,762;13.2;13.2;13.1
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2057;34;Provincia;Chuquisaca;Oropeza;;40 a 59 ;33,178;15,326;17,852;7.2;8.0;6.6;44,017;20,052;23,965;8.9;9.5;8.3;60,372;27,821;32,551;10.9;11.4;10.5
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2058;35;Provincia;Chuquisaca;Oropeza;;60 o m s ;17,030;7,242;9,788;4.1;5.0;3.5;25,172;10,674;14,498;6.1;7.1;5.4;34,535;14,931;19,604;7.9;9.0;7.1
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2059;36;Provincia;Chuquisaca;Oropeza;;Urbana;105,711;48,724;56,987;9.8;10.5;9.2;142,693;65,668;77,025;10.9;11.5;10.4;183,374;85,291;98,083;12.4;12.8;12.1
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2060;37;Provincia;Chuquisaca;Oropeza;;19 a 24 ;30,269;14,619;15,650;11.1;11.3;10.9;35,648;17,116;18,532;12.3;12.2;12.3;35,885;17,552;18,333;13.2;13.0;13.4
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2061;38;Provincia;Chuquisaca;Oropeza;;25 a 39 ;37,836;17,554;20,282;10.6;11.2;10.1;53,040;25,129;27,911;11.7;12.1;11.4;69,133;33,153;35,980;13.5;13.6;13.5
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2062;39;Provincia;Chuquisaca;Oropeza;;40 a 59 ;25,517;11,595;13,922;8.9;9.7;8.1;35,102;15,628;19,474;10.2;10.9;9.6;51,119;23,137;27,982;11.9;12.5;11.4
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2063;40;Provincia;Chuquisaca;Oropeza;;60 o m s ;12,089;4,956;7,133;5.6;7.0;4.7;18,903;7,795;11,108;7.4;8.7;6.6;27,237;11,449;15,788;9.3;10.6;8.4
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2064;41;Provincia;Chuquisaca;Oropeza;;Rural;23,165;11,192;11,973;2.6;3.3;2.0;27,080;13,322;13,758;4.8;5.5;4.2;28,099;14,140;13,959;6.6;7.3;5.9
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2065;42;Provincia;Chuquisaca;Oropeza;;19 a 24 ;3,551;1,736;1,815;4.9;5.6;4.3;3,804;1,988;1,816;8.7;9.0;8.3;3,660;1,868;1,792;11.0;11.0;10.9
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2066;43;Provincia;Chuquisaca;Oropeza;;25 a 39 ;7,012;3,439;3,573;3.9;4.6;3.3;8,092;4,031;4,061;6.1;6.7;5.4;7,888;4,106;3,782;9.8;10.1;9.4
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2067;44;Provincia;Chuquisaca;Oropeza;;40 a 59 ;7,661;3,731;3,930;1.8;2.7;1.0;8,915;4,424;4,491;3.8;4.6;3.1;9,253;4,684;4,569;5.4;6.2;4.6
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2068;45;Provincia;Chuquisaca;Oropeza;;60 o m s ;4,941;2,286;2,655;0.4;0.6;0.2;6,269;2,879;3,390;2.3;2.7;1.8;7,298;3,482;3,816;2.6;3.6;1.6
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2069;46;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;115,915;53,666;62,249;9.2;9.8;8.6;155,587;72,021;83,566;10.4;10.9;10.0;197,051;92,186;104,865;12.0;12.4;11.7
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2070;47;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;19 a 24 ;31,811;15,390;16,421;10.8;11.0;10.6;37,519;18,088;19,431;12.1;12.1;12.1;37,582;18,427;19,155;13.1;12.9;13.4
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2071;48;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;25 a 39 ;40,927;19,103;21,824;10.1;10.7;9.6;56,867;27,054;29,813;11.4;11.8;11.0;73,082;35,225;37,857;13.3;13.4;13.3
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2072;49;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;40 a 59 ;28,940;13,247;15,693;8.1;8.9;7.3;39,356;17,729;21,627;9.5;10.2;8.9;55,765;25,486;30,279;11.4;11.9;10.9
