cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;2001_poblacion_total;2001_poblacion_hombres;2001_poblacion_mujeres;2001_tasa_asistencia_total;2001_tasa_asistencia_hombres;2001_tasa_asistencia_mujeres;2012_poblacion_total;2012_poblacion_hombres;2012_poblacion_mujeres;2012_tasa_asistencia_total;2012_tasa_asistencia_hombres;2012_tasa_asistencia_mujeres;2024_poblacion_total;2024_poblacion_hombres;2024_poblacion_mujeres;2024_tasa_asistencia_total;2024_tasa_asistencia_hombres;2024_tasa_asistencia_mujeres;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2034;11;País;;;;6 a 11 ;518,886;268,237;250,649;89.2;89.5;88.8;417,929;213,977;203,952;95.0;94.9;95.2;419,796;216,239;203,557;96.6;96.5;96.6;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2035;12;País;;;;12 a 17 ;407,682;215,950;191,732;68.4;72.2;64.3;445,693;233,711;211,982;82.4;83.3;81.4;385,475;200,823;184,652;87.3;87.1;87.6;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2036;13;Departamento;Chuquisaca;;;Chuquisaca;191,353;97,253;94,100;72.1;73.3;70.8;178,094;89,943;88,151;83.2;83.0;83.4;156,467;79,331;77,136;92.6;92.3;92.8;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2037;14;Departamento;Chuquisaca;;;4 a 5 ;30,251;15,479;14,772;32.9;32.6;33.2;22,810;11,454;11,356;46.6;45.7;47.5;19,275;9,647;9,628;84.9;85.1;84.8;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2038;15;Departamento;Chuquisaca;;;6 a 11 ;87,631;44,594;43,037;88.7;89.0;88.3;74,546;37,732;36,814;94.2;94.2;94.2;67,978;34,518;33,460;98.1;98.1;98.1;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2039;16;Departamento;Chuquisaca;;;12 a 17 ;73,471;37,180;36,291;68.4;71.5;65.3;80,738;40,757;39,981;83.4;83.2;83.6;69,214;35,166;34,048;89.3;88.7;89.9;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2040;17;Departamento;Chuquisaca;;;Urbana;72,658;35,772;36,886;85.1;86.1;84.1;80,280;39,884;40,396;90.0;89.4;90.6;85,579;43,004;42,575;97.3;97.1;97.5;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2041;18;Departamento;Chuquisaca;;;4 a 5 ;10,269;5,246;5,023;56.5;55.4;57.6;10,228;5,174;5,054;58.7;57.2;60.2;10,417;5,186;5,231;92.6;92.7;92.5;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2042;19;Departamento;Chuquisaca;;;6 a 11 ;30,329;15,214;15,115;95.6;95.7;95.4;32,133;16,245;15,888;96.9;96.7;97.1;36,735;18,497;18,238;99.2;99.2;99.2;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2043;20;Departamento;Chuquisaca;;;12 a 17 ;32,060;15,312;16,748;84.4;87.0;81.9;37,919;18,465;19,454;92.6;92.1;93.1;38,427;19,321;19,106;96.8;96.3;97.2;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2044;21;Departamento;Chuquisaca;;;Rural;118,695;61,481;57,214;64.1;65.9;62.2;97,814;50,059;47,755;77.6;77.9;77.3;70,888;36,327;34,561;86.9;86.7;87.0;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2045;22;Departamento;Chuquisaca;;;4 a 5 ;19,982;10,233;9,749;20.8;20.9;20.6;12,582;6,280;6,302;36.8;36.2;37.4;8,858;4,461;4,397;75.9;76.1;75.7;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2046;23;Departamento;Chuquisaca;;;6 a 11 ;57,302;29,380;27,922;85.0;85.5;84.5;42,413;21,487;20,926;92.1;92.3;92.0;31,243;16,021;15,222;96.8;96.9;96.8;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2047;24;Departamento;Chuquisaca;;;12 a 17 ;41,411;21,868;19,543;56.1;60.6;51.1;42,819;22,292;20,527;75.2;75.8;74.6;30,787;15,845;14,942;79.9;79.4;80.4;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2048;25;Provincia;Chuquisaca;Oropeza;;Oropeza;80,748;40,211;40,537;81.6;82.9;80.3;82,223;41,105;41,118;88.8;88.6;89.0;81,281;40,952;40,329;96.8;96.6;97.0;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2049;26;Provincia;Chuquisaca;Oropeza;;4 a 5 ;11,903;6,035;5,868;48.5;47.8;49.2;10,506;5,301;5,205;55.6;55.1;56.2;9,840;4,916;4,924;92.1;92.2;92.1;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2050;27;Provincia;Chuquisaca;Oropeza;;6 a 11 ;34,725;17,529;17,196;93.9;94.3;93.4;33,332;16,864;16,468;96.2;96.2;96.2;35,062;17,661;17,401;99.1;99.1;99.1;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2051;28;Provincia;Chuquisaca;Oropeza;;12 a 17 ;34,120;16,647;17,473;80.7;83.7;77.9;38,385;18,940;19,445;91.5;91.3;91.6;36,379;18,375;18,004;95.9;95.5;96.3;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2052;29;Provincia;Chuquisaca;Oropeza;;Urbana;63,325;31,217;32,108;85.2;86.2;84.2;66,672;33,151;33,521;90.4;90.0;90.8;69,779;35,041;34,738;97.8;97.6;98.0;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2053;30;Provincia;Chuquisaca;Oropeza;;4 a 5 ;9,106;4,661;4,445;56.2;54.9;57.6;8,513;4,311;4,202;59.1;58.2;59.9;8,432;4,213;4,219;93.8;93.9;93.7;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2054;31;Provincia;Chuquisaca;Oropeza;;6 a 11 ;26,445;13,312;13,133;95.8;96.0;95.6;26,741;13,514;13,227;97.1;96.9;97.2;29,976;15,071;14,905;99.3;99.3;99.4;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2055;32;Provincia;Chuquisaca;Oropeza;;12 a 17 ;27,774;13,244;14,530;84.6;87.4;82.0;31,418;15,326;16,092;93.2;92.8;93.6;31,371;15,757;15,614;97.3;96.9;97.8;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2056;33;Provincia;Chuquisaca;Oropeza;;Rural;17,423;8,994;8,429;68.7;71.6;65.5;15,551;7,954;7,597;82.0;83.1;80.8;11,502;5,911;5,591;91.1;91.2;91.0;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2057;34;Provincia;Chuquisaca;Oropeza;;4 a 5 ;2,797;1,374;1,423;23.3;23.8;22.9;1,993;990;1,003;40.9;41.3;40.6;1,408;703;705;82.0;81.9;82.1;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2058;35;Provincia;Chuquisaca;Oropeza;;6 a 11 ;8,280;4,217;4,063;87.7;88.9;86.5;6,591;3,350;3,241;92.7;93.1;92.2;5,086;2,590;2,496;97.7;97.9;97.5;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2059;36;Provincia;Chuquisaca;Oropeza;;12 a 17 ;6,346;3,403;2,943;63.8;69.4;57.3;6,967;3,614;3,353;83.6;85.2;81.8;5,008;2,618;2,390;86.9;87.0;86.7;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2060;37;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;71,215;35,293;35,922;83.4;84.6;82.3;73,748;36,787;36,961;89.8;89.5;90.2;75,004;37,708;37,296;97.5;97.3;97.7;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2061;38;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;4 a 5 ;10,345;5,251;5,094;52.1;51.3;52.9;9,372;4,751;4,621;57.8;57.1;58.5;9,097;4,555;4,542;93.3;93.3;93.4;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2062;39;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;6 a 11 ;30,233;15,250;14,983;94.9;95.2;94.7;29,691;15,026;14,665;96.8;96.7;96.9;32,313;16,235;16,078;99.2;99.2;99.3;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2063;40;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;12 a 17 ;30,637;14,792;15,845;82.7;85.5;80.0;34,685;17,010;17,675;92.5;92.2;92.8;33,594;16,918;16,676;97.0;96.6;97.4;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2064;41;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Urbana;63,325;31,217;32,108;85.2;86.2;84.2;66,672;33,151;33,521;90.4;90.0;90.8;69,779;35,041;34,738;97.8;97.6;98.0;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2065;42;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;4 a 5 ;9,106;4,661;4,445;56.2;54.9;57.6;8,513;4,311;4,202;59.1;58.2;59.9;8,432;4,213;4,219;93.8;93.9;93.7;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2066;43;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;6 a 11 ;26,445;13,312;13,133;95.8;96.0;95.6;26,741;13,514;13,227;97.1;96.9;97.2;29,976;15,071;14,905;99.3;99.3;99.4;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2067;44;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;12 a 17 ;27,774;13,244;14,530;84.6;87.4;82.0;31,418;15,326;16,092;93.2;92.8;93.6;31,371;15,757;15,614;97.3;96.9;97.8;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2068;45;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Rural;7,890;4,076;3,814;69.3;72.1;66.4;7,076;3,636;3,440;84.4;85.0;83.8;5,225;2,667;2,558;94.4;94.2;94.7;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2069;46;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;4 a 5 ;1,239;590;649;21.4;22.4;20.5;859;440;419;45.1;45.9;44.2;665;342;323;87.4;86.0;88.9;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2070;47;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;6 a 11 ;3,788;1,938;1,850;89.0;89.6;88.3;2,950;1,512;1,438;94.3;94.4;94.3;2,337;1,164;1,173;98.5;98.4;98.6;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2071;48;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;12 a 17 ;2,863;1,548;1,315;64.0;69.1;58.1;3,267;1,684;1,583;85.7;86.7;84.7;2,223;1,161;1,062;92.3;92.4;92.2;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2072;49;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;3,737;1,927;1,810;80.0;80.9;79.0;2,922;1,521;1,401;90.1;89.6;90.6;2,275;1,198;1,077;97.1;96.5;97.7;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2073;50;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;4 a 5 ;547;280;267;45.5;42.1;49.1;339;175;164;61.1;61.7;60.4;278;131;147;94.2;93.1;95.2;;;
