cuadro;no;nivel;departamento;provincia;municipio_tioc;area;numero_de_personas_2001_total;numero_de_personas_2001_tiene;numero_de_personas_2001_no_tiene;numero_de_personas_2012_total;numero_de_personas_2012_tiene;numero_de_personas_2012_no_tiene;numero_de_personas_2024_total;numero_de_personas_2024_tiene;numero_de_personas_2024_no_tiene
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2036;13;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;9,200;7,010;2,190;9,084;7,080;2,004;8,980;7,908;1,072
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2037;14;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Urbana;;;;;;;;;
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2038;15;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Rural;9,200;7,010;2,190;9,084;7,080;2,004;8,980;7,908;1,072
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2039;16;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Poroma;16,845;3,444;13,401;16,315;6,719;9,596;13,607;8,942;4,665
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2040;17;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Urbana;;;;;;;;;
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2041;18;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Rural;16,845;3,444;13,401;16,315;6,719;9,596;13,607;8,942;4,665
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2042;19;Provincia;Chuquisaca;Azurduy;;Azurduy;27,193;4,071;23,122;24,466;12,301;12,165;24,554;18,773;5,781
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2043;20;Provincia;Chuquisaca;Azurduy;;Urbana;;;;;;;;;
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2044;21;Provincia;Chuquisaca;Azurduy;;Rural;27,193;4,071;23,122;24,466;12,301;12,165;24,554;18,773;5,781
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2045;22;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Azurduy;11,192;1,768;9,424;10,369;4,497;5,872;7,839;5,493;2,346
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2046;23;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Urbana;;;;;;;;;
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2047;24;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Rural;11,192;1,768;9,424;10,369;4,497;5,872;7,839;5,493;2,346
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2048;25;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Tarvita;16,001;2,303;13,698;14,097;7,804;6,293;16,715;13,280;3,435
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2049;26;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Urbana;;;;;;;;;
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2050;27;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Rural;16,001;2,303;13,698;14,097;7,804;6,293;16,715;13,280;3,435
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2051;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;32,035;13,896;18,139;38,346;25,585;12,761;44,186;37,871;6,315
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2052;29;Provincia;Chuquisaca;Zudáñez;;Urbana;;;;6,301;6,092;209;9,567;9,468;99
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2053;30;Provincia;Chuquisaca;Zudáñez;;Rural;32,035;13,896;18,139;32,045;19,493;12,552;34,619;28,403;6,216
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2054;31;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;7,265;3,439;3,826;10,968;8,584;2,384;13,563;11,815;1,748
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2055;32;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Urbana;;;;3,837;3,717;120;4,660;4,630;30
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2056;33;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Rural;7,265;3,439;3,826;7,131;4,867;2,264;8,903;7,185;1,718
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2057;34;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Presto;8,853;2,588;6,265;11,837;7,292;4,545;12,477;10,241;2,236
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2058;35;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Urbana;;;;2,464;2,375;89;2,199;2,171;28
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2059;36;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Rural;8,853;2,588;6,265;9,373;4,917;4,456;10,278;8,070;2,208
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2060;37;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;7,801;2,050;5,751;7,938;3,755;4,183;9,020;7,870;1,150
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2061;38;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Urbana;;;;;;;2,708;2,667;41
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2062;39;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Rural;7,801;2,050;5,751;7,938;3,755;4,183;6,312;5,203;1,109
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2063;40;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Icla;8,116;5,819;2,297;7,603;5,954;1,649;9,126;7,945;1,181
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2064;41;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Urbana;;;;;;;;;
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2065;42;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Rural;8,116;5,819;2,297;7,603;5,954;1,649;9,126;7,945;1,181
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2066;43;Provincia;Chuquisaca;Tomina;;Tomina;36,575;15,662;20,913;34,737;25,122;9,615;33,800;29,369;4,431
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2067;44;Provincia;Chuquisaca;Tomina;;Urbana;2,563;2,513;50;5,209;5,142;67;6,090;6,006;84
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2068;45;Provincia;Chuquisaca;Tomina;;Rural;34,012;13,149;20,863;29,528;19,980;9,548;27,710;23,363;4,347
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2069;46;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Padilla;12,208;5,558;6,650;10,099;6,540;3,559;9,058;8,034;1,024
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2070;47;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Urbana;2,563;2,513;50;3,180;3,174;6;4,112;4,038;74
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2071;48;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Rural;9,645;3,045;6,600;6,919;3,366;3,553;4,946;3,996;950
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2072;49;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Tomina;8,769;4,698;4,071;8,326;7,179;1,147;8,446;7,693;753
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2073;50;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Urbana;;;;;;;1,978;1,968;10
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2074;51;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Rural;8,769;4,698;4,071;8,326;7,179;1,147;6,468;5,725;743
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2075;52;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Sopachuy;7,086;2,059;5,027;7,170;4,577;2,593;6,901;5,327;1,574
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2076;53;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Urbana;;;;2,029;1,968;61;;;
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2077;54;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Rural;7,086;2,059;5,027;5,141;2,609;2,532;6,901;5,327;1,574
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2078;55;Municipio/TIOC;Chuquisaca;Tomina;Alcalá;Alcalá;3,997;2,065;1,932;4,834;4,118;716;3,756;3,522;234
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2079;56;Municipio/TIOC;Chuquisaca;Tomina;Alcalá;Urbana;;;;;;;;;
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2080;57;Municipio/TIOC;Chuquisaca;Tomina;Alcalá;Rural;3,997;2,065;1,932;4,834;4,118;716;3,756;3,522;234
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2081;58;Municipio/TIOC;Chuquisaca;Tomina;El Villar;El Villar;4,515;1,282;3,233;4,308;2,708;1,600;5,639;4,793;846
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2082;59;Municipio/TIOC;Chuquisaca;Tomina;El Villar;Urbana;;;;;;;;;
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2083;60;Municipio/TIOC;Chuquisaca;Tomina;El Villar;Rural;4,515;1,282;3,233;4,308;2,708;1,600;5,639;4,793;846
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2084;61;Provincia;Chuquisaca;Hernando Siles;;Hernando Siles;35,395;16,002;19,393;31,348;23,512;7,836;31,231;27,732;3,499
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2085;62;Provincia;Chuquisaca;Hernando Siles;;Urbana;6,876;6,697;179;10,728;10,646;82;12,740;12,602;138
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2086;63;Provincia;Chuquisaca;Hernando Siles;;Rural;28,519;9,305;19,214;20,620;12,866;7,754;18,491;15,130;3,361
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2087;64;Municipio/TIOC;Chuquisaca;Hernando Siles;Monteagudo;Monteagudo;25,692;13,389;12,303;23,316;18,371;4,945;24,168;21,558;2,610
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2088;65;Municipio/TIOC;Chuquisaca;Hernando Siles;Monteagudo;Urbana;6,876;6,697;179;10,728;10,646;82;12,740;12,602;138
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2089;66;Municipio/TIOC;Chuquisaca;Hernando Siles;Monteagudo;Rural;18,816;6,692;12,124;12,588;7,725;4,863;11,428;8,956;2,472
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2090;67;Municipio/TIOC;Chuquisaca;Hernando Siles;Huacareta;Huacareta;9,703;2,613;7,090;8,032;5,141;2,891;7,063;6,174;889
