cuadro;no;nivel;departamento;provincia;municipio_tioc;area;numero_de_viviendas_2001_total;numero_de_viviendas_2001_lenha;numero_de_viviendas_2001_guano,_bosta,_taquia;numero_de_viviendas_2001_kerosen;numero_de_viviendas_2001_gas;numero_de_viviendas_2001_electricidad;numero_de_viviendas_2001_otro;numero_de_viviendas_2001_no_utiliza;numero_de_viviendas_2012_total;numero_de_viviendas_2012_lenha;numero_de_viviendas_2012_guano,_bosta,_taquia;numero_de_viviendas_2012_energia_solar;numero_de_viviendas_2012_gas_domiciliario_-por_canheria-;numero_de_viviendas_2012_gas_en_garrafa;numero_de_viviendas_2012_electricidad;numero_de_viviendas_2012_otro;numero_de_viviendas_2012_no_cocina;numero_de_viviendas_2024_total;numero_de_viviendas_2024_lenha;numero_de_viviendas_2024_guano,_bosta,_taquia;numero_de_viviendas_2024_energia_solar;numero_de_viviendas_2024_gas_domiciliario_-por_canheria-;numero_de_viviendas_2024_gas_en_garrafa;numero_de_viviendas_2024_electricidad;numero_de_viviendas_2024_otro;numero_de_viviendas_2024_no_cocina
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2051;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;7,130;6,322;2;54;718;1;7;26;9,116;6,658;12;3;15;2,322;20;7;79;11,636;7,038;39;3;444;3,961;20;2;129
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2052;29;Provincia;Chuquisaca;Zudáñez;;Urbana;;;;;;;;;1,385;305;1;1;12;1,036;2;2;26;2,686;174;0;0;272;2,184;10;0;46
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2053;30;Provincia;Chuquisaca;Zudáñez;;Rural;7,130;6,322;2;54;718;1;7;26;7,731;6,353;11;2;3;1,286;18;5;53;8,950;6,864;39;3;172;1,777;10;2;83
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2054;31;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;1,698;1,367;0;44;275;1;0;11;2,586;1,784;8;1;0;749;20;1;23;3,187;1,866;9;0;23;1,231;10;0;48
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2055;32;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Urbana;;;;;;;;;825;142;0;0;0;664;2;0;17;1,220;80;0;0;8;1,098;6;0;28
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2056;33;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Rural;1,698;1,367;0;44;275;1;0;11;1,761;1,642;8;1;0;85;18;1;6;1,967;1,786;9;0;15;133;4;0;20
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2057;34;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Presto;1,958;1,852;0;4;90;0;2;10;2,717;2,167;3;1;15;499;0;5;27;3,271;2,180;10;0;268;790;5;2;16
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2058;35;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Urbana;;;;;;;;;560;163;1;1;12;372;0;2;9;609;65;0;0;261;273;3;0;7
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2059;36;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Rural;1,958;1,852;0;4;90;0;2;10;2,157;2,004;2;0;3;127;0;3;18;2,662;2,115;10;0;7;517;2;2;9
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2060;37;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;1,795;1,528;1;0;258;0;4;4;1,982;1,243;0;1;0;725;0;1;12;2,543;1,163;8;1;8;1,344;4;0;15
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2061;38;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Urbana;;;;;;;;;;;;;;;;;;857;29;0;0;3;813;1;0;11
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2062;39;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Rural;1,795;1,528;1;0;258;0;4;4;1,982;1,243;0;1;0;725;0;1;12;1,686;1,134;8;1;5;531;3;0;4
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2063;40;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Icla;1,679;1,575;1;6;95;0;1;1;1,831;1,464;1;0;0;349;0;0;17;2,635;1,829;12;2;145;596;1;0;50
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2064;41;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2065;42;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Rural;1,679;1,575;1;6;95;0;1;1;1,831;1,464;1;0;0;349;0;0;17;2,635;1,829;12;2;145;596;1;0;50
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2066;43;Provincia;Chuquisaca;Tomina;;Tomina;7,912;7,044;1;7;830;1;4;25;9,217;6,483;3;14;0;2,587;17;10;103;10,144;5,970;21;0;551;3,481;14;3;104
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2067;44;Provincia;Chuquisaca;Tomina;;Urbana;669;216;0;2;436;0;0;15;1,590;203;0;0;0;1,331;8;7;41;2,053;124;0;0;6;1,873;8;1;41
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2068;45;Provincia;Chuquisaca;Tomina;;Rural;7,243;6,828;1;5;394;1;4;10;7,627;6,280;3;14;0;1,256;9;3;62;8,091;5,846;21;0;545;1,608;6;2;63
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2069;46;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Padilla;2,750;2,239;0;2;489;0;3;17;2,810;1,766;3;12;0;988;5;1;35;3,186;1,521;5;0;5;1,605;5;1;44
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2070;47;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Urbana;669;216;0;2;436;0;0;15;986;69;0;0;0;883;3;1;30;1,489;62;0;0;2;1,385;4;1;35
