cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_edad;area_;2012_numero_total;2012_numero_hombre;2012_numero_mujer;2012_porcentaje_total;2012_porcentaje_hombre;2012_porcentaje_mujer;2024_numero_total;2024_numero_hombre;2024_numero_mujer;2024_numero_sin_especificar;2024_porcentaje_total;2024_porcentaje_hombre;2024_porcentaje_mujer;2024_porcentaje_sin_especificar
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2034;11;País;;;;60 o más;Urbana;4728;2032;2696;1.6;1.4;1.7;4878;2019;2854;5;2.2;1.9;2.6;2
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2035;12;País;;;;Sin especificar;Urbana;7928;3531;4397;2.6;2.5;2.8;8708;4020;4638;50;4;3.7;4.1;19.5
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2036;13;País;;;;Rural;Rural;135660;71665;63995;100;100;100;109452;58003;51204;245;100;100;100;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2037;14;País;;;;0 a 17;Rural;21521;10667;10854;15.9;14.9;17;14475;7332;7091;52;13.2;12.6;13.8;21.2
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2038;15;País;;;;18 a 29;Rural;86288;45959;40329;63.6;64.1;63;65464;34699;30638;127;59.8;59.8;59.8;51.8
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2039;16;País;;;;30 a 59;Rural;23407;12769;10638;17.3;17.8;16.6;25022;13721;11264;37;22.9;23.7;22;15.1
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2040;17;País;;;;60 o más;Rural;1506;739;767;1.1;1;1.2;1119;536;581;2;1;0.9;1.1;0.8
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2041;18;País;;;;Sin especificar;Rural;2938;1531;1407;2.2;2.1;2.2;3372;1715;1630;27;3.1;3;3.2;11
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2042;19;Departamento;Chuquisaca;;;Chuquisaca;Chuquisaca;28394;14555;13839;100;100;100;25134;13160;11919;55;100;100;100;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2043;20;Departamento;Chuquisaca;;;0 a 17;Chuquisaca;4513;2327;2186;15.9;16;15.8;3013;1562;1440;11;12;11.9;12.1;20
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2044;21;Departamento;Chuquisaca;;;18 a 29;Chuquisaca;16474;8556;7918;58;58.8;57.2;14465;7518;6916;31;57.6;57.1;58;56.4
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2045;22;Departamento;Chuquisaca;;;30 a 59;Chuquisaca;6404;3166;3238;22.6;21.8;23.4;6475;3516;2952;7;25.8;26.7;24.8;12.7
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2046;23;Departamento;Chuquisaca;;;60 o más;Chuquisaca;285;142;143;1;1;1;287;119;168;0;1.1;0.9;1.4;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2047;24;Departamento;Chuquisaca;;;Sin especificar;Chuquisaca;718;364;354;2.5;2.5;2.6;894;445;443;6;3.6;3.4;3.7;10.9
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2048;25;Departamento;Chuquisaca;;;Urbana;Urbana;13331;6540;6791;100;100;100;12391;6345;6031;15;100;100;100;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2049;26;Departamento;Chuquisaca;;;0 a 17;Urbana;1621;837;784;12.2;12.8;11.5;1278;650;625;3;10.3;10.2;10.4;20
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2050;27;Departamento;Chuquisaca;;;18 a 29;Urbana;7317;3654;3663;54.9;55.9;53.9;6734;3420;3304;10;54.3;53.9;54.8;66.7
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2051;28;Departamento;Chuquisaca;;;30 a 59;Urbana;3915;1820;2095;29.4;27.8;30.8;3711;1972;1737;2;29.9;31.1;28.8;13.3
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2052;29;Departamento;Chuquisaca;;;60 o más;Urbana;156;78;78;1.2;1.2;1.1;195;76;119;0;1.6;1.2;2;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2053;30;Departamento;Chuquisaca;;;Sin especificar;Urbana;322;151;171;2.4;2.3;2.5;473;227;246;0;3.8;3.6;4.1;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2054;31;Departamento;Chuquisaca;;;Rural;Rural;15063;8015;7048;100;100;100;12743;6815;5888;40;100;100;100;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2055;32;Departamento;Chuquisaca;;;0 a 17;Rural;2892;1490;1402;19.2;18.6;19.9;1735;912;815;8;13.6;13.4;13.8;20
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2056;33;Departamento;Chuquisaca;;;18 a 29;Rural;9157;4902;4255;60.8;61.2;60.4;7731;4098;3612;21;60.7;60.1;61.3;52.5
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2057;34;Departamento;Chuquisaca;;;30 a 59;Rural;2489;1346;1143;16.5;16.8;16.2;2764;1544;1215;5;21.7;22.7;20.6;12.5
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2058;35;Departamento;Chuquisaca;;;60 o más;Rural;129;64;65;0.9;0.8;0.9;92;43;49;0;0.7;0.6;0.8;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2059;36;Departamento;Chuquisaca;;;Sin especificar;Rural;396;213;183;2.6;2.7;2.6;421;218;197;6;3.3;3.2;3.3;15
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2060;37;Provincia;Chuquisaca;Oropeza;;Oropeza;Oropeza;14522;7204;7318;100;100;100;12958;6643;6296;19;100;100;100;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2061;38;Provincia;Chuquisaca;Oropeza;;0 a 17;Oropeza;1716;874;842;11.8;12.1;11.5;1218;614;600;4;9.4;9.2;9.5;21.1
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2062;39;Provincia;Chuquisaca;Oropeza;;18 a 29;Oropeza;8170;4144;4026;56.3;57.5;55;7184;3660;3514;10;55.4;55.1;55.8;52.6
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2063;40;Provincia;Chuquisaca;Oropeza;;30 a 59;Oropeza;4112;1939;2173;28.3;26.9;29.7;3858;2047;1808;3;29.8;30.8;28.7;15.8
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2064;41;Provincia;Chuquisaca;Oropeza;;60 o más;Oropeza;159;74;85;1.1;1;1.2;182;81;101;0;1.4;1.2;1.6;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2065;42;Provincia;Chuquisaca;Oropeza;;Sin especificar;Oropeza;365;173;192;2.5;2.4;2.6;516;241;273;2;4;3.6;4.3;10.5
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2066;43;Provincia;Chuquisaca;Oropeza;;Urbana;Urbana;11705;5749;5956;100;100;100;10205;5215;4979;11;100;100;100;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2067;44;Provincia;Chuquisaca;Oropeza;;0 a 17;Urbana;1365;704;661;11.7;12.2;11.1;993;503;487;3;9.7;9.6;9.8;27.3
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2068;45;Provincia;Chuquisaca;Oropeza;;18 a 29;Urbana;6372;3199;3173;54.4;55.6;53.3;5515;2795;2714;6;54;53.6;54.5;54.5
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2069;46;Provincia;Chuquisaca;Oropeza;;30 a 59;Urbana;3550;1650;1900;30.3;28.7;31.9;3147;1664;1481;2;30.8;31.9;29.7;18.2
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2070;47;Provincia;Chuquisaca;Oropeza;;60 o más;Urbana;141;67;74;1.2;1.2;1.2;158;67;91;0;1.5;1.3;1.8;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2071;48;Provincia;Chuquisaca;Oropeza;;Sin especificar;Urbana;277;129;148;2.4;2.2;2.5;392;186;206;0;3.8;3.6;4.1;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2072;49;Provincia;Chuquisaca;Oropeza;;Rural;Rural;2817;1455;1362;100;100;100;2753;1428;1317;8;100;100;100;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2073;50;Provincia;Chuquisaca;Oropeza;;0 a 17;Rural;351;170;181;12.5;11.7;13.3;225;111;113;1;8.2;7.8;8.6;12.5
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2074;51;Provincia;Chuquisaca;Oropeza;;18 a 29;Rural;1798;945;853;63.8;64.9;62.6;1669;865;800;4;60.6;60.6;60.7;50
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2075;52;Provincia;Chuquisaca;Oropeza;;30 a 59;Rural;562;289;273;20;19.9;20;711;383;327;1;25.8;26.8;24.8;12.5
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2076;53;Provincia;Chuquisaca;Oropeza;;60 o más;Rural;18;7;11;0.6;0.5;0.8;24;14;10;0;0.9;1;0.8;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2077;54;Provincia;Chuquisaca;Oropeza;;Sin especificar;Rural;88;44;44;3.1;3;3.2;124;55;67;2;4.5;3.9;5.1;25
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2078;55;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;Sucre;13154;6478;6676;100;100;100;11657;5970;5671;16;100;100;100;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2079;56;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;0 a 17;Sucre;1545;785;760;11.7;12.1;11.4;1118;568;546;4;9.6;9.5;9.6;25
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2080;57;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;18 a 29;Sucre;7305;3690;3615;55.5;57;54.1;6418;3270;3139;9;55.1;54.8;55.4;56.3
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2081;58;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;30 a 59;Sucre;3836;1785;2051;29.2;27.6;30.7;3512;1851;1659;2;30.1;31;29.3;12.5
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2082;59;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;60 o más;Sucre;148;71;77;1.1;1.1;1.2;168;74;94;0;1.4;1.2;1.7;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2083;60;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sin especificar;Sucre;320;147;173;2.4;2.3;2.6;441;207;233;1;3.8;3.5;4.1;6.3
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2084;61;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Urbana;Urbana;11705;5749;5956;100;100;100;10205;5215;4979;11;100;100;100;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2085;62;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;0 a 17;Urbana;1365;704;661;11.7;12.2;11.1;993;503;487;3;9.7;9.6;9.8;27.3
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2086;63;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;18 a 29;Urbana;6372;3199;3173;54.4;55.6;53.3;5515;2795;2714;6;54;53.6;54.5;54.5
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2087;64;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;30 a 59;Urbana;3550;1650;1900;30.3;28.7;31.9;3147;1664;1481;2;30.8;31.9;29.7;18.2
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2088;65;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;60 o más;Urbana;141;67;74;1.2;1.2;1.2;158;67;91;0;1.5;1.3;1.8;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2089;66;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sin especificar;Urbana;277;129;148;2.4;2.2;2.5;392;186;206;0;3.8;3.6;4.1;0
