cuadro;no;nivel;departamento;provincia;municipio_tioc;area;2012_numero_total;2012_numero_argentina;2012_numero_espanha;2012_numero_brasil;2012_numero_chile;2012_numero_eeuu;2012_numero_otros_paises;2012_numero_sin_especificar;2012_porcentaje_argentina;2012_porcentaje_espanha;2012_porcentaje_brasil;2012_porcentaje_chile;2012_porcentaje_eeuu;2012_porcentaje_otros_paises;2012_porcentaje_sin_especificar;2024_numero__total;2024_numero__argentina;2024_numero__espanha;2024_numero__brasil;2024_numero__chile;2024_numero__eeuu;2024_numero__otros_paises;2024_numero__sin_especificar;2024_porcentaje_argentina;2024_porcentaje_espanha;2024_porcentaje_brasil;2024_porcentaje_chile;2024_porcentaje_eeuu;2024_porcentaje_otros_paises;2024_porcentaje_sin_especificar
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2034;11;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Urbana;11,705;5,839;3,069;554;1,059;195;807;182;49.9;26.2;4.7;9;1.7;6.9;1.6;10,205;2,628;1,268;790;4,574;308;558;79;25.8;12.4;7.7;44.8;3;5.5;0.8
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2035;12;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Rural;1,449;890;248;115;93;2;26;75;61.4;17.1;7.9;6.4;0.1;1.8;5.2;1,452;335;146;151;759;29;27;5;23.1;10.1;10.4;52.3;2;1.9;0.3
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2036;13;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;1,029;767;164;8;45;4;18;23;74.5;15.9;0.8;4.4;0.4;1.7;2.2;832;377;87;37;280;33;10;8;45.3;10.5;4.4;33.7;4;1.2;1
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2037;14;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2038;15;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Rural;1,029;767;164;8;45;4;18;23;74.5;15.9;0.8;4.4;0.4;1.7;2.2;832;377;87;37;280;33;10;8;45.3;10.5;4.4;33.7;4;1.2;1
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2039;16;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Poroma;339;235;36;26;23;0;5;14;69.3;10.6;7.7;6.8;0;1.5;4.1;469;87;6;106;256;3;6;5;18.6;1.3;22.6;54.6;0.6;1.3;1.1
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2040;17;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2041;18;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Rural;339;235;36;26;23;0;5;14;69.3;10.6;7.7;6.8;0;1.5;4.1;469;87;6;106;256;3;6;5;18.6;1.3;22.6;54.6;0.6;1.3;1.1
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2042;19;Provincia;Chuquisaca;Azurduy;;Azurduy;554;377;62;61;22;0;13;19;68.1;11.2;11;4;0;2.3;3.4;665;135;18;130;364;3;3;12;20.3;2.7;19.5;54.7;0.5;0.5;1.8
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2043;20;Provincia;Chuquisaca;Azurduy;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2044;21;Provincia;Chuquisaca;Azurduy;;Rural;554;377;62;61;22;0;13;19;68.1;11.2;11;4;0;2.3;3.4;665;135;18;130;364;3;3;12;20.3;2.7;19.5;54.7;0.5;0.5;1.8
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2045;22;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Azurduy;196;129;23;29;4;0;7;4;65.8;11.7;14.8;2;0;3.6;2;270;60;8;42;155;1;0;4;22.2;3;15.6;57.4;0.4;0;1.5
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2046;23;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2047;24;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Rural;196;129;23;29;4;0;7;4;65.8;11.7;14.8;2;0;3.6;2;270;60;8;42;155;1;0;4;22.2;3;15.6;57.4;0.4;0;1.5
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2048;25;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Tarvita;358;248;39;32;18;0;6;15;69.3;10.9;8.9;5;0;1.7;4.2;395;75;10;88;209;2;3;8;19;2.5;22.3;52.9;0.5;0.8;2
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2049;26;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2050;27;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Rural;358;248;39;32;18;0;6;15;69.3;10.9;8.9;5;0;1.7;4.2;395;75;10;88;209;2;3;8;19;2.5;22.3;52.9;0.5;0.8;2
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2051;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;1,451;948;198;169;67;3;21;45;65.3;13.6;11.6;4.6;0.2;1.4;3.1;1,057;317;56;237;417;7;14;9;30;5.3;22.4;39.5;0.7;1.3;0.9
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2052;29;Provincia;Chuquisaca;Zudáñez;;Urbana;173;90;41;17;9;0;4;12;52;23.7;9.8;5.2;0;2.3;6.9;308;111;19;38;132;0;6;2;36;6.2;12.3;42.9;0;1.9;0.6
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2053;30;Provincia;Chuquisaca;Zudáñez;;Rural;1,278;858;157;152;58;3;17;33;67.1;12.3;11.9;4.5;0.2;1.3;2.6;749;206;37;199;285;7;8;7;27.5;4.9;26.6;38.1;0.9;1.1;0.9
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2054;31;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;384;264;57;24;14;0;7;18;68.8;14.8;6.3;3.6;0;1.8;4.7;270;110;12;25;118;1;2;2;40.7;4.4;9.3;43.7;0.4;0.7;0.7
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2055;32;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Urbana;129;77;29;11;5;0;4;3;59.7;22.5;8.5;3.9;0;3.1;2.3;143;57;9;15;59;0;2;1;39.9;6.3;10.5;41.3;0;1.4;0.7
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2056;33;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Rural;255;187;28;13;9;0;3;15;73.3;11;5.1;3.5;0;1.2;5.9;127;53;3;10;59;1;0;1;41.7;2.4;7.9;46.5;0.8;0;0.8
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2057;34;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Presto;157;71;20;39;12;0;2;13;45.2;12.7;24.8;7.6;0;1.3;8.3;197;43;6;52;86;1;5;4;21.8;3;26.4;43.7;0.5;2.5;2
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2058;35;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Urbana;44;13;12;6;4;0;0;9;29.5;27.3;13.6;9.1;0;0;20.5;63;24;5;9;24;0;0;1;38.1;7.9;14.3;38.1;0;0;1.6
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2059;36;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Rural;113;58;8;33;8;0;2;4;51.3;7.1;29.2;7.1;0;1.8;3.5;134;19;1;43;62;1;5;3;14.2;0.7;32.1;46.3;0.7;3.7;2.2
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2060;37;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;404;244;49;72;17;3;9;10;60.4;12.1;17.8;4.2;0.7;2.2;2.5;275;71;14;73;112;0;5;0;25.8;5.1;26.5;40.7;0;1.8;0
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2061;38;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;30;5;14;49;0;4;0;29.4;4.9;13.7;48;0;3.9;0
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2062;39;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Rural;404;244;49;72;17;3;9;10;60.4;12.1;17.8;4.2;0.7;2.2;2.5;173;41;9;59;63;0;1;0;23.7;5.2;34.1;36.4;0;0.6;0
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2063;40;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Icla;506;369;72;34;24;0;3;4;72.9;14.2;6.7;4.7;0;0.6;0.8;315;93;24;87;101;5;2;3;29.5;7.6;27.6;32.1;1.6;0.6;1
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2064;41;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2065;42;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Rural;506;369;72;34;24;0;3;4;72.9;14.2;6.7;4.7;0;0.6;0.8;315;93;24;87;101;5;2;3;29.5;7.6;27.6;32.1;1.6;0.6;1
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2066;43;Provincia;Chuquisaca;Tomina;;Tomina;1,268;735;206;213;63;3;16;32;58;16.2;16.8;5;0.2;1.3;2.5;883;245;59;119;412;16;21;11;27.7;6.7;13.5;46.7;1.8;2.4;1.2
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2067;44;Provincia;Chuquisaca;Tomina;;Urbana;186;97;56;4;18;1;7;3;52.2;30.1;2.2;9.7;0.5;3.8;1.6;224;55;23;31;100;4;5;6;24.6;10.3;13.8;44.6;1.8;2.2;2.7
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2068;45;Provincia;Chuquisaca;Tomina;;Rural;1,082;638;150;209;45;2;9;29;59;13.9;19.3;4.2;0.2;0.8;2.7;659;190;36;88;312;12;16;5;28.8;5.5;13.4;47.3;1.8;2.4;0.8
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2069;46;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Padilla;378;228;79;26;32;1;6;6;60.3;20.9;6.9;8.5;0.3;1.6;1.6;360;101;22;23;189;10;6;9;28.1;6.1;6.4;52.5;2.8;1.7;2.5
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2070;47;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Urbana;109;62;34;4;6;0;3;0;56.9;31.2;3.7;5.5;0;2.8;0;150;40;14;9;73;4;4;6;26.7;9.3;6;48.7;2.7;2.7;4
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2071;48;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Rural;269;166;45;22;26;1;3;6;61.7;16.7;8.2;9.7;0.4;1.1;2.2;210;61;8;14;116;6;2;3;29;3.8;6.7;55.2;2.9;1;1.4
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2072;49;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Tomina;502;276;44;164;8;0;0;10;55;8.8;32.7;1.6;0;0;2;252;84;16;62;86;2;1;1;33.3;6.3;24.6;34.1;0.8;0.4;0.4
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2073;50;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;15;9;22;27;0;1;0;20.3;12.2;29.7;36.5;0;1.4;0
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2074;51;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Rural;502;276;44;164;8;0;0;10;55;8.8;32.7;1.6;0;0;2;178;69;7;40;59;2;0;1;38.8;3.9;22.5;33.1;1.1;0;0.6
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2075;52;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Sopachuy;189;110;38;12;15;1;4;9;58.2;20.1;6.3;7.9;0.5;2.1;4.8;153;34;11;16;84;2;6;0;22.2;7.2;10.5;54.9;1.3;3.9;0
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2076;53;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Urbana;77;35;22;0;12;1;4;3;45.5;28.6;0;15.6;1.3;5.2;3.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2077;54;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Rural;112;75;16;12;3;0;0;6;67;14.3;10.7;2.7;0;0;5.4;153;34;11;16;84;2;6;0;22.2;7.2;10.5;54.9;1.3;3.9;0
