cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;"2024_residentes_habituales
(a_=_c_+_e)";"2024_poblacion_ocupada(1)
(b_=_c_+_d)";"2024_poblacion_residente_y_ocupada
(c)";"2024_trabajadores_que_llegan_
(d)";"2024_trabajadores_que_salen
(e)";"2024__movimientos_cotidianos_para_trabajar
(f_=_d_+_e)";"2024_saldo_de_movilidad
(g_=_d_-_e)";"2024_relacion_de_saldo_de_movilidad(2)
(h_=_g___a)";"2024_porcentaje_de_no_movilidad
_";"2024_porcentaje_de_movilidad_intermunicipal
_"
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2044;21;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Mujeres;927;939;866;73;61;134;12;1.3;93.4;6.6
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2045;22;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Tarvita;4,923;4,883;4,586;297;337;634;-40;-0.8;93.2;6.8
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2046;23;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Hombres;3,166;3,129;2,955;174;211;385;-37;-1.2;93.3;6.7
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2047;24;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Mujeres;1,757;1,754;1,631;123;126;249;-3;-0.2;92.8;7.2
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2048;25;Provincia;Chuquisaca;Zudáñez;;Zudáñez;16,542;16,146;15,243;903;1,299;2,202;-396;-2.4;92.1;7.9
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2049;26;Provincia;Chuquisaca;Zudáñez;;Hombres;10,439;10,119;9,599;520;840;1,360;-320;-3.1;92.0;8.0
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2050;27;Provincia;Chuquisaca;Zudáñez;;Mujeres;6,103;6,027;5,644;383;459;842;-76;-1.2;92.5;7.5
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2051;28;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;5,384;5,424;5,036;388;348;736;40;0.7;93.5;6.5
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2052;29;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Hombres;3,454;3,468;3,233;235;221;456;14;0.4;93.6;6.4
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2053;30;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Mujeres;1,930;1,956;1,803;153;127;280;26;1.3;93.4;6.6
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2054;31;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Presto;4,169;3,926;3,689;237;480;717;-243;-5.8;88.5;11.5
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2055;32;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Hombres;2,688;2,498;2,362;136;326;462;-190;-7.1;87.9;12.1
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2056;33;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Mujeres;1,481;1,428;1,327;101;154;255;-53;-3.6;89.6;10.4
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2057;34;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;3,814;3,815;3,683;132;131;263;1;0.0;96.6;3.4
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2058;35;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Hombres;2,278;2,260;2,194;66;84;150;-18;-0.8;96.3;3.7
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2059;36;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Mujeres;1,536;1,555;1,489;66;47;113;19;1.2;96.9;3.1
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2060;37;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Icla;3,119;2,968;2,805;163;314;477;-151;-4.8;89.9;10.1
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2061;38;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Hombres;1,978;1,884;1,793;91;185;276;-94;-4.8;90.6;9.4
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2062;39;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Mujeres;1,141;1,084;1,012;72;129;201;-57;-5.0;88.7;11.3
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2063;40;Provincia;Chuquisaca;Tomina;;Tomina;12,350;12,383;11,623;760;727;1,487;33;0.3;94.1;5.9
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2064;41;Provincia;Chuquisaca;Tomina;;Hombres;7,526;7,517;7,061;456;465;921;-9;-0.1;93.8;6.2
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2065;42;Provincia;Chuquisaca;Tomina;;Mujeres;4,824;4,866;4,562;304;262;566;42;0.9;94.6;5.4
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2066;43;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Padilla;3,778;3,890;3,552;338;226;564;112;3.0;94.0;6.0
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2067;44;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Hombres;2,326;2,397;2,174;223;152;375;71;3.1;93.5;6.5
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2068;45;Municipio/TIOC;Chuquisaca;Tomina;Padilla;Mujeres;1,452;1,493;1,378;115;74;189;41;2.8;94.9;5.1
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2069;46;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Tomina;3,425;3,338;3,234;104;191;295;-87;-2.5;94.4;5.6
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2070;47;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Hombres;2,045;1,984;1,922;62;123;185;-61;-3.0;94.0;6.0
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2071;48;Municipio/TIOC;Chuquisaca;Tomina;Tomina;Mujeres;1,380;1,354;1,312;42;68;110;-26;-1.9;95.1;4.9
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2072;49;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Sopachuy;1,810;1,866;1,626;240;184;424;56;3.1;89.8;10.2
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2073;50;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Hombres;1,098;1,114;975;139;123;262;16;1.5;88.8;11.2
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2074;51;Municipio/TIOC;Chuquisaca;Tomina;Sopachuy;Mujeres;712;752;651;101;61;162;40;5.6;91.4;8.6
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2075;52;Municipio/TIOC;Chuquisaca;Tomina;Alcalá;Alcalá;1,357;1,305;1,193;112;164;276;-52;-3.8;87.9;12.1
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2076;53;Municipio/TIOC;Chuquisaca;Tomina;Alcalá;Hombres;809;767;705;62;104;166;-42;-5.2;87.1;12.9
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2077;54;Municipio/TIOC;Chuquisaca;Tomina;Alcalá;Mujeres;548;538;488;50;60;110;-10;-1.8;89.1;10.9
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2078;55;Municipio/TIOC;Chuquisaca;Tomina;El Villar;El Villar;1,970;1,973;1,934;39;36;75;3;0.2;98.2;1.8
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2079;56;Municipio/TIOC;Chuquisaca;Tomina;El Villar;Hombres;1,243;1,249;1,220;29;23;52;6;0.5;98.1;1.9
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2080;57;Municipio/TIOC;Chuquisaca;Tomina;El Villar;Mujeres;727;724;714;10;13;23;-3;-0.4;98.2;1.8
