cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;numero_total_total;numero_total_hombres;numero_total_mujeres;numero_agricultura,_ganaderia,_silvicultura_total;numero_agricultura,_ganaderia,_silvicultura_hombres;numero_agricultura,_ganaderia,_silvicultura_mujeres;numero_pesca_total;numero_pesca_hombres;numero_pesca_mujeres;numero_explotacion_de_minas_y_canteras_total;numero_explotacion_de_minas_y_canteras_hombres;numero_explotacion_de_minas_y_canteras_mujeres;numero_industria_manufacturera_total;numero_industria_manufacturera_hombres;numero_industria_manufacturera_mujeres;numero__electricidad,_gas_y_agua_total;numero__electricidad,_gas_y_agua_hombres;numero__electricidad,_gas_y_agua_mujeres;numero_construccion_total;numero_construccion_hombres;numero_construccion_mujeres;numero_comercio_al_por_mayor_y_menor_total;numero_comercio_al_por_mayor_y_menor_hombres;numero_comercio_al_por_mayor_y_menor_mujeres;numero_transporte,_almacenamiento_y_comunicacion_total;numero_transporte,_almacenamiento_y_comunicacion_hombres;numero_transporte,_almacenamiento_y_comunicacion_mujeres;numero_hoteles_y_restaurantes_total;numero_hoteles_y_restaurantes_hombres;numero_hoteles_y_restaurantes_mujeres;numero_intermedicion_financiera_total;numero_intermedicion_financiera_hombres;numero_intermedicion_financiera_mujeres;numero_servicios_inmobiliarios,_empresariales_y_de_alquiler_total;numero_servicios_inmobiliarios,_empresariales_y_de_alquiler_hombres;numero_servicios_inmobiliarios,_empresariales_y_de_alquiler_mujeres;numero_administracion,_publica,_defensa_y_seguridad_social_total;numero_administracion,_publica,_defensa_y_seguridad_social_hombres;numero_administracion,_publica,_defensa_y_seguridad_social_mujeres;numero_educacion_total;numero_educacion_hombres;numero_educacion_mujeres;numero_servicios_sociales_y_de_salud_total;numero_servicios_sociales_y_de_salud_hombres;numero_servicios_sociales_y_de_salud_mujeres;numero_servicios_comunitarios,_sociales_y_personales_total;numero_servicios_comunitarios,_sociales_y_personales_hombres;numero_servicios_comunitarios,_sociales_y_personales_mujeres;numero_servicios_a_los_hogares_y_servicios_domesticos_total;numero_servicios_a_los_hogares_y_servicios_domesticos_hombres;numero_servicios_a_los_hogares_y_servicios_domesticos_mujeres;numero_servicios_de_organizaciones_extraterritoriales_total;numero_servicios_de_organizaciones_extraterritoriales_hombres;numero_servicios_de_organizaciones_extraterritoriales_mujeres;numero_sin_especificar_total;numero_sin_especificar_hombres;numero_sin_especificar_mujeres
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2011;13;País;;;;30 a 39;457,204;260,923;196,281;19,383;14,986;4,397;212;192;20;5,378;4,900;478;62,784;41,539;21,245;2,454;2,163;291;34,657;33,724;933;106,706;46,022;60,684;43,326;40,216;3,110;24,166;6,016;18,150;5,472;3,379;2,093;23,081;15,584;7,497;20,272;15,088;5,184;33,693;11,960;21,733;17,312;5,540;11,772;20,114;9,541;10,573;18,130;694;17,436;403;223;180;19,661;9,156;10,505
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2012;14;País;;;;40 a 49;338,359;191,368;146,991;16,961;13,065;3,896;150;129;21;4,399;3,995;404;41,925;27,008;14,917;1,985;1,782;203;26,112;25,514;598;79,115;31,599;47,516;30,133;28,412;1,721;20,291;4,338;15,953;2,460;1,577;883;14,238;10,281;3,957;16,441;12,663;3,778;33,740;12,579;21,161;12,913;5,071;7,842;13,178;6,190;6,988;10,982;470;10,512;320;165;155;13,016;6,530;6,486
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2013;15;País;;;;50 a 59;171,272;101,628;69,644;13,388;10,471;2,917;90;76;14;2,231;1,999;232;21,031;13,786;7,245;817;779;38;13,614;13,399;215;41,204;16,068;25,136;13,229;12,724;505;11,370;2,539;8,831;720;530;190;6,747;5,548;1,199;6,315;5,188;1,127;15,238;7,673;7,565;6,054;3,361;2,693;6,899;3,413;3,486;5,389;375;5,014;184;112;72;6,752;3,587;3,165
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2014;16;País;;;;60 o más;92,555;53,752;38,803;14,044;11,019;3,025;48;38;10;735;625;110;12,022;7,886;4,136;219;212;7;5,694;5,616;78;26,471;9,790;16,681;4,482;4,350;132;6,200;1,496;4,704;264;213;51;3,398;3,021;377;1,578;1,364;214;2,830;1,691;1,139;2,062;1,339;723;4,373;2,344;2,029;3,376;424;2,952;40;27;13;4,719;2,297;2,422
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2015;17;País;;;;Rural;1,111,238;717,802;393,436;753,590;520,283;233,307;2,789;2,394;395;18,517;17,277;1,240;68,206;26,618;41,588;1,425;1,354;71;46,955;45,909;1,046;45,218;18,629;26,589;19,572;18,992;580;11,304;1,762;9,542;170;121;49;3,147;2,664;483;8,083;7,227;856;34,033;19,287;14,746;5,460;2,638;2,822;6,420;3,784;2,636;21,282;1,048;20,234;26;16;10;65,041;27,799;37,242
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2016;19;País;;;;14 a 19;131,437;79,689;51,748;85,046;56,535;28,511;333;248;85;1,259;1,167;92;9,775;3,518;6,257;123;112;11;4,976;4,821;155;4,320;2,050;2,270;1,327;1,255;72;1,788;311;1,477;6;2;4;139;101;38;1,539;1,510;29;927;445;482;285;65;220;686;386;300;4,602;255;4,347;0;0;0;14,306;6,908;7,398
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2017;20;País;;;;20 a 29;261,263;172,309;88,954;159,979;115,116;44,863;765;654;111;5,342;5,100;242;18,649;8,102;10,547;429;402;27;14,111;13,800;311;11,301;5,026;6,275;6,770;6,547;223;2,770;450;2,320;61;42;19;944;751;193;2,103;1,789;314;12,949;5,947;7,002;1,879;715;1,164;1,747;1,024;723;5,879;233;5,646;11;3;8;15,574;6,608;8,966
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2018;21;País;;;;30 a 39;225,185;149,678;75,507;143,973;102,129;41,844;665;599;66;5,307;5,039;268;13,671;5,621;8,050;351;341;10;10,905;10,721;184;10,447;4,309;6,138;5,687;5,550;137;2,429;379;2,050;60;41;19;900;759;141;2,128;1,831;297;10,342;5,792;4,550;1,755;846;909;1,618;976;642;3,852;160;3,692;7;5;2;11,088;4,580;6,508
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2019;22;País;;;;40 a 49;190,418;124,629;65,789;128,968;88,765;40,203;460;396;64;3,892;3,568;324;11,147;4,296;6,851;287;278;9;8,709;8,519;190;8,656;3,340;5,316;3,684;3,600;84;1,977;286;1,691;28;24;4;573;512;61;1,450;1,320;130;6,819;4,658;2,161;858;539;319;1,113;673;440;2,709;109;2,600;6;6;0;9,082;3,740;5,342
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2020;23;País;;;;50 a 59;141,378;91,071;50,307;104,349;70,570;33,779;330;290;40;1,911;1,712;199;7,627;2,747;4,880;154;146;8;5,324;5,207;117;5,671;2,180;3,491;1,547;1,514;33;1,338;191;1,147;9;6;3;373;343;30;600;543;57;2,587;2,128;459;435;310;125;717;426;291;1,930;112;1,818;1;1;0;6,475;2,645;3,830
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2021;24;País;;;;60 o más;161,557;100,426;61,131;131,275;87,168;44,107;236;207;29;806;691;115;7,337;2,334;5,003;81;75;6;2,930;2,841;89;4,823;1,724;3,099;557;526;31;1,002;145;857;6;6;0;218;198;20;263;234;29;409;317;92;248;163;85;539;299;240;2,310;179;2,131;1;1;0;8,516;3,318;5,198
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2022;25;Departamento;Chuquisaca;;;Chuquisaca;155,645;94,863;60,782;55,342;45,193;10,149;9;8;1;288;266;22;18,770;7,628;11,142;448;404;44;12,369;12,168;201;16,897;6,952;9,945;6,301;5,808;493;4,792;851;3,941;614;377;237;3,222;2,220;1,002;3,613;2,526;1,087;9,462;3,644;5,818;3,873;1,462;2,411;3,517;2,001;1,516;7,826;227;7,599;16;10;6;8,286;3,118;5,168
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2023;27;Departamento;Chuquisaca;;;14 a 19;21,589;12,000;9,589;7,248;5,615;1,633;0;0;0;34;28;6;3,120;1,433;1,687;25;23;2;1,830;1,797;33;2,112;1,267;845;422;377;45;808;184;624;12;9;3;160;97;63;65;49;16;218;76;142;98;19;79;334;222;112;3,382;77;3,305;0;0;0;1,721;727;994
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024;28;Departamento;Chuquisaca;;;20 a 29;39,344;23,917;15,427;11,043;9,238;1,805;3;2;1;74;66;8;4,894;2,112;2,782;111;89;22;3,955;3,873;82;4,409;1,940;2,469;2,334;2,104;230;1,206;278;928;251;139;112;1,116;675;441;963;614;349;2,589;940;1,649;1,118;401;717;1,176;688;488;2,120;53;2,067;4;0;4;1,978;705;1,273
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2025;29;Departamento;Chuquisaca;;;30 a 39;33,707;20,612;13,095;10,415;8,662;1,753;4;4;0;71;65;6;3,906;1,554;2,352;133;128;5;2,747;2,703;44;3,939;1,522;2,417;1,739;1,612;127;971;144;827;234;147;87;992;708;284;1,232;829;403;2,680;994;1,686;1,351;442;909;889;492;397;874;34;840;6;4;2;1,524;568;956
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2026;30;Departamento;Chuquisaca;;;40 a 49;27,104;16,591;10,513;9,401;7,702;1,699;0;0;0;65;63;2;3,100;1,189;1,911;120;108;12;2,055;2,031;24;3,057;1,151;1,906;1,077;1,012;65;838;124;714;86;59;27;583;425;158;884;654;230;2,571;904;1,667;864;346;518;590;320;270;593;19;574;6;6;0;1,214;478;736
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2027;31;Departamento;Chuquisaca;;;50 a 59;17,506;11,222;6,284;7,711;6,305;1,406;1;1;0;34;34;0;1,974;718;1,256;47;46;1;1,176;1,162;14;1,770;597;1,173;505;484;21;570;62;508;24;19;5;261;217;44;362;290;72;1,232;637;595;326;185;141;305;156;149;401;16;385;0;0;0;807;293;514
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2028;32;Departamento;Chuquisaca;;;60 o más;16,395;10,521;5,874;9,524;7,671;1,853;1;1;0;10;10;0;1,776;622;1,154;12;10;2;606;602;4;1,610;475;1,135;224;219;5;399;59;340;7;4;3;110;98;12;107;90;17;172;93;79;116;69;47;223;123;100;456;28;428;0;0;0;1,042;347;695
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2029;33;Departamento;Chuquisaca;;;Urbana;69,577;37,431;32,146;2,795;2,334;461;0;0;0;98;91;7;8,340;5,470;2,870;335;298;37;6,938;6,819;119;14,513;5,943;8,570;5,334;4,876;458;3,945;787;3,158;590;359;231;3,017;2,048;969;3,087;2,118;969;5,970;2,025;3,945;3,255;1,203;2,052;3,155;1,798;1,357;5,501;150;5,351;14;9;5;2,690;1,103;1,587
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2030;35;Departamento;Chuquisaca;;;14 a 19;9,738;4,577;5,161;310;249;61;0;0;0;9;9;0;1,492;1,056;436;14;13;1;1,056;1,041;15;1,865;1,123;742;315;278;37;666;168;498;11;9;2;153;90;63;59;44;15;86;37;49;60;15;45;295;195;100;2,812;60;2,752;0;0;0;535;190;345
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2031;36;Departamento;Chuquisaca;;;20 a 29;19,994;11,046;8,948;515;452;63;0;0;0;20;17;3;2,522;1,594;928;78;60;18;2,379;2,322;57;3,892;1,707;2,185;1,963;1,743;220;1,027;262;765;241;131;110;1,041;613;428;815;519;296;1,165;363;802;855;292;563;1,082;634;448;1,593;40;1,553;3;0;3;803;297;506
