cuadro;descripcion;nivel;departamento;provincia;municipio/tioc;area;total;afroboliviano;araona;aymara;ayoreo;baure;canichana;cavinenho;cayubaba;chacobo;charka_qhara_qhara;chichas;chiquitano;chuwi;ese_ejja;guarani;guarasu_we;gwarayu;itonama;jach'a_carangas;jalq'a;joaquiniano;kallawaya;killacas;leco;lipez;lupaca;machineri;maropa;mojenho;mojenho_ignaciano;mojenho_trinitario;more;moseten;movima;pacahuara;pakajaqi;paunaca;puquina;quechua;qullas;raqaypampa;siriono;sora;tacana;tapiete;toromona;tsimane_;uru-chipaya;weenhayek;yaminawa;yampara;yuqui;yurakare;quechua_-_aymara;mas_de_una_descripcion;otras_declaraciones;otros_pueblos_indigenas_extranjeros
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2034;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Municipio/TIOC; Chuquisaca;Oropeza;Sucre;Urbana;70,487;429;0;1,896;4;2;2;4;1;3;261;247;67;0;0;553;0;19;3;7;187;1;2;16;12;7;0;0;1;13;12;6;0;2;1;1;3;0;0;59,527;0;0;0;1;11;2;1;5;8;3;0;563;0;5;39;157;6,397;6
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2035;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Municipio/TIOC; Chuquisaca;Oropeza;Sucre;Rural;14,859;45;0;17;0;0;0;0;0;0;634;4;1;0;0;8;0;0;0;0;2,913;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8,964;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;76;2,170;0
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2036;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Municipio/TIOC; Chuquisaca;Oropeza;Yotala;Yotala;5,994;13;0;17;0;0;0;0;0;0;100;1;1;0;0;11;0;0;0;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5,113;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;726;0
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2037;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Municipio/TIOC; Chuquisaca;Oropeza;Yotala;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2038;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Municipio/TIOC; Chuquisaca;Oropeza;Yotala;Rural;5,994;13;0;17;0;0;0;0;0;0;100;1;1;0;0;11;0;0;0;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5,113;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;726;0
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2039;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Municipio/TIOC; Chuquisaca;Oropeza;Poroma;Poroma;11,149;18;0;10;0;0;0;0;0;0;669;1;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,408;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1,005;0
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2040;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Municipio/TIOC; Chuquisaca;Oropeza;Poroma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2041;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Municipio/TIOC; Chuquisaca;Oropeza;Poroma;Rural;11,149;18;0;10;0;0;0;0;0;0;669;1;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,408;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1,005;0
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2042;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Provincia; Chuquisaca;Azurduy;;Azurduy;16,967;3;0;29;0;0;0;0;0;0;0;3;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;16,134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;773;0
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2043;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Provincia; Chuquisaca;Azurduy;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2044;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Provincia; Chuquisaca;Azurduy;;Rural;16,967;3;0;29;0;0;0;0;0;0;0;3;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;16,134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;773;0
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2045;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Municipio/TIOC; Chuquisaca;Azurduy;Azurduy;Azurduy;4,041;2;0;8;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2046;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Municipio/TIOC; Chuquisaca;Azurduy;Azurduy;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2047;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Municipio/TIOC; Chuquisaca;Azurduy;Azurduy;Rural;4,041;2;0;8;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2048;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Municipio/TIOC; Chuquisaca;Azurduy;Tarvita;Tarvita;12,926;1;0;21;0;0;0;0;0;0;0;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;12,363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;523;0
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2049;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Municipio/TIOC; Chuquisaca;Azurduy;Tarvita;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2050;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Municipio/TIOC; Chuquisaca;Azurduy;Tarvita;Rural;12,926;1;0;21;0;0;0;0;0;0;0;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;12,363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;523;0
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2051;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Provincia; Chuquisaca;Zudáñez;;Zudáñez;32,791;12;0;47;0;0;0;0;0;0;0;4;0;0;0;29;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30,919;0;0;0;0;0;0;0;0;0;0;0;223;0;0;0;1;1,553;0
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2052;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Provincia; Chuquisaca;Zudáñez;;Urbana;5,629;12;0;26;0;0;0;0;0;0;0;1;0;0;0;12;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,110;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;1;449;0
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2053;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Provincia; Chuquisaca;Zudáñez;;Rural;27,162;0;0;21;0;0;0;0;0;0;0;3;0;0;0;17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,809;0;0;0;0;0;0;0;0;0;0;0;207;0;0;0;0;1,104;0
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2054;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Municipio/TIOC; Chuquisaca;Zudáñez;Zudáñez;Zudáñez;9,948;0;0;24;0;0;0;0;0;0;0;0;0;0;0;10;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,337;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;565;0
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2055;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Municipio/TIOC; Chuquisaca;Zudáñez;Zudáñez;Urbana;2,783;0;0;19;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,477;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;272;0
